Manipulation check - 7 robots x 32 seeds x 8 conditions = 1792 bouts
substrate: docs/artifacts/RBT-23-W4b-801 (12 items, no patches, no regrowth)

| condition | w | turn_toward rad/s | frac_toward | mean abs bearing | exploded | items |
|---|---|---|---|---|---|---|
| base | 0 | -0.1011 [-0.2150, -0.0011] | 0.488 | 1.722 | 0.004 | 1.558 |
| motif | 8 | -0.4838 [-1.0863, -0.0938] | 0.482 | 1.772 | 0.000 | 1.656 |
| antimotif | 8 | +0.7655 [+0.1277, +1.4914] | 0.452 | 1.677 | 0.004 | 1.272 |
| motif | 16 | -0.3111 [-0.7861, -0.0504] | 0.485 | 1.825 | 0.009 | 1.808 |
| antimotif | 16 | -0.3272 [-0.6641, -0.0521] | 0.416 | 1.553 | 0.000 | 0.915 |
| motif | 32 | -0.1547 [-0.2630, -0.0919] | 0.464 | 2.001 | 0.000 | 2.393 |
| antimotif | 32 | -0.0748 [-0.1121, -0.0392] | 0.404 | 1.284 | 0.000 | 0.567 |
| common | 4 | +0.0092 [-0.0128, +0.0310] | 0.502 | 1.548 | 0.000 | 0.054 |

[exited with code 0]
