# RBT-66 adversary: horizon sensitivity — runs/RBT-66/data/RBT-10-802free conventional gen 590
n=64 paired seeds from 4000; frozen probe, horizons (2, 3, 4, 6, 8, 12, 16, 24, 32, 48, 64)
control_dt 0.02s, so h=8 holds the other sensors 0.16s and h=64 holds them 1.28s

### peak-joint (THE COMMITTED RULE at h=8)

| h | steer | throttle | winner | |steer|-|throttle| paired | t |
|---|---|---|---|---|---|
| 2 | +0.00000 | +0.00000 | **throttle -** | +0.00000 |   +0.00 |
| 3 | -0.09703 | +0.09285 | **steer -** | +0.00418 |   +2.82 |
| 4 | -0.12756 | +0.10794 | **steer -** | +0.01962 |   +7.29 |
| 6 | -0.17127 | +0.13166 | **steer -** | +0.03961 |   +9.19 |
| 8 | -0.19032 | +0.15250 | **steer -** | +0.03694 |   +8.40 |
| 12 | -0.27360 | +0.23487 | **steer -** | +0.03873 |   +7.02 |
| 16 | -0.32336 | +0.28170 | **steer -** | +0.04166 |   +7.26 |
| 24 | -0.33894 | +0.29801 | **steer -** | +0.04093 |   +6.80 |
| 32 | -0.34384 | +0.30210 | **steer -** | +0.04174 |   +6.72 |
| 48 | -0.34593 | +0.30626 | **steer -** | +0.03967 |   +6.11 |
| 64 | -0.34913 | +0.30984 | **steer -** | +0.03929 |   +5.97 |

### peak per axis, each at its own argmax

| h | steer | throttle | winner | |steer|-|throttle| paired | t |
|---|---|---|---|---|---|
| 2 | +0.00000 | +0.00000 | **throttle -** | +0.00000 |   +0.00 |
| 3 | -0.09703 | +0.09285 | **steer -** | +0.00418 |   +2.82 |
| 4 | -0.12767 | +0.10759 | **steer -** | +0.02008 |   +7.41 |
| 6 | -0.17577 | +0.12687 | **steer -** | +0.04795 |  +10.68 |
| 8 | -0.19785 | +0.14856 | **steer -** | +0.04761 |   +9.24 |
| 12 | -0.28309 | +0.23138 | **steer -** | +0.05171 |   +7.30 |
| 16 | -0.33102 | +0.27672 | **steer -** | +0.05429 |   +7.15 |
| 24 | -0.34555 | +0.29293 | **steer -** | +0.04975 |   +6.72 |
| 32 | -0.34691 | +0.29687 | **steer -** | +0.04771 |   +5.87 |
| 48 | -0.34402 | +0.30025 | **steer -** | +0.04149 |   +4.82 |
| 64 | -0.34165 | +0.30344 | **steer -** | +0.03596 |   +4.03 |

### mean over ticks 2..h

| h | steer | throttle | winner | |steer|-|throttle| paired | t |
|---|---|---|---|---|---|
| 2 | +0.00000 | +0.00000 | **throttle -** | +0.00000 |   +0.00 |
| 3 | -0.04851 | +0.04642 | **steer -** | +0.00209 |   +2.82 |
| 4 | -0.06114 | +0.05194 | **steer -** | +0.00912 |   +9.56 |
| 6 | -0.05885 | +0.04074 | **steer -** | +0.01716 |  +10.47 |
| 8 | -0.04704 | +0.03615 | **steer -** | +0.00925 |   +5.81 |
| 12 | -0.05535 | +0.04265 | **steer -** | +0.01041 |   +5.66 |
| 16 | -0.06605 | +0.05356 | **steer -** | +0.00989 |   +5.11 |
| 24 | -0.07867 | +0.06779 | **steer -** | +0.00806 |   +3.84 |
| 32 | -0.08611 | +0.07435 | **steer -** | +0.00875 |   +3.92 |
| 48 | -0.09264 | +0.08093 | **steer -** | +0.00851 |   +3.56 |
| 64 | -0.09623 | +0.08463 | **steer -** | +0.00831 |   +3.36 |

### the single tick h

| h | steer | throttle | winner | |steer|-|throttle| paired | t |
|---|---|---|---|---|---|
| 2 | +0.00000 | +0.00000 | **throttle -** | +0.00000 |   +0.00 |
| 3 | -0.09703 | +0.09285 | **steer -** | +0.00418 |   +2.82 |
| 4 | -0.08639 | +0.06298 | **steer -** | +0.02103 |   +8.30 |
| 6 | -0.04711 | +0.02709 | **steer -** | +0.01771 |   +4.96 |
| 8 | -0.00871 | +0.01795 | **throttle +** | -0.00593 |   -2.38 |
| 12 | -0.11581 | +0.11251 | **steer -** | +0.00170 |   +0.43 |
| 16 | -0.10806 | +0.08876 | **steer -** | +0.01735 |   +4.13 |
| 24 | -0.09005 | +0.08536 | **steer -** | +0.00199 |   +0.59 |
| 32 | -0.11767 | +0.10502 | **steer -** | +0.01030 |   +2.49 |
| 48 | -0.11142 | +0.10411 | **steer -** | +0.00462 |   +1.15 |
| 64 | -0.10409 | +0.10194 | **steer -** | -0.00058 |   -0.16 |

