# RBT-66 adversary: horizon sensitivity — runs/RBT-66/data/RBT-19 conventional gen 590
n=64 paired seeds from 4000; frozen probe, horizons (2, 3, 4, 6, 8, 12, 16, 24, 32, 48, 64)
control_dt 0.02s, so h=8 holds the other sensors 0.16s and h=64 holds them 1.28s

### peak-joint (THE COMMITTED RULE at h=8)

| h | steer | throttle | winner | |steer|-|throttle| paired | t |
|---|---|---|---|---|---|
| 2 | +0.00000 | +0.00000 | **throttle -** | +0.00000 |   +0.00 |
| 3 | +0.06640 | +0.01969 | **steer +** | +0.03669 |   +9.44 |
| 4 | -0.10967 | +0.19521 | **throttle +** | -0.08554 |  -25.32 |
| 6 | -0.14275 | +0.24497 | **throttle +** | -0.10222 |  -28.52 |
| 8 | -0.29287 | +0.41571 | **throttle +** | -0.12283 |  -33.11 |
| 12 | -0.35809 | +0.48432 | **throttle +** | -0.12623 |  -31.99 |
| 16 | -0.38175 | +0.50779 | **throttle +** | -0.12604 |  -30.45 |
| 24 | -0.39546 | +0.52341 | **throttle +** | -0.12795 |  -30.93 |
| 32 | -0.40990 | +0.54157 | **throttle +** | -0.13167 |  -33.62 |
| 48 | -0.42073 | +0.55392 | **throttle +** | -0.13320 |  -34.81 |
| 64 | -0.42254 | +0.55688 | **throttle +** | -0.13435 |  -36.27 |

### peak per axis, each at its own argmax

| h | steer | throttle | winner | |steer|-|throttle| paired | t |
|---|---|---|---|---|---|
| 2 | +0.00000 | +0.00000 | **throttle -** | +0.00000 |   +0.00 |
| 3 | +0.06640 | +0.01969 | **steer +** | +0.03669 |   +9.44 |
| 4 | -0.09868 | +0.20015 | **throttle +** | -0.10079 |  -26.41 |
| 6 | -0.13521 | +0.26081 | **throttle +** | -0.12560 |  -26.88 |
| 8 | -0.28309 | +0.42431 | **throttle +** | -0.14122 |  -32.85 |
| 12 | -0.34991 | +0.48913 | **throttle +** | -0.13922 |  -21.87 |
| 16 | -0.37081 | +0.51464 | **throttle +** | -0.14383 |  -20.53 |
| 24 | -0.36990 | +0.53297 | **throttle +** | -0.16307 |  -21.58 |
| 32 | -0.37388 | +0.54668 | **throttle +** | -0.17280 |  -22.77 |
| 48 | -0.36529 | +0.55996 | **throttle +** | -0.19467 |  -23.37 |
| 64 | -0.36936 | +0.56534 | **throttle +** | -0.19598 |  -25.25 |

### mean over ticks 2..h

| h | steer | throttle | winner | |steer|-|throttle| paired | t |
|---|---|---|---|---|---|
| 2 | +0.00000 | +0.00000 | **throttle -** | +0.00000 |   +0.00 |
| 3 | +0.03320 | +0.00985 | **steer +** | +0.01834 |   +9.44 |
| 4 | -0.02129 | +0.07453 | **throttle +** | -0.05273 |  -29.53 |
| 6 | -0.02998 | +0.08576 | **throttle +** | -0.05579 |  -33.40 |
| 8 | -0.05570 | +0.13164 | **throttle +** | -0.07594 |  -31.86 |
| 12 | -0.07235 | +0.15901 | **throttle +** | -0.08666 |  -33.47 |
| 16 | -0.08065 | +0.17249 | **throttle +** | -0.09184 |  -34.29 |
| 24 | -0.08510 | +0.18002 | **throttle +** | -0.09492 |  -35.04 |
| 32 | -0.08573 | +0.18134 | **throttle +** | -0.09560 |  -35.46 |
| 48 | -0.08589 | +0.18205 | **throttle +** | -0.09616 |  -35.59 |
| 64 | -0.08591 | +0.18226 | **throttle +** | -0.09635 |  -35.49 |

### the single tick h

| h | steer | throttle | winner | |steer|-|throttle| paired | t |
|---|---|---|---|---|---|
| 2 | +0.00000 | +0.00000 | **throttle -** | +0.00000 |   +0.00 |
| 3 | +0.06640 | +0.01969 | **steer +** | +0.03669 |   +9.44 |
| 4 | -0.13027 | +0.20389 | **throttle +** | -0.07313 |  -23.24 |
| 6 | -0.05427 | +0.17435 | **throttle +** | -0.11946 |  -31.35 |
| 8 | -0.24610 | +0.33605 | **throttle +** | -0.08995 |  -19.58 |
| 12 | -0.26198 | +0.35018 | **throttle +** | -0.08555 |  -20.44 |
| 16 | -0.25551 | +0.33397 | **throttle +** | -0.07846 |  -19.42 |
| 24 | -0.18518 | +0.24130 | **throttle +** | -0.05248 |  -14.40 |
| 32 | -0.16753 | +0.21447 | **throttle +** | -0.04694 |  -12.56 |
| 48 | -0.15791 | +0.20939 | **throttle +** | -0.05148 |  -11.81 |
| 64 | -0.16724 | +0.22129 | **throttle +** | -0.05404 |  -12.01 |

