RBT-80 carrier predicate under depths (1, 2, 4) — runs/RBT-80/seedA
arms: seeded, control, drift; seasons sampled every 10; direction probe 2 seeds x 3s, cached per genotype
carrier iff re-signed a >= +16; founder direction BACKWARD

### seeded: 429/429 genotypes measured over 31 seasons
| season | alive | carr d1 | frac d1 | med a d1 | carr d2 | frac d2 | med a d2 | carr d4 | frac d4 | med a d4 | inverted d2 | balance>0 | opposed<0 | median rho |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 0 | 60 | 0 | 0.000 | +0.0 | 53 | 0.883 | +64.0 | 53 | 0.883 | +64.0 | 7 | 0 | 0 | 2.86 |
| 10 | 60 | 0 | 0.000 | +0.0 | 57 | 0.950 | +64.0 | 57 | 0.950 | +64.0 | 3 | 0 | 0 | 2.86 |
| 20 | 60 | 0 | 0.000 | +0.0 | 58 | 0.967 | +64.0 | 58 | 0.967 | +64.0 | 2 | 0 | 0 | 2.86 |
| 30 | 60 | 0 | 0.000 | +0.0 | 59 | 0.983 | +64.0 | 59 | 0.983 | +64.0 | 1 | 0 | 0 | 2.86 |
| 40 | 60 | 0 | 0.000 | +0.0 | 59 | 0.983 | +64.0 | 59 | 0.983 | +64.0 | 1 | 0 | 0 | 2.86 |
| 50 | 60 | 0 | 0.000 | +0.0 | 58 | 0.967 | +64.0 | 58 | 0.967 | +64.0 | 2 | 0 | 0 | 2.82 |
| 60 | 60 | 0 | 0.000 | +0.0 | 58 | 0.967 | +63.9 | 58 | 0.967 | +64.0 | 2 | 0 | 0 | 2.81 |
| 70 | 60 | 0 | 0.000 | +0.0 | 60 | 1.000 | +63.9 | 60 | 1.000 | +64.2 | 0 | 0 | 0 | 2.81 |
| 80 | 60 | 0 | 0.000 | +0.0 | 60 | 1.000 | +63.9 | 59 | 0.983 | +64.4 | 0 | 0 | 0 | 2.86 |
| 90 | 60 | 0 | 0.000 | +0.0 | 59 | 0.983 | +63.8 | 58 | 0.967 | +64.1 | 1 | 0 | 0 | 2.87 |
| 100 | 60 | 0 | 0.000 | +0.0 | 60 | 1.000 | +63.7 | 59 | 0.983 | +64.1 | 0 | 0 | 0 | 2.86 |
| 110 | 60 | 0 | 0.000 | +0.0 | 60 | 1.000 | +63.7 | 59 | 0.983 | +64.3 | 0 | 0 | 0 | 2.89 |
| 120 | 60 | 0 | 0.000 | +0.0 | 58 | 0.967 | +63.6 | 55 | 0.917 | +64.9 | 2 | 0 | 0 | 3.08 |
| 130 | 60 | 0 | 0.000 | +0.0 | 59 | 0.983 | +63.6 | 56 | 0.933 | +65.2 | 1 | 0 | 0 | 3.03 |
| 140 | 60 | 0 | 0.000 | +0.0 | 58 | 0.967 | +63.5 | 58 | 0.967 | +64.5 | 2 | 0 | 0 | 3.03 |
| 150 | 60 | 0 | 0.000 | +0.0 | 58 | 0.967 | +63.6 | 58 | 0.967 | +65.0 | 2 | 0 | 0 | 3.03 |
| 160 | 60 | 0 | 0.000 | +0.0 | 60 | 1.000 | +63.8 | 60 | 1.000 | +65.4 | 0 | 0 | 0 | 3.01 |
| 170 | 60 | 0 | 0.000 | +0.0 | 59 | 0.983 | +63.6 | 59 | 0.983 | +67.4 | 1 | 0 | 0 | 2.97 |
| 180 | 60 | 0 | 0.000 | +0.0 | 59 | 0.983 | +64.2 | 59 | 0.983 | +74.3 | 1 | 0 | 0 | 2.96 |
| 190 | 60 | 0 | 0.000 | +0.0 | 59 | 0.983 | +63.3 | 59 | 0.983 | +66.0 | 0 | 0 | 0 | 2.98 |
| 200 | 60 | 0 | 0.000 | +0.0 | 60 | 1.000 | +63.3 | 60 | 1.000 | +68.5 | 0 | 0 | 0 | 2.98 |
| 210 | 60 | 0 | 0.000 | +0.0 | 60 | 1.000 | +63.2 | 60 | 1.000 | +67.7 | 0 | 0 | 0 | 2.99 |
| 220 | 60 | 0 | 0.000 | +0.0 | 60 | 1.000 | +63.2 | 60 | 1.000 | +68.5 | 0 | 0 | 0 | 2.99 |
| 230 | 60 | 0 | 0.000 | +0.0 | 59 | 0.983 | +62.6 | 59 | 0.983 | +67.1 | 1 | 0 | 0 | 3.02 |
| 240 | 60 | 0 | 0.000 | +0.0 | 59 | 0.983 | +62.0 | 59 | 0.983 | +67.1 | 1 | 0 | 0 | 2.98 |
| 250 | 60 | 0 | 0.000 | +0.0 | 58 | 0.967 | +62.8 | 58 | 0.967 | +65.5 | 1 | 0 | 0 | 3.07 |
| 260 | 60 | 0 | 0.000 | +0.0 | 58 | 0.967 | +62.1 | 58 | 0.967 | +64.7 | 2 | 0 | 0 | 3.05 |
| 270 | 60 | 0 | 0.000 | +0.0 | 58 | 0.967 | +62.0 | 58 | 0.967 | +64.6 | 2 | 0 | 0 | 3.01 |
| 280 | 60 | 0 | 0.000 | +0.0 | 58 | 0.967 | +62.0 | 58 | 0.967 | +64.6 | 2 | 1 | 1 | 3.05 |
| 290 | 60 | 0 | 0.000 | +0.0 | 58 | 0.967 | +61.9 | 58 | 0.967 | +64.0 | 2 | 1 | 1 | 3.08 |
| 299 | 60 | 0 | 0.000 | +0.0 | 56 | 0.933 | +61.9 | 56 | 0.933 | +64.5 | 4 | 1 | 1 | 3.11 |
### control: 479/479 genotypes measured over 31 seasons
| season | alive | carr d1 | frac d1 | med a d1 | carr d2 | frac d2 | med a d2 | carr d4 | frac d4 | med a d4 | inverted d2 | balance>0 | opposed<0 | median rho |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 0 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.86 |
| 10 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.90 |
| 20 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 3.04 |
| 30 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 3.02 |
| 40 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.95 |
| 50 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 3.00 |
| 60 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 3.02 |
| 70 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.90 |
| 80 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.89 |
| 90 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.91 |
| 100 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.79 |
| 110 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.79 |
| 120 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.67 |
| 130 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.66 |
| 140 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.70 |
