RBT-80 population carriage — runs/RBT-80/seedA
arms: seeded, control, drift; seasons sampled every 10; direction probe 2 seeds x 3s, cached per genotype

### seeded: 429 distinct genotypes over 31 sampled seasons
| season | alive | carriers | fraction | median a | grad-dominant | inverted |
|---|---|---|---|---|---|---|
| 0 | 60 | 53 | 0.883 | +64.0 | 1.00 | 7 |
| 10 | 60 | 57 | 0.950 | +64.0 | 1.00 | 3 |
| 20 | 60 | 58 | 0.967 | +64.0 | 1.00 | 2 |
| 30 | 60 | 59 | 0.983 | +64.0 | 1.00 | 1 |
| 40 | 60 | 59 | 0.983 | +64.0 | 1.00 | 1 |
| 50 | 60 | 58 | 0.967 | +64.0 | 1.00 | 1 |
| 60 | 60 | 58 | 0.967 | +64.0 | 0.98 | 2 |
| 70 | 60 | 60 | 1.000 | +64.2 | 1.00 | 0 |
| 80 | 60 | 59 | 0.983 | +64.4 | 1.00 | 0 |
| 90 | 60 | 58 | 0.967 | +64.1 | 1.00 | 1 |
| 100 | 60 | 59 | 0.983 | +64.1 | 1.00 | 0 |
| 110 | 60 | 59 | 0.983 | +64.3 | 1.00 | 0 |
| 120 | 60 | 55 | 0.917 | +64.9 | 1.00 | 2 |
| 130 | 60 | 56 | 0.933 | +65.2 | 1.00 | 1 |
| 140 | 60 | 58 | 0.967 | +64.5 | 1.00 | 2 |
| 150 | 60 | 58 | 0.967 | +65.0 | 1.00 | 2 |
| 160 | 60 | 60 | 1.000 | +65.4 | 1.00 | 0 |
| 170 | 60 | 59 | 0.983 | +67.4 | 1.00 | 1 |
| 180 | 60 | 59 | 0.983 | +74.3 | 1.00 | 1 |
| 190 | 60 | 59 | 0.983 | +66.0 | 0.98 | 0 |
| 200 | 60 | 60 | 1.000 | +68.5 | 1.00 | 0 |
| 210 | 60 | 60 | 1.000 | +67.7 | 1.00 | 0 |
| 220 | 60 | 60 | 1.000 | +68.5 | 1.00 | 0 |
| 230 | 60 | 59 | 0.983 | +67.1 | 1.00 | 1 |
| 240 | 60 | 59 | 0.983 | +67.1 | 1.00 | 1 |
| 250 | 60 | 58 | 0.967 | +65.5 | 0.98 | 1 |
| 260 | 60 | 58 | 0.967 | +64.7 | 1.00 | 2 |
| 270 | 60 | 58 | 0.967 | +64.6 | 1.00 | 2 |
| 280 | 60 | 58 | 0.967 | +64.6 | 1.00 | 2 |
| 290 | 60 | 58 | 0.967 | +64.0 | 1.00 | 2 |
| 299 | 60 | 56 | 0.933 | +64.5 | 1.00 | 4 |
### control: 479 distinct genotypes over 31 sampled seasons
| season | alive | carriers | fraction | median a | grad-dominant | inverted |
|---|---|---|---|---|---|---|
| 0 | 60 | 0 | 0.000 | +0.0 | 0.00 | 0 |
| 10 | 60 | 0 | 0.000 | +0.0 | 0.00 | 0 |
| 20 | 60 | 0 | 0.000 | +0.0 | 0.00 | 0 |
| 30 | 60 | 0 | 0.000 | +0.0 | 0.00 | 0 |
| 40 | 60 | 0 | 0.000 | +0.0 | 0.00 | 0 |
| 50 | 60 | 0 | 0.000 | +0.0 | 0.00 | 0 |
| 60 | 60 | 0 | 0.000 | +0.0 | 0.00 | 0 |
| 70 | 60 | 0 | 0.000 | +0.0 | 0.00 | 0 |
| 80 | 60 | 0 | 0.000 | +0.0 | 0.00 | 0 |
| 90 | 60 | 0 | 0.000 | +0.0 | 0.00 | 0 |
| 100 | 60 | 0 | 0.000 | +0.0 | 0.00 | 0 |
| 110 | 60 | 0 | 0.000 | +0.0 | 0.00 | 0 |
| 120 | 60 | 0 | 0.000 | +0.0 | 0.00 | 0 |
| 130 | 60 | 0 | 0.000 | +0.0 | 0.00 | 0 |
| 140 | 60 | 0 | 0.000 | +0.0 | 0.00 | 0 |
| 150 | 60 | 0 | 0.000 | +0.0 | 0.02 | 0 |
| 160 | 60 | 0 | 0.000 | +0.0 | 0.02 | 0 |
| 170 | 60 | 0 | 0.000 | +0.0 | 0.02 | 0 |
| 180 | 60 | 0 | 0.000 | +0.0 | 0.02 | 0 |
| 190 | 60 | 0 | 0.000 | +0.0 | 0.02 | 0 |
| 200 | 60 | 0 | 0.000 | +0.0 | 0.03 | 0 |
| 210 | 60 | 0 | 0.000 | +0.0 | 0.02 | 0 |
| 220 | 60 | 0 | 0.000 | +0.0 | 0.02 | 0 |
| 230 | 60 | 0 | 0.000 | +0.0 | 0.02 | 0 |
| 240 | 60 | 0 | 0.000 | +0.0 | 0.02 | 0 |
| 250 | 60 | 0 | 0.000 | +0.0 | 0.03 | 0 |
| 260 | 60 | 0 | 0.000 | +0.0 | 0.02 | 0 |
| 270 | 60 | 0 | 0.000 | +0.0 | 0.02 | 0 |
| 280 | 60 | 0 | 0.000 | +0.0 | 0.03 | 0 |
| 290 | 60 | 0 | 0.000 | +0.0 | 0.05 | 0 |
| 299 | 60 | 0 | 0.000 | +0.0 | 0.03 | 0 |
### drift: 360 distinct genotypes over 31 sampled seasons
| season | alive | carriers | fraction | median a | grad-dominant | inverted |
|---|---|---|---|---|---|---|
| 0 | 60 | 53 | 0.883 | +64.0 | 1.00 | 7 |
| 10 | 60 | 53 | 0.883 | +64.0 | 1.00 | 7 |
| 20 | 60 | 54 | 0.900 | +64.0 | 1.00 | 6 |
| 30 | 60 | 54 | 0.900 | +64.0 | 1.00 | 6 |
| 40 | 60 | 54 | 0.900 | +64.0 | 1.00 | 6 |
| 50 | 60 | 50 | 0.833 | +64.0 | 1.00 | 9 |
| 60 | 60 | 40 | 0.667 | +62.4 | 1.00 | 18 |
| 70 | 60 | 40 | 0.667 | +61.2 | 1.00 | 18 |
| 80 | 60 | 40 | 0.667 | +61.2 | 1.00 | 18 |
| 90 | 60 | 40 | 0.667 | +61.2 | 1.00 | 18 |
| 100 | 60 | 38 | 0.633 | +58.3 | 1.00 | 20 |
| 110 | 60 | 36 | 0.600 | +59.8 | 1.00 | 23 |
| 120 | 60 | 37 | 0.617 | +64.7 | 1.00 | 23 |
| 130 | 60 | 36 | 0.600 | +64.7 | 1.00 | 24 |
