RBT-80 carrier predicate under depths (1, 2, 4) — runs/RBT-80/seedB
arms: seeded, control, drift; seasons sampled every 10; direction probe 2 seeds x 3s, cached per genotype
carrier iff re-signed a >= +16; founder direction BACKWARD

### seeded: 451/451 genotypes measured over 31 seasons
| season | alive | carr d1 | frac d1 | med a d1 | carr d2 | frac d2 | med a d2 | carr d4 | frac d4 | med a d4 | inverted d2 | balance>0 | opposed<0 | median rho |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 0 | 60 | 0 | 0.000 | +0.0 | 53 | 0.883 | +64.0 | 53 | 0.883 | +64.0 | 7 | 0 | 0 | 2.86 |
| 10 | 60 | 0 | 0.000 | +0.0 | 55 | 0.917 | +64.0 | 55 | 0.917 | +64.0 | 5 | 0 | 0 | 2.95 |
| 20 | 60 | 0 | 0.000 | +0.0 | 58 | 0.967 | +64.0 | 58 | 0.967 | +64.0 | 2 | 0 | 0 | 3.00 |
| 30 | 60 | 0 | 0.000 | +0.0 | 59 | 0.983 | +64.0 | 59 | 0.983 | +64.0 | 1 | 0 | 0 | 2.99 |
| 40 | 60 | 0 | 0.000 | +0.0 | 59 | 0.983 | +64.0 | 59 | 0.983 | +64.0 | 1 | 0 | 0 | 2.99 |
| 50 | 60 | 0 | 0.000 | +0.0 | 59 | 0.983 | +64.0 | 59 | 0.983 | +64.0 | 1 | 0 | 0 | 2.97 |
| 60 | 60 | 0 | 0.000 | +0.0 | 57 | 0.950 | +64.0 | 57 | 0.950 | +64.1 | 2 | 1 | 1 | 3.05 |
| 70 | 60 | 0 | 0.000 | +0.0 | 57 | 0.950 | +64.0 | 57 | 0.950 | +64.2 | 2 | 2 | 2 | 3.05 |
| 80 | 60 | 0 | 0.000 | +0.0 | 59 | 0.983 | +64.1 | 59 | 0.983 | +64.2 | 0 | 2 | 2 | 3.07 |
| 90 | 60 | 0 | 0.000 | +0.0 | 59 | 0.983 | +64.0 | 59 | 0.983 | +64.2 | 0 | 2 | 2 | 3.05 |
| 100 | 60 | 0 | 0.000 | +0.0 | 59 | 0.983 | +64.0 | 59 | 0.983 | +64.2 | 0 | 2 | 2 | 3.02 |
| 110 | 60 | 0 | 0.000 | +0.0 | 57 | 0.950 | +64.0 | 57 | 0.950 | +64.1 | 2 | 2 | 2 | 3.05 |
| 120 | 60 | 0 | 0.000 | +0.0 | 52 | 0.867 | +63.9 | 52 | 0.867 | +64.0 | 4 | 4 | 4 | 3.13 |
| 130 | 60 | 0 | 0.000 | +0.0 | 53 | 0.883 | +63.9 | 53 | 0.883 | +63.9 | 2 | 2 | 2 | 3.09 |
| 140 | 60 | 0 | 0.000 | +0.0 | 52 | 0.867 | +64.0 | 52 | 0.867 | +64.1 | 1 | 1 | 1 | 3.22 |
| 150 | 60 | 0 | 0.000 | +0.0 | 51 | 0.850 | +64.0 | 51 | 0.850 | +64.3 | 2 | 1 | 1 | 3.23 |
| 160 | 60 | 0 | 0.000 | +0.0 | 51 | 0.850 | +64.0 | 51 | 0.850 | +64.3 | 1 | 1 | 1 | 3.30 |
| 170 | 60 | 0 | 0.000 | +0.0 | 51 | 0.850 | +63.9 | 51 | 0.850 | +64.0 | 2 | 1 | 1 | 3.25 |
| 180 | 60 | 0 | 0.000 | +0.0 | 49 | 0.817 | +63.6 | 49 | 0.817 | +64.1 | 2 | 0 | 0 | 3.27 |
| 190 | 60 | 0 | 0.000 | +0.0 | 49 | 0.817 | +62.7 | 49 | 0.817 | +62.7 | 1 | 0 | 0 | 3.22 |
| 200 | 60 | 0 | 0.000 | +0.0 | 48 | 0.800 | +61.7 | 46 | 0.767 | +62.6 | 1 | 1 | 1 | 3.20 |
| 210 | 60 | 0 | 0.000 | +0.0 | 47 | 0.783 | +62.6 | 45 | 0.750 | +62.6 | 1 | 1 | 1 | 3.24 |
| 220 | 60 | 0 | 0.000 | +0.0 | 47 | 0.783 | +61.6 | 45 | 0.750 | +61.6 | 0 | 1 | 1 | 3.19 |
| 230 | 60 | 0 | 0.000 | +0.0 | 46 | 0.767 | +60.5 | 44 | 0.733 | +60.3 | 0 | 1 | 1 | 3.17 |
| 240 | 60 | 0 | 0.000 | +0.0 | 41 | 0.683 | +38.5 | 38 | 0.633 | +40.5 | 3 | 2 | 2 | 3.12 |
| 250 | 60 | 0 | 0.000 | +0.0 | 40 | 0.667 | +37.0 | 38 | 0.633 | +40.7 | 1 | 4 | 4 | 3.00 |
| 260 | 60 | 0 | 0.000 | +0.0 | 41 | 0.683 | +58.7 | 41 | 0.683 | +58.7 | 2 | 2 | 2 | 2.92 |
| 270 | 60 | 0 | 0.000 | +0.0 | 43 | 0.717 | +59.8 | 43 | 0.717 | +59.8 | 2 | 4 | 3 | 2.95 |
| 280 | 60 | 0 | 0.000 | +0.0 | 43 | 0.717 | +60.0 | 43 | 0.717 | +60.0 | 2 | 3 | 3 | 2.84 |
| 290 | 60 | 0 | 0.000 | +0.0 | 46 | 0.767 | +60.2 | 46 | 0.767 | +60.2 | 1 | 2 | 2 | 2.84 |
| 299 | 60 | 0 | 0.000 | +0.0 | 46 | 0.767 | +59.8 | 46 | 0.767 | +59.8 | 2 | 2 | 2 | 2.78 |
### control: 462/462 genotypes measured over 31 seasons
| season | alive | carr d1 | frac d1 | med a d1 | carr d2 | frac d2 | med a d2 | carr d4 | frac d4 | med a d4 | inverted d2 | balance>0 | opposed<0 | median rho |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 0 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.86 |
| 10 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.86 |
| 20 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.87 |
| 30 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.89 |
| 40 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.86 |
| 50 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.86 |
| 60 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 2 | 0 | 3.04 |
| 70 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 3 | 0 | 3.01 |
| 80 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 3 | 0 | 3.03 |
| 90 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 3 | 0 | 3.06 |
| 100 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 3 | 0 | 3.15 |
| 110 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 3 | 0 | 3.09 |
| 120 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 3 | 0 | 3.15 |
| 130 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 3 | 1 | 3.05 |
| 140 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 4 | 3 | 3.10 |
