RBT-80 carrier predicate under depths (1, 2, 4) — runs/RBT-80/seedC
arms: seeded, control, drift; seasons sampled every 10; direction probe 2 seeds x 3s, cached per genotype
carrier iff re-signed a >= +16; founder direction BACKWARD

### seeded: 418/418 genotypes measured over 31 seasons
| season | alive | carr d1 | frac d1 | med a d1 | carr d2 | frac d2 | med a d2 | carr d4 | frac d4 | med a d4 | inverted d2 | balance>0 | opposed<0 | median rho |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 0 | 60 | 0 | 0.000 | +0.0 | 53 | 0.883 | +64.0 | 53 | 0.883 | +64.0 | 7 | 0 | 0 | 2.86 |
| 10 | 60 | 0 | 0.000 | +0.0 | 57 | 0.950 | +64.0 | 57 | 0.950 | +64.0 | 3 | 0 | 0 | 2.86 |
| 20 | 60 | 0 | 0.000 | +0.0 | 58 | 0.967 | +64.0 | 58 | 0.967 | +64.0 | 2 | 0 | 0 | 2.86 |
| 30 | 60 | 0 | 0.000 | +0.0 | 58 | 0.967 | +64.0 | 58 | 0.967 | +64.0 | 2 | 0 | 0 | 2.90 |
| 40 | 60 | 0 | 0.000 | +0.0 | 59 | 0.983 | +64.0 | 59 | 0.983 | +64.0 | 1 | 0 | 0 | 2.87 |
| 50 | 60 | 0 | 0.000 | +0.0 | 58 | 0.967 | +64.0 | 58 | 0.967 | +64.0 | 2 | 0 | 0 | 2.88 |
| 60 | 60 | 0 | 0.000 | +0.0 | 59 | 0.983 | +64.0 | 59 | 0.983 | +63.3 | 1 | 0 | 0 | 2.84 |
| 70 | 60 | 0 | 0.000 | +0.0 | 59 | 0.983 | +64.0 | 58 | 0.967 | +63.3 | 1 | 0 | 0 | 3.01 |
| 80 | 60 | 0 | 0.000 | +0.0 | 58 | 0.967 | +63.9 | 57 | 0.950 | +63.3 | 2 | 0 | 0 | 2.98 |
| 90 | 60 | 0 | 0.000 | +0.0 | 58 | 0.967 | +63.8 | 57 | 0.950 | +63.3 | 2 | 0 | 0 | 2.97 |
| 100 | 60 | 0 | 0.000 | +0.0 | 58 | 0.967 | +63.8 | 56 | 0.933 | +63.1 | 2 | 0 | 0 | 2.97 |
| 110 | 60 | 0 | 0.000 | +0.0 | 56 | 0.933 | +63.8 | 55 | 0.917 | +62.4 | 4 | 0 | 0 | 2.97 |
| 120 | 60 | 0 | 0.000 | +0.0 | 57 | 0.950 | +63.7 | 55 | 0.917 | +62.4 | 3 | 0 | 0 | 2.98 |
| 130 | 60 | 0 | 0.000 | +0.0 | 58 | 0.967 | +63.8 | 58 | 0.967 | +63.1 | 2 | 0 | 0 | 2.76 |
| 140 | 60 | 0 | 0.000 | +0.0 | 57 | 0.950 | +63.7 | 57 | 0.950 | +62.9 | 3 | 0 | 0 | 2.85 |
| 150 | 60 | 0 | 0.000 | +0.0 | 57 | 0.950 | +63.8 | 57 | 0.950 | +63.3 | 2 | 0 | 0 | 2.84 |
| 160 | 60 | 0 | 0.000 | +0.0 | 58 | 0.967 | +63.8 | 58 | 0.967 | +63.3 | 2 | 0 | 0 | 2.79 |
| 170 | 60 | 0 | 0.000 | +0.0 | 57 | 0.950 | +63.7 | 57 | 0.950 | +63.3 | 2 | 0 | 0 | 2.82 |
| 180 | 60 | 0 | 0.000 | +0.0 | 57 | 0.950 | +63.5 | 57 | 0.950 | +62.9 | 3 | 0 | 0 | 2.84 |
| 190 | 60 | 0 | 0.000 | +0.0 | 57 | 0.950 | +63.4 | 57 | 0.950 | +62.9 | 3 | 0 | 0 | 2.83 |
| 200 | 60 | 0 | 0.000 | +0.0 | 60 | 1.000 | +63.3 | 60 | 1.000 | +62.9 | 0 | 0 | 0 | 2.76 |
| 210 | 60 | 0 | 0.000 | +0.0 | 57 | 0.950 | +63.3 | 57 | 0.950 | +62.9 | 2 | 0 | 0 | 2.72 |
| 220 | 60 | 0 | 0.000 | +0.0 | 58 | 0.967 | +63.3 | 58 | 0.967 | +62.9 | 1 | 0 | 0 | 2.85 |
| 230 | 60 | 0 | 0.000 | +0.0 | 58 | 0.967 | +63.3 | 58 | 0.967 | +62.9 | 1 | 0 | 0 | 2.76 |
| 240 | 60 | 0 | 0.000 | +0.0 | 56 | 0.933 | +63.0 | 56 | 0.933 | +61.4 | 1 | 0 | 0 | 2.76 |
| 250 | 60 | 0 | 0.000 | +0.0 | 56 | 0.933 | +63.0 | 56 | 0.933 | +61.4 | 2 | 0 | 0 | 2.98 |
| 260 | 60 | 0 | 0.000 | +0.0 | 57 | 0.950 | +63.1 | 57 | 0.950 | +62.4 | 1 | 0 | 0 | 3.18 |
| 270 | 60 | 0 | 0.000 | +0.0 | 57 | 0.950 | +62.6 | 57 | 0.950 | +60.5 | 1 | 0 | 0 | 3.25 |
| 280 | 60 | 0 | 0.000 | +0.0 | 55 | 0.917 | +62.6 | 55 | 0.917 | +60.5 | 3 | 0 | 0 | 3.14 |
| 290 | 60 | 0 | 0.000 | +0.0 | 53 | 0.883 | +61.2 | 53 | 0.883 | +58.3 | 5 | 0 | 0 | 3.10 |
| 299 | 60 | 0 | 0.000 | +0.0 | 54 | 0.900 | +62.3 | 54 | 0.900 | +60.3 | 4 | 0 | 0 | 3.11 |
### control: 461/461 genotypes measured over 31 seasons
| season | alive | carr d1 | frac d1 | med a d1 | carr d2 | frac d2 | med a d2 | carr d4 | frac d4 | med a d4 | inverted d2 | balance>0 | opposed<0 | median rho |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 0 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.86 |
| 10 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 3.03 |
| 20 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 3.04 |
| 30 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 3.05 |
| 40 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 3.03 |
| 50 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 3.09 |
| 60 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.91 |
| 70 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 3.09 |
| 80 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 3.08 |
| 90 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.93 |
| 100 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 3.07 |
| 110 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.93 |
| 120 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.97 |
| 130 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.94 |
| 140 | 60 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0.000 | +0.0 | 0 | 0 | 0 | 2.97 |
