RBT-80 population carriage — runs/RBT-80/seedC
arms: seeded, control, drift; seasons sampled every 10; direction probe 2 seeds x 3s, cached per genotype

### seeded: 418 distinct genotypes over 31 sampled seasons
| season | alive | carriers | fraction | median a | grad-dominant | inverted |
|---|---|---|---|---|---|---|
| 0 | 60 | 53 | 0.883 | +64.0 | 1.00 | 7 |
| 10 | 60 | 57 | 0.950 | +64.0 | 1.00 | 3 |
| 20 | 60 | 58 | 0.967 | +64.0 | 1.00 | 2 |
| 30 | 60 | 58 | 0.967 | +64.0 | 1.00 | 2 |
| 40 | 60 | 59 | 0.983 | +64.0 | 1.00 | 1 |
| 50 | 60 | 58 | 0.967 | +64.0 | 1.00 | 2 |
| 60 | 60 | 59 | 0.983 | +63.3 | 1.00 | 1 |
| 70 | 60 | 58 | 0.967 | +63.3 | 1.00 | 1 |
| 80 | 60 | 57 | 0.950 | +63.3 | 1.00 | 2 |
| 90 | 60 | 57 | 0.950 | +63.3 | 1.00 | 2 |
| 100 | 60 | 56 | 0.933 | +63.1 | 1.00 | 2 |
| 110 | 60 | 55 | 0.917 | +62.4 | 1.00 | 4 |
| 120 | 60 | 55 | 0.917 | +62.4 | 1.00 | 3 |
| 130 | 60 | 58 | 0.967 | +63.1 | 1.00 | 2 |
| 140 | 60 | 57 | 0.950 | +62.9 | 1.00 | 3 |
| 150 | 60 | 57 | 0.950 | +63.3 | 0.98 | 2 |
| 160 | 60 | 58 | 0.967 | +63.3 | 1.00 | 2 |
| 170 | 60 | 57 | 0.950 | +63.3 | 0.98 | 2 |
| 180 | 60 | 57 | 0.950 | +62.9 | 1.00 | 3 |
| 190 | 60 | 57 | 0.950 | +62.9 | 1.00 | 3 |
| 200 | 60 | 60 | 1.000 | +62.9 | 1.00 | 0 |
| 210 | 60 | 57 | 0.950 | +62.9 | 0.98 | 2 |
| 220 | 60 | 58 | 0.967 | +62.9 | 0.98 | 1 |
| 230 | 60 | 58 | 0.967 | +62.9 | 0.98 | 1 |
| 240 | 60 | 56 | 0.933 | +61.4 | 0.95 | 1 |
| 250 | 60 | 56 | 0.933 | +61.4 | 0.95 | 2 |
| 260 | 60 | 57 | 0.950 | +62.4 | 0.93 | 1 |
| 270 | 60 | 57 | 0.950 | +60.5 | 0.92 | 1 |
| 280 | 60 | 55 | 0.917 | +60.5 | 0.92 | 3 |
| 290 | 60 | 53 | 0.883 | +58.3 | 0.92 | 5 |
| 299 | 60 | 54 | 0.900 | +60.3 | 0.90 | 4 |
### control: 461 distinct genotypes over 31 sampled seasons
| season | alive | carriers | fraction | median a | grad-dominant | inverted |
|---|---|---|---|---|---|---|
| 0 | 60 | 0 | 0.000 | +0.0 | 0.00 | 0 |
| 10 | 60 | 0 | 0.000 | +0.0 | 0.00 | 0 |
| 20 | 60 | 0 | 0.000 | +0.0 | 0.00 | 0 |
| 30 | 60 | 0 | 0.000 | +0.0 | 0.00 | 0 |
| 40 | 60 | 0 | 0.000 | +0.0 | 0.00 | 0 |
| 50 | 60 | 0 | 0.000 | +0.0 | 0.00 | 0 |
| 60 | 60 | 0 | 0.000 | +0.0 | 0.03 | 0 |
| 70 | 60 | 0 | 0.000 | +0.0 | 0.02 | 0 |
| 80 | 60 | 0 | 0.000 | +0.0 | 0.02 | 0 |
| 90 | 60 | 0 | 0.000 | +0.0 | 0.02 | 0 |
| 100 | 60 | 0 | 0.000 | +0.0 | 0.02 | 0 |
| 110 | 60 | 0 | 0.000 | +0.0 | 0.02 | 0 |
| 120 | 60 | 0 | 0.000 | +0.0 | 0.00 | 0 |
| 130 | 60 | 0 | 0.000 | +0.0 | 0.00 | 0 |
| 140 | 60 | 0 | 0.000 | +0.0 | 0.00 | 0 |
| 150 | 60 | 0 | 0.000 | +0.0 | 0.00 | 0 |
| 160 | 60 | 0 | 0.000 | +0.0 | 0.02 | 0 |
| 170 | 60 | 0 | 0.000 | +0.0 | 0.02 | 0 |
| 180 | 60 | 0 | 0.000 | +0.0 | 0.02 | 0 |
| 190 | 60 | 0 | 0.000 | +0.0 | 0.02 | 0 |
| 200 | 60 | 0 | 0.000 | +0.0 | 0.05 | 0 |
| 210 | 60 | 0 | 0.000 | +0.0 | 0.10 | 0 |
| 220 | 60 | 0 | 0.000 | +0.0 | 0.10 | 0 |
| 230 | 60 | 0 | 0.000 | +0.0 | 0.12 | 0 |
| 240 | 60 | 0 | 0.000 | +0.0 | 0.15 | 0 |
| 250 | 60 | 0 | 0.000 | +0.0 | 0.17 | 0 |
| 260 | 60 | 0 | 0.000 | +0.0 | 0.17 | 0 |
| 270 | 60 | 0 | 0.000 | +0.0 | 0.15 | 0 |
| 280 | 60 | 0 | 0.000 | +0.0 | 0.15 | 0 |
| 290 | 60 | 0 | 0.000 | -0.0 | 0.13 | 0 |
| 299 | 60 | 0 | 0.000 | -0.0 | 0.18 | 0 |
### drift: 360 distinct genotypes over 31 sampled seasons
| season | alive | carriers | fraction | median a | grad-dominant | inverted |
|---|---|---|---|---|---|---|
| 0 | 60 | 53 | 0.883 | +64.0 | 1.00 | 7 |
| 10 | 60 | 53 | 0.883 | +64.0 | 1.00 | 7 |
| 20 | 60 | 53 | 0.883 | +64.0 | 1.00 | 7 |
| 30 | 60 | 53 | 0.883 | +64.0 | 1.00 | 7 |
| 40 | 60 | 52 | 0.867 | +64.0 | 1.00 | 8 |
| 50 | 60 | 49 | 0.817 | +64.0 | 1.00 | 11 |
| 60 | 60 | 46 | 0.767 | +63.7 | 1.00 | 14 |
| 70 | 60 | 46 | 0.767 | +63.7 | 1.00 | 14 |
| 80 | 60 | 46 | 0.767 | +63.7 | 1.00 | 14 |
| 90 | 60 | 46 | 0.767 | +63.6 | 1.00 | 14 |
| 100 | 60 | 47 | 0.783 | +63.7 | 1.00 | 13 |
| 110 | 60 | 47 | 0.783 | +63.8 | 1.00 | 13 |
| 120 | 60 | 45 | 0.750 | +57.5 | 1.00 | 15 |
| 130 | 60 | 45 | 0.750 | +57.5 | 1.00 | 15 |
