RBT-80 per-season series, conventional population, all nine arms.
Committed so sections 1, 3 and 5 of the report are re-derivable by
someone other than the author (adversary finding 7; RBT-86).
No genomes are shipped: these are aggregate per-season numbers only.

## mean_lifetime_score by season  (section 3: yield = seeded - control)

season A:seeded   A:control  A:drift    B:seeded   B:control  B:drift    C:seeded   C:control  C:drift   
     0     1.0164     0.2425     0.8866     1.0151     0.5166     1.1057     0.7048     0.1358     0.5227
     1     0.7761     0.6075     0.9999     1.0011     0.4408     1.2080     1.1699     0.3191     0.6585
     2     0.9218     0.6899     1.1024     1.0348     0.4487     1.1081     0.9746     0.4746     0.6767
     3     0.9322     0.6183     1.0493     0.9393     0.4952     1.0343     0.9361     0.5262     0.7681
     4     1.0692     0.5638     1.2426     0.9212     0.5204     1.1201     1.0227     0.6465     0.8074
     5     1.0004     0.6262     1.1998     1.0061     0.5119     1.0651     0.9860     0.6360     0.7643
     6     1.0538     0.6633     1.1505     1.0643     0.5199     1.0257     1.0069     0.5965     0.7848
     7     1.0223     0.6579     1.1800     1.0972     0.4459     1.0074     1.0068     0.5457     0.8138
     8     1.0646     0.6376     1.1394     1.1041     0.5341     0.9794     1.0379     0.5978     0.8611
     9     1.0672     0.6342     1.1209     1.0978     0.6053     0.9942     1.0030     0.5347     0.9276
    10     1.0614     0.6444     1.1162     1.0448     0.6226     0.9729     1.0296     0.5449     0.9648
    11     1.0661     0.6695     1.1191     1.1344     0.5905     0.9739     0.9935     0.5442     0.9867
    12     1.0346     0.6175     1.1002     1.1615     0.6140     0.9498     0.9975     0.6034     1.0117
    13     1.0748     0.5717     1.1068     1.1586     0.5765     0.9383     1.0293     0.5976     1.0212
    14     1.1036     0.5987     1.1110     1.1778     0.5496     0.9326     1.0339     0.5497     1.0521
    15     1.0829     0.6180     1.1009     1.2209     0.5501     0.9417     1.0884     0.5918     1.0463
    16     1.0626     0.5961     1.1085     1.2332     0.5838     0.9654     1.0707     0.5726     1.0567
    17     1.0462     0.6292     1.1026     1.2515     0.5987     0.9473     1.0897     0.6093     1.0449
    18     1.0728     0.6321     1.1031     1.2287     0.5953     0.9514     1.0701     0.6470     1.0301
    19     1.0498     0.6535     1.1167     1.2068     0.6192     0.9386     1.0558     0.6193     1.0283
    20     1.0472     0.6001     1.1174     1.1694     0.6176     0.9343     1.0492     0.6227     1.0477
    21     1.0457     0.6157     1.1064     1.1768     0.6012     0.9363     1.0367     0.6412     1.0159
    22     1.0493     0.6024     1.1342     1.1264     0.5704     0.9062     1.0047     0.6601     1.0149
    23     1.0181     0.6452     1.0777     1.1299     0.5648     0.8826     0.9916     0.6032     0.9869
    24     1.0284     0.5813     1.0293     1.1535     0.6209     0.9250     0.9783     0.6102     0.9685
    25     1.0304     0.5970     1.0525     1.1707     0.6581     1.0273     0.9916     0.6224     0.9471
    26     1.0366     0.6085     1.0370     1.2029     0.6386     0.9569     0.9717     0.6331     0.9313
    27     1.0199     0.6366     1.0130     1.1926     0.6166     0.9280     0.9736     0.6548     0.9069
    28     1.0415     0.6282     1.0316     1.1906     0.5884     0.8861     0.9966     0.6935     0.8802
    29     1.0412     0.6329     1.0207     1.2017     0.6012     0.8923     1.0122     0.6720     0.8830
