RBT-80 (c) — carriers vs non-carriers INSIDE the seeded arm
plateau seasons 250-299 sampled every 10; paired by season; carrier iff re-signed a >= +16

### seed A: 6 seasons, 110 distinct genotypes
| depth | seasons used | carrier n | non-carrier n | carrier mean | non-carrier mean | paired difference | 95% CI | seasons carrier ahead |
|---|---|---|---|---|---|---|---|---|
| 2 | 5/6 | 281 | 9 | 1.223 | 0.079 | +1.144 | [+0.754, +1.591] | 5/5 |
| 4 | 5/6 | 281 | 9 | 1.223 | 0.079 | +1.144 | [+0.754, +1.591] | 5/5 |

### seed B: 6 seasons, 131 distinct genotypes
| depth | seasons used | carrier n | non-carrier n | carrier mean | non-carrier mean | paired difference | 95% CI | seasons carrier ahead |
|---|---|---|---|---|---|---|---|---|
| 2 | 6/6 | 248 | 95 | 1.060 | 0.644 | +0.415 | [-0.015, +0.789] | 5/6 |
| 4 | 6/6 | 245 | 98 | 1.051 | 0.647 | +0.404 | [-0.049, +0.789] | 5/6 |

### seed C: 6 seasons, 103 distinct genotypes
| depth | seasons used | carrier n | non-carrier n | carrier mean | non-carrier mean | paired difference | 95% CI | seasons carrier ahead |
|---|---|---|---|---|---|---|---|---|
| 2 | 6/6 | 321 | 24 | 0.967 | 0.468 | +0.499 | [+0.197, +0.868] | 6/6 |
| 4 | 6/6 | 321 | 24 | 0.967 | 0.468 | +0.499 | [+0.197, +0.868] | 6/6 |

