RBT-90 generator reference: the same statistics over seeds 1..200, sixty founders each, seed 801's config.
What 'a typical draw' means for the rule in docs/founder-diversity.md.  No simulation.
RBT-90-reference.json beside this file is the authority: rates are k/60 and the quartiles fall on values many
seeds hold exactly, so a re-derivation from a rounded print moves seeds across the thresholds (adversary probe 1).

statistic         min      p5     q25  median     q75     p95     max
drive           31/60   34/60   38/60   40/60   42/60   46/60   49/60
osc              5/60    8/60   11/60   13/60   15/60   18/60   23/60
both            22/60   25/60   28/60   30/60   33/60   0.617   42/60
parts_median    2.000   3.000   3.500   4.000   4.000   4.000   5.000
units_median   12.000  13.000  14.500  16.000  17.500  20.000  23.000

per-seed rows (200):
 seed   drive     osc    both  parts  units
    1   35/60   14/60   24/60      2     12
    2   49/60   12/60   37/60      4   18.5
    3   42/60   14/60   30/60      4     16
    4   41/60   14/60   30/60      4     16
    5   35/60   12/60   27/60    3.5     14
    6   39/60   12/60   29/60      3     14
    7   39/60   11/60   32/60      4     17
    8   35/60    8/60   29/60      3   13.5
    9   44/60   13/60   33/60      3     16
   10   43/60   11/60   34/60      4     15
   11   43/60    9/60   36/60      4     18
   12   44/60   12/60   34/60      4     17
   13   32/60    8/60   26/60    2.5   12.5
   14   48/60   16/60   33/60      5     21
   15   46/60   14/60   35/60      4     20
   16   41/60   12/60   30/60      4     20
   17   36/60   14/60   25/60      3   13.5
   18   36/60    9/60   31/60      3     12
   19   43/60    9/60   37/60      4     16
   20   42/60   13/60   31/60      4     16
   21   42/60   19/60   26/60    3.5   16.5
   22   36/60    8/60   32/60      3     16
   23   31/60   14/60   23/60      4     14
   24   46/60   11/60   37/60      4     14
   25   40/60   19/60   26/60      3     16
   26   42/60   15/60   32/60      4   16.5
   27   38/60   11/60   29/60      4   13.5
   28   41/60   11/60   34/60      3   15.5
   29   41/60   13/60   29/60      4   16.5
   30   40/60    9/60   34/60      4     15
   31   42/60   11/60   33/60      4     16
   32   41/60   18/60   28/60      4     16
   33   38/60   14/60   28/60      4   14.5
   34   43/60    8/60   38/60      4   15.5
   35   43/60   15/60   31/60      4     17
   36   45/60   13/60   33/60      4     17
   37   40/60   14/60   30/60      4     18
   38   33/60   12/60   25/60      3   12.5
   39   39/60   12/60   30/60      3     13
   40   42/60   15/60   32/60      4     18
   41   41/60   12/60   33/60      4     20
   42   35/60    9/60   29/60      3     14
   43   42/60   20/60   28/60      4   16.5
   44   38/60   10/60   30/60      4   16.5
   45   37/60   10/60   31/60    3.5   17.5
   46   35/60   11/60   25/60      4     15
   47   44/60   13/60   36/60      4     18
   48   38/60   14/60   29/60      4   14.5
   49   40/60   16/60   29/60      4     18
   50   49/60    9/60   40/60    4.5   22.5
   51   38/60   15/60   26/60      4   14.5
   52   40/60   17/60   29/60      4     16
   53   38/60   10/60   31/60      4     18
   54   41/60   10/60   31/60      4     14
   55   32/60   15/60   25/60      3     14
   56   38/60   12/60   27/60      4     16
   57   37/60   14/60   26/60      4     16
   58   41/60   16/60   29/60      4     17
   59   42/60   15/60   30/60      4     15
   60   39/60   12/60   31/60      4     17
   61   38/60   14/60   26/60      4     19
   62   44/60   18/60   30/60      5   16.5
   63   44/60   11/60   34/60      4   17.5
   64   45/60    7/60   39/60      3     15
   65   44/60   14/60   30/60      3     16
   66   42/60   15/60   29/60      4   14.5
   67   35/60   13/60   27/60      3     12
   68   41/60   13/60   31/60      4     15
   69   33/60   10/60   25/60      3   13.5
   70   43/60   13/60   34/60      4   16.5
   71   34/60   12/60   26/60      3     15
   72   42/60   12/60   33/60    3.5     15
   73   40/60   11/60   33/60      4     16
   74   41/60   18/60   25/60      4     17
   75   44/60   12/60   34/60      4     18
   76   46/60   21/60   29/60      5     21
   77   40/60   11/60   33/60      4     14
   78   40/60   17/60   28/60      3   14.5
   79   39/60   16/60   29/60      3     14
   80   36/60   11/60   27/60      4   15.5
   81   47/60    9/60   40/60      4     17
   82   39/60   18/60   22/60      4     18
   83   46/60   13/60   36/60    4.5     20
   84   37/60   15/60   26/60      4   17.5
   85   39/60   12/60   30/60      4     15
   86   35/60   13/60   24/60      3   14.5
   87   39/60   10/60   32/60      4     16
   88   42/60   16/60   30/60      3   13.5
   89   44/60   15/60   31/60      4   16.5
   90   42/60   11/60   34/60      3     13
   91   40/60   11/60   34/60      4     15
   92   34/60   13/60   26/60    3.5   14.5
   93   48/60   19/60   34/60      4   18.5
   94   37/60   10/60   30/60      4     17
   95   37/60   11/60   29/60      4     15
   96   45/60   15/60   32/60      4     16
   97   36/60   14/60   27/60      4     14
   98   40/60   15/60   27/60      4     16
   99   42/60    9/60   35/60      4   14.5
  100   34/60   10/60   28/60      4     16
  101   38/60   11/60   30/60      4   17.5
  102   41/60   13/60   31/60      4     18
  103   41/60   20/60   26/60      5     23
  104   40/60   15/60   27/60      4   20.5
  105   38/60   14/60   29/60      4     17
  106   47/60   13/60   34/60      4     19
  107   46/60    6/60   42/60      4     18
  108   34/60    9/60   29/60    3.5     15
  109   39/60   17/60   27/60      3     13
  110   39/60   15/60   28/60      4   16.5
  111   40/60   10/60   33/60      4   17.5
  112   36/60   13/60   24/60      3     15
  113   45/60    8/60   39/60      4     16
  114   34/60   12/60   25/60      4   17.5
  115   38/60   14/60   30/60    3.5     16
  116   44/60   13/60   35/60      4     19
  117   48/60    7/60   41/60      4   14.5
  118   37/60    9/60   29/60      3     13
  119   34/60    8/60   26/60      4     16
  120   41/60   14/60   30/60      4   16.5
  121   37/60   12/60   30/60      3   15.5
  122   34/60   15/60   25/60    3.5   15.5
  123   42/60   16/60   28/60      4     16
  124   41/60   17/60   27/60      4     17
  125   32/60    7/60   27/60      3     13
  126   39/60   13/60   30/60      4   16.5
  127   32/60   13/60   23/60      2     12
  128   40/60    5/60   36/60      4     16
  129   41/60    9/60   36/60      3   15.5
  130   41/60   23/60   24/60      4     18
  131   40/60   13/60   30/60      4     18
  132   38/60    9/60   33/60      4   17.5
  133   41/60   15/60   30/60    3.5     14
  134   40/60   19/60   29/60      4     18
  135   38/60    9/60   30/60      4     16
  136   40/60   10/60   32/60      4     16
  137   37/60   16/60   23/60      4     18
  138   41/60   14/60   30/60      3     15
  139   40/60    9/60   33/60      4   14.5
  140   39/60   16/60   27/60      3     14
  141   37/60   10/60   31/60      4     16
  142   39/60   14/60   31/60    3.5     16
  143   41/60   12/60   31/60      4     18
  144   39/60   10/60   32/60      4     18
  145   39/60   11/60   30/60    3.5     14
  146   41/60   14/60   31/60      4     14
  147   44/60   14/60   32/60      4     14
  148   47/60   14/60   34/60      4   17.5
  149   40/60   15/60   28/60      4   18.5
  150   40/60   10/60   32/60      3   16.5
  151   40/60   13/60   30/60      5     23
  152   40/60   12/60   31/60      4   17.5
  153   35/60   15/60   25/60      3   13.5
  154   38/60   13/60   28/60      4   18.5
  155   45/60   18/60   29/60      4     19
  156   40/60   12/60   31/60      4   17.5
  157   36/60   12/60   29/60      4   16.5
  158   42/60   15/60   30/60    3.5   15.5
  159   42/60   10/60   35/60      4   15.5
  160   41/60   16/60   29/60      3   13.5
  161   43/60   18/60   31/60      4   15.5
  162   45/60   14/60   35/60      4   16.5
  163   42/60   13/60   32/60      3   13.5
  164   39/60    9/60   31/60      4   15.5
  165   40/60   18/60   27/60      4     19
  166   40/60    7/60   34/60      4   14.5
  167   38/60   11/60   28/60      4     15
