# RBT-91 (a): compass or anti-compass? 84 arrivals from docs/artifacts/RBT-91-drift-baseline.txt, re-signed

Shape is not direction. A motif steers TOWARD food only if its sign agrees with the way
its robot actually drives; W4b-801's founders drive backward (-174 deg), so a descendant
that drives forward needs the opposite steering sign to be chemotactic (RBT-80).
Probe: RBT-80's own, 2 seeds x 3s, imported.
FOUNDER_BACKWARD = True

| arrival | raw a | heading | drives | re-signed a | verdict |
|---|---|---|---|---|---|
| W4b-801-bests #176 | -6.3316 | +107.5 deg | backward | **-6.3316** | **ANTI-COMPASS** |
| W4b-801-bests #2430 | +0.0008 | +179.8 deg | backward | **+0.0008** | **COMPASS** |
| W4b-801-bests #3550 | -0.2522 | +126.4 deg | backward | **-0.2522** | **ANTI-COMPASS** |
| W4b-801-bests #14887 | +0.0010 | -77.4 deg | forward | **-0.0010** | **ANTI-COMPASS** |
| W4b-801-bests #16752 | -5.1230 | -169.4 deg | backward | **-5.1230** | **ANTI-COMPASS** |
| W4b-801-bests #18865 | -0.6550 | -159.8 deg | backward | **-0.6550** | **ANTI-COMPASS** |
| W4b-801-bests #24529 | +0.0181 | -166.8 deg | backward | **+0.0181** | **COMPASS** |
| W4b-801-bests #25071 | -0.0067 | +173.6 deg | backward | **-0.0067** | **ANTI-COMPASS** |
| W4b-801-bests #25908 | -0.3171 | -4.0 deg | forward | **+0.3171** | **COMPASS** |
| W4b-801-bests #26502 | +0.0171 | -25.9 deg | forward | **-0.0171** | **ANTI-COMPASS** |
| W4b-801-bests #27707 | -0.6155 | -170.2 deg | backward | **-0.6155** | **ANTI-COMPASS** |
| W4b-801-bests #28988 | -0.0037 | -172.1 deg | backward | **-0.0037** | **ANTI-COMPASS** |
| W4b-801-bests #35295 | -0.2414 | -172.9 deg | backward | **-0.2414** | **ANTI-COMPASS** |
| W4b-801-bests #39396 | +0.0012 | +111.8 deg | backward | **+0.0012** | **COMPASS** |
| W4b-801-bests #40182 | +0.0000 | -179.3 deg | backward | **+0.0000** | **ANTI-COMPASS** |
| W4b-801-bests #40776 | +9.0289 | +175.7 deg | backward | **+9.0289** | **COMPASS** |
| W4b-801-bests #41364 | +0.0067 | -177.9 deg | backward | **+0.0067** | **COMPASS** |
| W4b-801-bests #42414 | +0.0004 | -1.2 deg | forward | **-0.0004** | **ANTI-COMPASS** |
| W4b-801-bests #45725 | +0.0083 | -167.0 deg | backward | **+0.0083** | **COMPASS** |
| W4b-801-bests #47517 | +0.0021 | -177.1 deg | backward | **+0.0021** | **COMPASS** |
| W4b-801-bests #47776 | +0.2321 | -172.0 deg | backward | **+0.2321** | **COMPASS** |
| W4b-801-bests #49535 | +0.0426 | +176.5 deg | backward | **+0.0426** | **COMPASS** |
| W4b-801-bests #51374 | +0.0050 | +179.8 deg | backward | **+0.0050** | **COMPASS** |
| W4b-801-bests #51430 | +0.0890 | -169.4 deg | backward | **+0.0890** | **COMPASS** |
| W4b-801-bests #52465 | -0.0249 | +172.7 deg | backward | **-0.0249** | **ANTI-COMPASS** |
| W4b-801-bests #54412 | -0.0029 | -0.2 deg | forward | **+0.0029** | **COMPASS** |
| W4b-801-bests #54741 | +0.1669 | -90.9 deg | backward | **+0.1669** | **COMPASS** |
| W4b-801-bests #55119 | -2.5893 | -165.3 deg | backward | **-2.5893** | **ANTI-COMPASS** |
| W4b-801-bests #59333 | +0.1618 | -166.5 deg | backward | **+0.1618** | **COMPASS** |
| W4b-801-bests #59599 | -0.0492 | +1.0 deg | forward | **+0.0492** | **COMPASS** |
| W4b-801-bests #60418 | +0.0224 | +178.8 deg | backward | **+0.0224** | **COMPASS** |
| W4b-801-bests #62370 | -0.1784 | +5.1 deg | forward | **+0.1784** | **COMPASS** |
| W4b-801-bests #62392 | +0.0000 | +17.9 deg | forward | **-0.0000** | **ANTI-COMPASS** |
| W4b-801-bests #66697 | -0.0001 | +168.3 deg | backward | **-0.0001** | **ANTI-COMPASS** |
| W4b-801-bests #67544 | +0.0493 | -70.9 deg | forward | **-0.0493** | **ANTI-COMPASS** |
| W4b-801-bests #68601 | -0.5566 | -8.4 deg | forward | **+0.5566** | **COMPASS** |
| W4b-801-bests #72213 | +0.0001 | +178.7 deg | backward | **+0.0001** | **COMPASS** |
| W4b-801-bests #72794 | +0.7088 | +179.9 deg | backward | **+0.7088** | **COMPASS** |
| W4b-801-bests #75769 | +0.0000 | -32.4 deg | forward | **-0.0000** | **ANTI-COMPASS** |
| W4b-801-bests #76260 | -0.7739 | -178.0 deg | backward | **-0.7739** | **ANTI-COMPASS** |
| W4b-801-bests #77638 | -1.2213 | -78.1 deg | forward | **+1.2213** | **COMPASS** |
| W4b-801-bests #78245 | -23.6279 | -157.8 deg | backward | **-23.6279** | **ANTI-COMPASS** |
| W4b-801-bests #83237 | -0.0993 | +0.9 deg | forward | **+0.0993** | **COMPASS** |
| W4b-801-bests #83434 | -0.0391 | -171.0 deg | backward | **-0.0391** | **ANTI-COMPASS** |
| W4b-801-bests #85604 | +0.3852 | -0.8 deg | forward | **-0.3852** | **ANTI-COMPASS** |
| W4b-801-bests #87067 | +0.4905 | +169.9 deg | backward | **+0.4905** | **COMPASS** |
| W4b-801-bests #88726 | +0.5443 | +173.7 deg | backward | **+0.5443** | **COMPASS** |
| W4b-801-bests #91323 | +0.0000 | +177.2 deg | backward | **+0.0000** | **ANTI-COMPASS** |
| W4b-801-bests #92682 | -0.0035 | -163.5 deg | backward | **-0.0035** | **ANTI-COMPASS** |
| W4b-801-bests #92730 | -0.0003 | +168.8 deg | backward | **-0.0003** | **ANTI-COMPASS** |
| W4b-801-bests #93465 | -0.4185 | -173.4 deg | backward | **-0.4185** | **ANTI-COMPASS** |
| W4b-801-bests #96335 | -0.0022 | +179.3 deg | backward | **-0.0022** | **ANTI-COMPASS** |
| W4b-801-bests #97875 | -0.0008 | -164.3 deg | backward | **-0.0008** | **ANTI-COMPASS** |
| W4b-801-bests #98491 | -0.1493 | -130.7 deg | backward | **-0.1493** | **ANTI-COMPASS** |
| P-801-final60 #109 | +0.4714 | +5.8 deg | forward | **-0.4714** | **ANTI-COMPASS** |
| P-801-final60 #6195 | +0.0100 | +2.3 deg | forward | **-0.0100** | **ANTI-COMPASS** |
| P-801-final60 #9041 | +0.6265 | +175.6 deg | backward | **+0.6265** | **COMPASS** |
| P-801-final60 #14809 | -0.6392 | +1.4 deg | forward | **+0.6392** | **COMPASS** |
| P-801-final60 #15505 | -54.9782 | +170.7 deg | backward | **-54.9782** | **ANTI-COMPASS** |
| P-801-final60 #15780 | +0.4607 | -1.4 deg | forward | **-0.4607** | **ANTI-COMPASS** |
| P-801-final60 #21070 | +0.0690 | -173.2 deg | backward | **+0.0690** | **COMPASS** |
| P-801-final60 #22053 | -0.0055 | +178.3 deg | backward | **-0.0055** | **ANTI-COMPASS** |
| P-801-final60 #22102 | -1.3640 | -0.7 deg | forward | **+1.3640** | **COMPASS** |
| P-801-final60 #26023 | -0.0302 | -0.3 deg | forward | **+0.0302** | **COMPASS** |
| P-801-final60 #30934 | +0.0673 | +43.9 deg | forward | **-0.0673** | **ANTI-COMPASS** |
