season  pop           alive  births  deaths  best/mean lifetime  mean age  max age
     0  holistic         57       1       4  0.912/-0.028           26.8       57
     0  conventional     60       1       1  5.310/0.211           31.5       55
     1  holistic         60       3       0  2.924/0.048           26.4       58
     1  conventional     60       0       0  2.523/0.050           32.5       56
     2  holistic         60       0       0  1.429/0.029           27.4       59
     2  conventional     60       7       7  2.521/0.185           30.1       57
     3  holistic         60       2       2  1.407/0.050           27.2       58
     3  conventional     60       4       4  2.272/0.156           28.6       58
     4  holistic         60       1       1  1.505/0.083           28.1       59
     4  conventional     60       5       5  2.123/0.243           27.3       59
     5  holistic         60       3       3  1.959/0.125           27.0       59
     5  conventional     60       8       8  4.233/0.408           25.6       58
     6  holistic         60       1       1  1.618/0.147           27.0       57
     6  conventional     60       4       4  3.296/0.401           24.4       59
     7  holistic         60       2       2  1.405/0.182           26.9       58
     7  conventional     60       5       5  1.565/0.498           23.6       58
     8  holistic         60       1       1  1.349/0.145           27.2       59
     8  conventional     60       6       6  4.355/0.613           21.8       59
     9  holistic         60       4       4  1.304/0.149           25.9       59
     9  conventional     60       3       3  3.565/0.662           20.7       56
    10  holistic         60       3       3  1.359/0.184           24.5       58
    10  conventional     60       8       8  2.923/0.610           20.1       57
    11  holistic         31       9      38  1.322/0.389            8.3       59
    11  conventional     60       3       3  2.489/0.562           20.2       58
    12  holistic         37       8       2  2.918/0.430            6.0       59
    12  conventional     60       3       3  2.038/0.528           20.2       59
    13  holistic         41       7       3  1.542/0.416            4.7       38
    13  conventional     60       8       8  1.988/0.531           18.2       59
    14  holistic         49       9       1  1.468/0.424            4.7       39
    14  conventional     60       3       3  3.462/0.660           18.0       58
    15  holistic         60      13       2  2.969/0.576            4.5       40
    15  conventional     60       3       3  1.546/0.648           17.4       59
    16  holistic         60       4       4  1.915/0.665            5.2       41
    16  conventional     60       2       2  6.265/0.906           17.4       59
    17  holistic         60       2       2  1.637/0.699            6.1       42
    17  conventional     60       2       2  3.284/0.754           17.3       58
    18  holistic         60       1       1  2.955/0.855            7.0       43
    18  conventional     60       2       2  2.112/0.763           17.4       59
    19  holistic         60       5       5  2.958/0.882            7.7       44
    19  conventional     60       1       1  2.073/0.757           17.4       56
    20  holistic         60       0       0  2.292/0.900            8.7       45
    20  conventional     60       1       1  1.846/0.726           18.2       57
    21  holistic         60       1       1  2.372/0.876            9.6       46
    21  conventional     60       5       5  1.901/0.716           18.8       58
    22  holistic         60       0       0  2.243/0.926           10.6       47
    22  conventional     60       5       5  2.513/0.744           18.5       59
    23  holistic         60       3       3  2.334/0.947           11.4       48
    23  conventional     60       3       3  2.405/0.712           18.4       55
    24  holistic         60       0       0  2.227/0.923           12.4       49
    24  conventional     60       2       2  2.209/0.779           19.4       56
    25  holistic         60       2       2  2.381/0.997           12.5       28
    25  conventional     60       1       1  2.446/0.850           20.3       57
    26  holistic         60       0       0  3.965/1.084           13.5       29
    26  conventional     60       1       1  3.095/0.803           21.2       58
    27  holistic         60       2       2  2.158/1.002           14.2       30
    27  conventional     60       4       4  2.425/0.814           20.3       59
    28  holistic         60       0       0  1.999/0.992           15.2       31
    28  conventional     60       2       2  2.026/0.804           20.3       57
    29  holistic         60       0       0  1.861/0.961           16.2       32
    29  conventional     60       3       3  1.826/0.771           20.8       58
    30  holistic         60       0       0  1.890/0.991           17.2       33
    30  conventional     60       2       2  1.865/0.807           21.8       59
    31  holistic         60       1       1  1.889/0.981           17.8       34
    31  conventional     60       4       4  1.733/0.756           21.6       59
    32  holistic         60       0       0  1.762/0.991           18.8       35
    32  conventional     60       2       2  4.275/0.863           20.6       57
    33  holistic         60       0       0  1.666/0.992           19.8       36
    33  conventional     60       3       3  4.276/0.851           21.4       58
    34  holistic         60       0       0  1.779/1.003           20.8       37
    34  conventional     60       2       2  3.622/0.834           22.3       59
    35  holistic         60       2       2  1.786/1.006           21.6       38
    35  conventional     60       3       3  3.284/0.797           21.2       59
    36  holistic         60       0       0  1.702/1.013           22.6       39
    36  conventional     60       2       2  3.284/0.840           21.2       56
    37  holistic         60       2       2  1.755/1.030           23.6       40
    37  conventional     60       3       3  3.446/0.853           22.1       57
    38  holistic         60       0       0  1.852/1.042           24.6       41
    38  conventional     60       1       1  3.278/0.867           23.1       58
    39  holistic         60       0       0  1.809/1.050           25.6       42
    39  conventional     60       1       1  2.904/0.906           24.0       59
    40  holistic         60       0       0  1.737/1.055           26.6       43
    40  conventional     60       2       2  2.611/0.877           24.0       59
    41  holistic         60       2       2  1.781/1.055           27.4       44
    41  conventional     60       2       2  2.477/0.841           23.9       54
    42  holistic         60       0       0  1.786/1.054           28.4       45
    42  conventional     60       1       1  4.480/0.978           24.9       55
    43  holistic         60       0       0  1.826/1.041           29.4       46
    43  conventional     60       1       1  3.480/0.939           25.6       56
    44  holistic         60       0       0  1.763/1.058           30.4       47
    44  conventional     60       1       1  3.476/0.926           26.6       57
    45  holistic         60       2       2  1.768/1.065           31.3       48
    45  conventional     60       1       1  2.970/0.920           27.3       58
    46  holistic         60       0       0  1.861/1.077           32.3       49
    46  conventional     60       1       1  2.273/0.916           28.2       59
    47  holistic         60       0       0  1.841/1.077           33.3       50
    47  conventional     60       1       1  2.471/0.902           28.2       54
    48  holistic         60       0       0  1.900/1.075           34.3       51
    48  conventional     60       0       0  2.326/0.903           29.2       55
    49  holistic         60       2       2  1.871/1.072           35.2       52
    49  conventional     60       0       0  2.220/0.902           30.2       56
    50  holistic         60       1       1  1.843/1.082           35.6       53
    50  conventional     60       2       2  2.137/0.899           31.1       57
    51  holistic         60       0       0  1.817/1.065           36.6       54
    51  conventional     60       0       0  3.518/0.938           32.1       58
    52  holistic         60       0       0  1.850/1.050           37.6       55
    52  conventional     60       1       1  2.511/0.925           33.1       59
    53  holistic         60       1       1  1.964/1.058           38.5       56
    53  conventional     60       1       1  2.158/0.927           33.1       59
    54  holistic         60       1       1  1.937/1.047           39.4       57
    54  conventional     60       1       1  1.997/0.885           33.1       52
    55  holistic         60       0       0  2.017/1.040           40.4       58
    55  conventional     60       0       0  2.283/0.884           34.1       53
    56  holistic         60       0       0  1.990/1.047           41.4       59
    56  conventional     60       1       1  1.813/0.910           35.1       54
    57  holistic         60       1       1  2.014/1.055           41.4       57
    57  conventional     60       0       0  2.044/0.902           36.1       55
    58  holistic         60       1       1  2.037/1.060           42.4       58
    58  conventional     60       1       1  2.222/0.902           37.0       56
    59  holistic         60       0       0  2.036/1.053           43.4       59
    59  conventional     60       0       0  2.375/0.945           38.0       57
    60  holistic         60       1       1  2.011/1.016           43.4       59
    60  conventional     60       0       0  2.872/0.934           39.0       58
    61  holistic         60       3       3  2.711/1.012           42.3       58
    61  conventional     60       0       0  1.924/0.916           40.0       59
    62  holistic         60       1       1  2.009/0.984           43.2       59
    62  conventional     60       2       2  1.800/0.894           39.0       59
    63  holistic         60       2       2  2.008/1.007           42.2       59
    63  conventional     60       1       1  2.494/0.952           39.0       59
    64  holistic         60       1       1  3.920/1.099           42.2       59
    64  conventional     60       3       3  2.539/0.913           37.0       59
    65  holistic         60       3       3  2.418/1.058           41.2       59
    65  conventional     60       3       3  2.358/0.892           35.9       59
    66  holistic         60       1       1  2.253/1.142           41.2       59
    66  conventional     60       1       1  4.432/1.010           35.9       59
    67  holistic         60       1       1  2.025/1.073           41.2       58
    67  conventional     60       3       3  3.509/1.025           33.9       59
    68  holistic         60       0       0  2.004/1.065           42.2       59
    68  conventional     60       5       5  2.965/0.900           31.4       59
    69  holistic         60       2       2  2.063/1.041           41.2       59
    69  conventional     60       4       4  2.147/0.873           30.4       59
    70  holistic         60       2       2  2.096/1.025           40.2       59
    70  conventional     60       2       2  2.236/0.962           30.3       59
    71  holistic         60       5       5  2.112/0.942           36.2       59
    71  conventional     60       3       3  2.398/0.992           29.3       59
    72  holistic         60       5       5  2.092/0.937           32.2       59
    72  conventional     60       3       3  2.191/0.880           28.2       59
    73  holistic         60       6       6  2.982/0.873           28.1       59
    73  conventional     60      10      10  2.028/0.797           23.1       59
    74  holistic         60       7       7  2.982/0.776           22.1       59
    74  conventional     60       4       4  1.998/0.849           22.0       59
    75  holistic         60       8       8  2.981/0.764           16.0       59
    75  conventional     60       4       4  2.156/0.881           21.9       59
    76  holistic         60       6       6  2.966/0.867           12.9       59
    76  conventional     60       2       2  2.492/0.963           21.8       56
    77  holistic         60       4       4  3.945/0.897           12.7       58
    77  conventional     60       3       3  1.859/0.864           22.7       57
    78  holistic         60       2       2  2.608/0.884           13.2       59
    78  conventional     60       2       2  4.377/1.005           23.4       58
    79  holistic         60       6       6  2.930/0.895           11.9       56
    79  conventional     60       0       0  1.913/0.952           24.4       59
    80  holistic         60       2       2  2.930/0.999           12.8       57
    80  conventional     60       2       2  1.808/0.953           24.4       59
    81  holistic         60       0       0  2.859/1.013           13.8       58
    81  conventional     60       4       4  2.190/0.871           22.3       59
    82  holistic         60       0       0  2.680/1.010           14.8       59
    82  conventional     60       1       1  2.532/1.052           22.3       59
    83  holistic         60       4       4  2.520/0.942           12.7       58
    83  conventional     60       3       3  3.286/1.003           21.1       56
    84  holistic         60       0       0  2.842/1.037           13.7       59
    84  conventional     60       1       1  3.287/0.972           21.4       57
    85  holistic         60       2       2  2.492/1.026           12.7       58
    85  conventional     60       0       0  6.505/1.042           22.4       58
    86  holistic         60       0       0  2.397/1.011           13.7       59
    86  conventional     60       3       3  4.005/0.989           23.2       59
    87  holistic         60       1       1  2.202/1.006           13.7       38
    87  conventional     60       1       1  3.174/1.000           23.2       57
    88  holistic         60       0       0  2.629/0.984           14.7       39
    88  conventional     60       1       1  2.511/1.027           24.1       58
    89  holistic         60       0       0  2.474/1.004           15.7       40
    89  conventional     60       1       1  2.309/1.000           24.8       59
    90  holistic         60       0       0  2.512/1.008           16.7       41
    90  conventional     60       3       3  1.882/0.960           24.7       59
    91  holistic         60       1       1  2.391/1.038           17.5       42
    91  conventional     60       3       3  1.911/0.914           22.7       59
    92  holistic         60       0       0  2.358/1.028           18.5       43
    92  conventional     60       2       2  1.885/0.880           22.6       59
