population	name	generation	age	evals	fitness	parents
holistic	h0-0	10	11	11	0.0	
holistic	h0-1	10	43	11	0.0	
holistic	h0-2	10	47	11	0.0	
holistic	h0-3	10	22	11	0.0	
holistic	h0-4	5	59	6	-0.0018	
holistic	h0-5	12	58	13	0.0996	
holistic	h0-6	10	43	11	0.0	
holistic	h0-7	1	59	2	0.0	
holistic	h0-8	10	31	11	-0.0011	
holistic	h0-10	10	44	11	0.0	
holistic	h0-11	10	32	11	-0.002	
holistic	h0-12	10	55	11	-0.0029	
holistic	h0-13	10	21	11	-0.0	
holistic	h0-14	10	49	11	0.0	
holistic	h0-15	6	29	7	-0.1441	
holistic	h0-16	6	59	7	-0.0002	
holistic	h0-17	10	14	11	-0.009	
holistic	h0-18	8	50	9	-0.0544	
holistic	h0-19	10	19	11	0.0	
holistic	h0-20	10	33	11	0.0	
holistic	h0-21	10	53	11	-0.0006	
holistic	h0-22	8	59	9	-0.0002	
holistic	h0-23	10	43	11	0.0	
holistic	h0-24	6	50	7	-0.1052	
holistic	h0-25	10	33	11	0.0	
holistic	h0-26	10	17	11	0.0	
holistic	h0-27	10	49	11	0.0	
holistic	h0-28	0	59	1	-0.0259	
holistic	h0-29	10	47	11	0.0909	
holistic	h0-30	10	14	11	-0.0054	
holistic	h0-31	9	55	10	-0.0424	
holistic	h0-32	10	35	11	0.0	
holistic	h0-33	13	38	14	0.0509	
holistic	h0-34	2	59	3	-0.0	
holistic	h0-35	10	27	11	0.0	
holistic	h0-36	10	52	11	0.0	
holistic	h0-37	8	27	9	-0.0556	
holistic	h0-38	10	53	11	-0.0	
holistic	h0-39	9	36	10	-0.0231	
holistic	h0-40	8	59	9	0.3235	
holistic	h0-41	10	38	11	0.0	
holistic	h0-42	10	39	11	0.0	
holistic	h0-43	10	47	11	-0.0	
holistic	h0-44	10	12	11	-0.0003	
holistic	h0-45	10	48	11	-0.0016	
holistic	h0-46	10	50	11	-0.0053	
holistic	h0-47	4	50	5	-0.2606	
holistic	h0-48	14	20	15	0.2014	
holistic	h0-49	1	59	2	-0.0009	
holistic	h0-50	10	56	11	0.0	
holistic	h0-51	10	19	11	0.0	
holistic	h0-52	8	37	9	-0.0799	
holistic	h0-53	10	35	11	-0.0	
holistic	h0-54	10	59	11	0.4765	
holistic	h0-55	10	15	11	-0.0109	
holistic	h0-56	4	59	5	-0.0	
holistic	h0-57	10	53	11	-0.0042	
holistic	h0-58	10	26	11	-0.0172	
holistic	h0-59	18	33	19	0.0983	
holistic	he61	9	9	9	0.1565	h0-48
conventional	c0-0	1	27	2	-0.8903	
conventional	c0-1	15	50	16	0.2238	
conventional	c0-2	2	49	3	-0.5753	
conventional	c0-3	12	13	13	0.289	
conventional	c0-4	4	29	5	-0.2752	
conventional	c0-5	1	10	2	-0.828	
conventional	c0-6	9	55	10	0.2389	
conventional	c0-7	6	20	7	-0.1618	
conventional	c0-8	4	56	5	-0.2162	
conventional	c0-9	5	20	6	-0.1959	
conventional	c0-10	1	8	2	-0.8502	
conventional	c0-11	13	57	14	0.131	
conventional	c0-12	6	16	7	0.0421	
conventional	c0-13	7	58	8	-0.1119	
conventional	c0-14	3	46	4	-0.3307	
conventional	c0-15	1	59	2	0.6714	
conventional	c0-16	6	17	7	0.0035	
conventional	c0-18	3	33	4	-0.4251	
conventional	c0-19	2	38	3	-0.5906	
conventional	c0-20	4	26	5	-0.329	
conventional	c0-21	15	42	16	0.1328	
conventional	c0-22	31	32	32	0.2648	
conventional	c0-23	25	59	26	0.6941	
conventional	c0-24	6	58	7	-0.0184	
conventional	c0-25	4	18	5	0.0146	
conventional	c0-26	4	36	5	-0.2521	
conventional	c0-27	15	57	16	0.286	
conventional	c0-28	16	59	17	0.4376	
conventional	c0-29	3	6	4	-0.3881	
conventional	c0-30	7	53	8	-0.0782	
conventional	c0-31	10	46	11	0.0256	
conventional	c0-32	20	59	21	0.428	
conventional	c0-33	10	33	11	0.0223	
conventional	c0-34	2	26	3	-0.6027	
conventional	c0-35	6	10	7	0.0051	
conventional	c0-36	1	19	2	-0.7639	
conventional	c0-37	2	10	3	-0.4758	
conventional	c0-38	4	57	5	-0.189	
conventional	c0-39	5	59	6	-0.2079	
conventional	c0-40	6	52	7	-0.119	
conventional	c0-41	6	35	7	-0.1147	
conventional	c0-42	3	54	4	-0.3348	
conventional	c0-43	8	27	9	0.369	
conventional	c0-44	20	56	21	0.5604	
conventional	c0-45	6	44	7	-0.1085	
conventional	c0-46	10	20	11	-0.0139	
conventional	c0-47	6	43	7	0.1505	
conventional	c0-48	1	59	2	-0.5216	
conventional	c0-49	3	56	4	-0.3817	
conventional	c0-50	8	28	9	-0.0404	
conventional	c0-51	5	51	6	-0.1119	
conventional	c0-52	5	9	6	-0.2044	
conventional	c0-53	8	46	9	-0.0591	
conventional	c0-54	9	59	10	-0.0064	
conventional	c0-55	8	28	9	-0.0358	
conventional	c0-56	5	33	6	-0.1782	
conventional	c0-57	10	19	11	-0.0007	
conventional	c0-58	9	20	10	0.0174	
conventional	c0-59	22	34	23	0.3954	
conventional	ce61	0	0	0	0.0	c0-25,c0-20
holistic	he62	2	1	1	-0.316	h0-54
conventional	ce62	3	2	2	-0.0737	c0-24
holistic	he63	10	8	8	0.1683	h0-54,h0-33
holistic	he64	3	1	1	-0.3358	h0-5
conventional	ce63	2	0	0	0.0	c0-35,c0-43
conventional	ce64	5	3	3	-0.0739	c0-16
