season	population	sizes	names_in_groups_below_modal
0	holistic	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
0	conventional	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
1	holistic	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
1	conventional	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
2	holistic	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
2	conventional	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
3	holistic	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
3	conventional	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
4	holistic	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
4	conventional	4,4,4,4,4,4,4,4,4,4,4,4,4	
5	holistic	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	
5	conventional	4,4,4,4,4,4,4,4,4,4,4,4,1	c0-3
6	holistic	4,4,4,4,4,4,4,4,4,4,4,4,4,4,2	h0-18,h0-34
6	conventional	4,4,4,4,4,4,4,4,4,4,4,3	c0-20,c0-35,ce75
7	holistic	4,4,4,4,4,4,4,4,4,4,4,4,4,4	
7	conventional	4,4,4,4,4,4,4,4,4,4,4,3	ce97,ce75,ce85
8	holistic	4,4,4,4,4,4,4,4,4,4,4,4,4,2	h0-27,h0-3
8	conventional	4,4,4,4,4,4,4,4,4,4,4,3	ce94,ce107,ce92
9	holistic	4,4,4,4,4,4,4,4,4,4,4,4,4,1	h0-43
9	conventional	4,4,4,4,4,4,4,4,4,4,4,4,1	c0-6
10	holistic	4,4,4,4,4,4,4,4,4,4,4,4	
10	conventional	4,4,4,4,4,4,4,4,4,4,4,4	
11	holistic	4,4,4,4,4,4,4,4,4,4,4,1	h0-0
11	conventional	4,4,4,4,4,4,4,4,4,4,4	
12	holistic	4,4,3	h0-17,h0-55,he65
12	conventional	4,4,4,4,4,4,4,4,1	ce75
13	holistic	4,4,2	h0-17,h0-50
13	conventional	4,4,4,4,4,4,2	ce121,ce75
14	holistic	4,4,1	h0-2
14	conventional	4,4,4,4,4,4,1	c0-26
15	holistic	4,3	
15	conventional	4,4,4,4,4,2	ce106,c0-33
16	holistic	4,1	
16	conventional	4,4,4,4	
17	holistic	4,1	
17	conventional	4,4,4,4	
18	holistic	4,2	
18	conventional	4,4,4,1	ce109
19	holistic	4,1	
19	conventional	4,4,4,2	ce131,ce106
20	holistic	4,1	
20	conventional	4,4,4,4,2	ce138,ce106
21	holistic	4,1	
21	conventional	4,4,4,4,4,1	ce129
22	holistic	4,1	
22	conventional	4,4,4,4,4,1	ce136
23	holistic	4,1	
23	conventional	4,4,4,4,1	ce138
24	holistic	4	
24	conventional	4,4,4,1	ce141
25	holistic	3	
25	conventional	4,4,4	
26	holistic	2	
26	conventional	4,4,2	ce97,ce134
27	holistic	2	
27	conventional	4,4,1	ce109
28	holistic	1	
28	conventional	4,4,2	ce106,ce141
29	holistic	1	
29	conventional	4,4,2	ce151,ce97
30	holistic	1	
30	conventional	4,4,1	ce152
31	holistic	1	
31	conventional	4,4,1	ce141
32	holistic	1	
32	conventional	4,4,2	ce109,ce155
33	holistic	1	
33	conventional	4,4,1	ce152
34	holistic	1	
34	conventional	4,4	
35	holistic	1	
35	conventional	4,4	
36	holistic	1	
36	conventional	4,4,1	ce106
37	holistic	1	
37	conventional	4,4,1	ce158
38	holistic	1	
38	conventional	4,2	
39	holistic	1	
39	conventional	4,2	
40	holistic	1	
40	conventional	4,2	
41	holistic	1	
41	conventional	4,2	
42	holistic	1	
42	conventional	4,4	
43	holistic	1	
43	conventional	4,4	
44	holistic	1	
44	conventional	4,3	
45	holistic	1	
45	conventional	4	
46	holistic	1	
46	conventional	4	
47	conventional	3	
48	conventional	3	
49	conventional	4	
50	conventional	2	
51	conventional	2	
52	conventional	2	
53	conventional	1	
54	conventional	1	
55	conventional	2	
56	conventional	3	
57	conventional	3	
58	conventional	3	
59	conventional	4	
