season	population	alive	energy_head	ran	starved	aged	net_survivors	net_all_ub	food	work
0	holistic	60	2.7339	59	0	0	0.0302	0.0302	0.0678	0.0376
0	conventional	60	2.7545	59	0	0	0.0512	0.0512	0.6441	0.5929
1	holistic	60	2.6207	60	0	0	0.1369	0.1369	0.1667	0.0298
1	conventional	60	2.7565	59	0	1	0.2888	0.2888	0.8814	0.5926
2	holistic	60	2.3464	59	0	1	0.0134	0.0134	0.0508	0.0375
2	conventional	60	2.7069	56	4	0	0.2514	0.2004	0.8214	0.5700
3	holistic	60	2.1047	59	0	1	0.0400	0.0400	0.0678	0.0278
3	conventional	60	2.7210	57	3	0	0.2910	0.2642	0.8596	0.5686
4	holistic	60	1.9480	58	1	1	0.1268	0.1246	0.1552	0.0284
4	conventional	60	2.9574	55	5	0	0.5460	0.4864	1.1091	0.5631
5	holistic	60	1.6054	57	0	3	-0.0050	-0.0050	0.0175	0.0225
5	conventional	60	2.9398	54	5	1	0.3063	0.2717	0.8889	0.5826
6	holistic	60	1.3431	57	2	1	0.0108	0.0087	0.0351	0.0243
6	conventional	60	2.8672	54	5	1	0.2306	0.1895	0.7963	0.5657
7	holistic	60	1.1501	57	2	1	0.0750	0.0737	0.1053	0.0303
7	conventional	60	3.0706	51	8	1	0.6338	0.5351	1.2157	0.5819
8	holistic	60	1.0214	55	3	2	0.1588	0.1514	0.2000	0.0412
8	conventional	60	3.3532	50	9	1	0.7972	0.6178	1.3600	0.5628
9	holistic	57	0.8679	54	5	1	0.1078	0.1010	0.1481	0.0404
9	conventional	60	3.8360	57	1	2	0.7853	0.7668	1.3684	0.5831
10	holistic	54	0.8673	52	4	1	0.2374	0.2113	0.2692	0.0319
10	conventional	60	4.0659	52	7	1	0.6622	0.5833	1.2308	0.5686
11	holistic	22	1.5498	22	32	0	0.0116	0.0141	0.0909	0.0793
11	conventional	60	4.0892	57	3	0	0.3131	0.2733	0.8772	0.5640
12	holistic	22	1.6892	19	3	0	0.4440	0.3894	0.5263	0.0823
12	conventional	60	4.8091	56	3	1	1.1042	1.0278	1.6607	0.5565
13	holistic	22	1.5824	20	2	0	0.1568	0.1433	0.2500	0.0932
13	conventional	60	5.0424	58	1	1	0.6139	0.6002	1.1724	0.5585
14	holistic	24	1.3341	22	0	0	0.1229	0.1229	0.2273	0.1044
14	conventional	60	5.2846	56	4	0	0.5223	0.4921	1.0714	0.5491
15	holistic	26	1.4188	22	2	0	0.4959	0.4530	0.5909	0.0950
15	conventional	60	5.6547	57	2	1	0.7541	0.7271	1.3158	0.5617
16	holistic	27	1.5273	23	3	0	0.4638	0.4173	0.5652	0.1014
16	conventional	60	5.8558	57	3	0	0.4865	0.4511	1.0351	0.5485
17	holistic	29	1.4840	25	2	0	0.3344	0.3166	0.4400	0.1056
17	conventional	60	6.2965	56	4	0	0.7452	0.6907	1.2857	0.5406
18	holistic	30	1.3637	26	2	1	0.2424	0.2268	0.3462	0.1038
18	conventional	60	6.1733	56	2	2	0.6063	0.5850	1.1429	0.5365
19	holistic	28	1.3781	26	4	0	0.2028	0.1726	0.3077	0.1049
19	conventional	60	6.0782	56	4	0	0.1945	0.1549	0.7321	0.5377
20	holistic	27	1.3246	25	3	0	0.1574	0.1492	0.2800	0.1226
20	conventional	60	6.1330	56	4	0	0.3378	0.3047	0.8571	0.5194
21	holistic	24	1.6178	22	5	0	0.4394	0.3634	0.5909	0.1515
21	conventional	60	6.7507	57	3	0	0.9357	0.8677	1.4561	0.5204
22	holistic	25	1.6003	22	2	0	0.3287	0.2992	0.5000	0.1713
22	conventional	60	7.0095	56	4	0	0.5496	0.5088	1.0714	0.5219
23	holistic	27	1.7201	23	2	0	0.5625	0.5074	0.7391	0.1766
23	conventional	60	7.2551	58	2	0	0.5201	0.4956	1.0345	0.5144
24	holistic	30	1.7997	26	1	0	0.5476	0.5296	0.6923	0.1447
24	conventional	60	8.2817	59	1	0	1.3005	1.2766	1.8305	0.5301
25	holistic	40	1.7043	29	1	0	0.7475	0.7227	0.8966	0.1490
25	conventional	60	7.9789	57	2	1	0.3465	0.3360	0.8596	0.5131
26	holistic	45	1.4955	40	0	0	0.2281	0.2281	0.3750	0.1469
26	conventional	60	8.2523	59	1	0	0.5357	0.5234	1.0508	0.5152
27	holistic	51	1.5263	40	5	0	0.5496	0.4843	0.7000	0.1504
27	conventional	60	8.9489	58	2	0	0.9965	0.9467	1.5000	0.5035
28	holistic	57	1.4876	46	5	0	0.4287	0.3863	0.5870	0.1582
28	conventional	60	8.9635	59	1	0	0.2694	0.2646	0.7797	0.5102
29	holistic	59	1.4302	52	5	0	0.2648	0.2428	0.4423	0.1775
29	conventional	60	9.2838	56	4	0	0.6399	0.5703	1.1607	0.5208
