# RBT-101 adversary probe A: `new` against reproduction depth and against a non-posture placebo, baseline arms only (no terrain change), pseudo-onsets T every 20 seasons, P at T + 160
seed	fauna	T	|P|	new	new_other	depth	births
forage-801	holistic	100	60	0.150	0.033	4.20	257
forage-801	conventional	100	60	0.150	0.150	4.28	336
forage-801	holistic	120	60	0.100	0.050	4.43	243
forage-801	conventional	120	60	0.033	0.133	4.40	338
forage-801	holistic	140	60	0.033	0.067	4.67	254
forage-801	conventional	140	60	0.067	0.133	4.28	312
forage-801	holistic	160	60	0.083	0.050	4.32	254
forage-801	conventional	160	60	0.050	0.133	4.05	304
forage-801	holistic	180	60	0.083	0.100	4.40	250
forage-801	conventional	180	60	0.067	0.233	4.73	326
forage-801	holistic	200	60	0.083	0.100	4.58	270
forage-801	conventional	200	60	0.067	0.167	4.13	308
forage-801	holistic	220	60	0.067	0.183	4.20	265
forage-801	conventional	220	60	0.100	0.217	4.55	285
forage-801	holistic	240	60	0.100	0.200	4.33	250
forage-801	conventional	240	60	0.117	0.133	4.30	287
forage-801	holistic	260	60	0.117	0.200	3.93	257
forage-801	conventional	260	60	0.333	0.150	4.45	278
forage-801	holistic	280	60	0.133	0.100	4.05	269
forage-801	conventional	280	60	0.150	0.017	4.25	264
forage-801	holistic	300	60	0.167	0.117	4.50	280
forage-801	conventional	300	60	0.033	0.067	4.48	286
forage-801	holistic	320	60	0.250	0.083	4.48	274
forage-801	conventional	320	60	0.183	0.017	4.32	289
forage-801	holistic	340	60	0.183	0.133	4.25	276
forage-801	conventional	340	60	0.233	0.017	4.38	273
forage-801	holistic	360	60	0.167	0.100	4.27	269
forage-801	conventional	360	60	0.067	0.033	4.43	276
forage-801	holistic	380	60	0.150	0.100	3.97	273
forage-801	conventional	380	60	0.133	0.050	4.58	284
forage-801	holistic	400	60	0.100	0.083	3.97	269
forage-801	conventional	400	60	0.100	0.050	4.70	289
forage-801	holistic	420	60	0.067	0.067	4.10	277
forage-801	conventional	420	60	0.100	0.050	4.57	277
forage-804	holistic	100	60	0.133	0.233	3.80	236
forage-804	conventional	100	60	0.100	0.183	4.03	277
forage-804	holistic	120	60	0.167	0.333	4.60	287
forage-804	conventional	120	60	0.067	0.167	4.45	295
forage-804	holistic	140	60	0.150	0.317	4.30	260
forage-804	conventional	140	60	0.033	0.150	4.17	296
forage-804	holistic	160	60	0.083	0.317	3.68	229
forage-804	conventional	160	60	0.017	0.117	3.82	280
forage-804	holistic	180	60	0.233	0.383	4.78	269
forage-804	conventional	180	60	0.050	0.117	4.12	296
forage-804	holistic	200	60	0.267	0.383	4.85	256
forage-804	conventional	200	60	0.050	0.167	4.50	304
forage-804	holistic	220	60	0.400	0.367	4.22	224
forage-804	conventional	220	60	0.050	0.167	4.48	277
forage-804	holistic	240	60	0.300	0.300	5.10	252
forage-804	conventional	240	60	0.017	0.083	4.55	269
forage-804	holistic	260	60	0.333	0.217	4.88	243
forage-804	conventional	260	60	0.000	0.133	4.67	276
forage-804	holistic	280	60	0.150	0.167	4.70	210
forage-804	conventional	280	60	0.000	0.150	4.25	267
forage-804	holistic	300	60	0.150	0.050	4.85	235
forage-804	conventional	300	60	0.083	0.083	4.37	257
forage-804	holistic	320	60	0.133	0.000	4.43	247
forage-804	conventional	320	60	0.083	0.083	4.40	260
forage-804	holistic	340	60	0.100	0.000	3.95	219
forage-804	conventional	340	60	0.100	0.033	4.42	262
forage-804	holistic	360	60	0.100	0.067	4.40	243
forage-804	conventional	360	60	0.067	0.050	4.37	255
forage-804	holistic	380	60	0.117	0.067	4.12	248
forage-804	conventional	380	60	0.017	0.050	4.73	262
forage-804	holistic	400	60	0.150	0.100	3.67	219
forage-804	conventional	400	60	0.017	0.050	4.42	263
forage-804	holistic	420	60	0.150	0.083	4.00	249
forage-804	conventional	420	60	0.000	0.117	4.20	262
forage-805	holistic	100	60	0.250	0.000	4.57	237
forage-805	conventional	100	60	0.317	0.467	4.50	328
forage-805	holistic	120	60	0.183	0.000	5.48	272
forage-805	conventional	120	60	0.300	0.517	4.68	353
forage-805	holistic	140	60	0.133	0.000	5.08	258
forage-805	conventional	140	60	0.100	0.083	4.43	330
