population	name	born	g1	g2	n1	n2	ns	g2_contact	g2_height	g2_up	g2_joint	g1_other	g1_vel
holistic	h0-0	-1	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-1	-33	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-2	-37	0	0	0	0	1	0	0	0	0	0	0
holistic	h0-3	-12	0	0	0	0	2	0	0	0	0	0	0
holistic	h0-4	-54	0	0	0	0	1	0	0	0	0	0	0
holistic	h0-5	-46	0	4.119603	0	12	4	0.821906	0	0	3.297697	5.433286	0
holistic	h0-6	-33	0	0	0	0	1	0	0	0	0	0	0
holistic	h0-7	-58	0	0	0	0	2	0	0	0	0	0	0
holistic	h0-8	-21	1.387433	4.924938	2	3	5	0	0	0	4.924938	6.382872	0
holistic	h0-10	-34	0	0	0	0	3	0	0	0	0	0	0
holistic	h0-11	-22	0	0	0	0	1	0	0	0	0	0	0
holistic	h0-12	-45	2.003376	3.140355	3	11	8	0	0.575952	0	2.564403	0	0
holistic	h0-13	-11	1.374180	3.358047	1	2	2	0	0	0	3.358047	0	0
holistic	h0-14	-39	0	0	0	0	3	0	0	0	0	0	0
holistic	h0-15	-23	9.291447	33.939697	18	74	13	0	0	20.786337	13.153360	1.150130	0
holistic	h0-16	-53	0	0	0	0	10	0	0	0	0	0	0
holistic	h0-17	-4	2.174656	5.295342	2	4	15	0	0	5.295342	0	0.609424	7.311530
holistic	h0-18	-42	0	0	0	0	0	0	0	0	0	0	2.463561
holistic	h0-19	-9	0	0	0	0	9	0	0	0	0	0	0
holistic	h0-20	-23	0	0	0	0	3	0	0	0	0	0	0
holistic	h0-21	-43	0.177991	3.726232	1	8	10	0	0	1.013696	2.712536	0	0
holistic	h0-22	-51	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-23	-33	0	0	0	0	1	0	0	0	0	0	0
holistic	h0-24	-44	3.202328	21.204892	12	12	16	0	0	21.204892	0	0	5.871872
holistic	h0-25	-23	0	0	0	0	1	0	0	0	0	0	0
holistic	h0-26	-7	0	0	0	0	6	0	0	0	0	0	0
holistic	h0-27	-39	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-28	-59	3.596124	44.001404	2	42	8	0	20.709920	0	23.291484	0	0
holistic	h0-29	-37	0	0	0	0	4	0	0	0	0	0	0
holistic	h0-30	-4	0	0.260249	0	2	6	0	0	0.260249	0	0	0
holistic	h0-31	-46	0	1.805514	0	3	3	0	0	1.805514	0	0	0
holistic	h0-32	-25	0	0	0	0	2	0	0	0	0	0	0
holistic	h0-33	-25	0	0.135910	0	1	1	0.135910	0	0	0	0	0
holistic	h0-34	-57	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-35	-17	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-36	-42	0	0	0	0	3	0	0	0	0	0	0
