# RBT-101 positive-control table, seed 1: C0 alive at 139, P alive at 300; from runs/RBT-90/forage-1 as restored from ckpt/rbt-90-1 at 396be445c5 (321/600 seasons; lineage and genomes only)
role	population	name	g1	g2	installable	g1_w1	g2_w1	g1_w05	g2_w05	probe_off	probe_on	c0_ancestors
C0	holistic	he265	0.584994	0.096079	-	-	-	-	-	-	-	-
C0	holistic	he266	0.116758	4.102178	-	-	-	-	-	-	-	-
C0	holistic	he267	2.141918	4.156383	-	-	-	-	-	-	-	-
C0	holistic	he272	0.000000	2.491918	-	-	-	-	-	-	-	-
C0	holistic	he273	0.447431	3.236974	-	-	-	-	-	-	-	-
C0	holistic	he277	2.070402	3.242946	-	-	-	-	-	-	-	-
C0	holistic	he278	0.500213	0.143906	-	-	-	-	-	-	-	-
C0	holistic	he279	2.120684	5.950176	-	-	-	-	-	-	-	-
C0	holistic	he281	2.462440	12.316924	-	-	-	-	-	-	-	-
C0	holistic	he285	0.000000	2.119898	-	-	-	-	-	-	-	-
C0	holistic	he287	0.789988	0.129747	-	-	-	-	-	-	-	-
C0	holistic	he289	0.612580	11.910048	-	-	-	-	-	-	-	-
C0	holistic	he291	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he294	0.447431	2.959469	-	-	-	-	-	-	-	-
C0	holistic	he295	0.607171	0.099721	-	-	-	-	-	-	-	-
C0	holistic	he297	1.466121	2.763061	-	-	-	-	-	-	-	-
C0	holistic	he299	0.789988	0.129747	-	-	-	-	-	-	-	-
C0	holistic	he300	2.226374	6.605597	-	-	-	-	-	-	-	-
C0	holistic	he301	0.584575	0.096010	-	-	-	-	-	-	-	-
C0	holistic	he302	0.000000	1.102632	-	-	-	-	-	-	-	-
C0	holistic	he307	0.612580	5.436778	-	-	-	-	-	-	-	-
C0	holistic	he308	0.584575	0.096010	-	-	-	-	-	-	-	-
C0	holistic	he312	2.120684	4.368198	-	-	-	-	-	-	-	-
C0	holistic	he313	1.845200	2.097029	-	-	-	-	-	-	-	-
C0	holistic	he315	0.607171	3.320299	-	-	-	-	-	-	-	-
C0	holistic	he316	4.698972	10.781890	-	-	-	-	-	-	-	-
C0	holistic	he319	2.909515	8.811576	-	-	-	-	-	-	-	-
C0	holistic	he320	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he324	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he327	2.331095	0.382856	-	-	-	-	-	-	-	-
C0	holistic	he330	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he333	1.030512	1.409967	-	-	-	-	-	-	-	-
C0	holistic	he337	0.550957	0.090488	-	-	-	-	-	-	-	-
C0	holistic	he338	2.141918	4.156383	-	-	-	-	-	-	-	-
C0	holistic	he341	0.598091	0.045448	-	-	-	-	-	-	-	-
C0	holistic	he342	0.447431	3.061596	-	-	-	-	-	-	-	-
C0	holistic	he345	0.116758	4.102178	-	-	-	-	-	-	-	-
C0	holistic	he348	4.241368	13.260742	-	-	-	-	-	-	-	-
C0	holistic	he349	0.825391	0.135561	-	-	-	-	-	-	-	-
C0	holistic	he351	0.447431	2.325762	-	-	-	-	-	-	-	-
C0	holistic	he353	0.607171	0.099721	-	-	-	-	-	-	-	-
C0	holistic	he355	5.819030	16.954678	-	-	-	-	-	-	-	-
C0	holistic	he358	0.607171	0.099721	-	-	-	-	-	-	-	-
C0	holistic	he359	0.598091	0.045448	-	-	-	-	-	-	-	-
C0	holistic	he360	0.306290	3.065161	-	-	-	-	-	-	-	-
C0	holistic	he362	0.500213	0.143906	-	-	-	-	-	-	-	-
C0	holistic	he363	0.584581	3.972990	-	-	-	-	-	-	-	-
C0	holistic	he364	0.607171	3.320299	-	-	-	-	-	-	-	-
C0	holistic	he365	0.447431	3.306412	-	-	-	-	-	-	-	-
C0	holistic	he367	2.617980	5.010149	-	-	-	-	-	-	-	-
C0	holistic	he368	2.120684	2.755012	-	-	-	-	-	-	-	-
C0	holistic	he369	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he371	3.690400	4.459148	-	-	-	-	-	-	-	-
C0	holistic	he373	2.349486	5.875725	-	-	-	-	-	-	-	-
C0	holistic	he374	0.584575	0.096010	-	-	-	-	-	-	-	-
C0	holistic	he375	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he376	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he377	0.607171	0.099721	-	-	-	-	-	-	-	-
C0	holistic	he378	0.614790	0.100972	-	-	-	-	-	-	-	-
C0	holistic	he379	0.584575	0.806607	-	-	-	-	-	-	-	-
P	holistic	he569	0.000000	5.270626	1	1.000000	5.663116	0.500000	5.466871	0.218291	0.287874	he342
P	holistic	he571	0.000000	0.000000	1	1.000000	0.022356	0.500000	0.011178	0.000000	0.381168	he363,he368
P	holistic	he572	0.247044	11.388324	1	1.247044	12.027204	0.747044	11.596482	0.277830	0.240870	he360
P	holistic	he574	0.742010	1.736972	1	1.742010	2.736972	1.242010	2.236972	-	-	he363
P	holistic	he575	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he338
P	holistic	he577	0.377050	0.218424	1	1.000000	0.579300	0.500000	0.289650	-	-	he338,he363,he368
P	holistic	he579	0.000000	0.000000	1	1.000000	0.289339	0.500000	0.144670	-	-	he363,he368
P	holistic	he580	0.373802	11.502520	1	1.373802	13.594375	0.873802	12.548448	-	-	he360
P	holistic	he583	0.985612	0.985612	1	1.985612	1.985612	1.485612	1.485612	-	-	he359,he378
P	holistic	he584	0.000000	0.000000	1	1.000000	2.312631	0.500000	1.156315	-	-	he353,he360,he363,he368
P	holistic	he591	0.307395	0.135660	1	1.307395	1.135660	0.807395	0.635660	-	-	he308,he374,he378
P	holistic	he592	0.684762	9.528132	1	1.684762	11.269786	1.184762	10.398959	-	-	he360
P	holistic	he593	1.376577	1.281080	1	2.376577	1.874506	1.876577	1.577793	-	-	he338
P	holistic	he595	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he338,he363,he368
P	holistic	he596	5.327088	6.361732	1	6.327088	6.614947	5.827088	6.488339	-	-	he308,he363,he374,he378
P	holistic	he598	4.241368	8.440176	1	5.241368	10.332356	4.741368	9.386266	-	-	he348
P	holistic	he607	0.000000	0.000000	1	1.000000	0.314736	0.500000	0.157368	-	-	he363,he368
P	holistic	he611	0.598091	0.057762	1	1.598091	0.154339	1.098091	0.106050	-	-	he341
P	holistic	he612	2.539218	0.685677	1	3.539218	3.004294	3.039218	1.844986	-	-	he338,he363,he368
P	holistic	he614	0.000000	0.000000	1	1.000000	0.903104	0.500000	0.451552	-	-	he319,he341,he363,he368
P	holistic	he617	0.000000	0.000000	1	1.000000	0.314736	0.500000	0.157368	-	-	he353,he363,he368
P	holistic	he618	0.247044	0.222564	1	1.247044	1.123470	0.747044	0.673017	-	-	he360
P	holistic	he620	4.241368	8.678380	1	5.241368	9.678380	4.741368	9.178380	-	-	he341,he363,he368
P	holistic	he622	1.140372	18.201442	1	2.140372	19.201442	1.640372	18.701442	-	-	he359,he360,he363,he368
P	holistic	he623	0.000000	0.009585	1	1.000000	0.683190	0.500000	0.346387	-	-	he363,he368
P	holistic	he624	0.000000	0.000000	1	1.000000	0.314736	0.500000	0.157368	-	-	he353,he359,he360,he363,he368
P	holistic	he626	0.000000	1.787690	1	1.000000	2.787690	0.500000	2.287690	-	-	he363,he368
P	holistic	he628	4.241368	8.440176	1	5.241368	10.332356	4.741368	9.386266	-	-	he348
P	holistic	he630	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he363,he368
P	holistic	he631	0.000000	0.000000	1	1.000000	0.481606	0.500000	0.240803	-	-	he353,he363,he368
P	holistic	he635	0.614790	0.352352	1	1.614790	0.656614	1.114790	0.504483	-	-	he308,he374,he378
P	holistic	he636	0.000000	0.000000	1	1.000000	0.030600	0.500000	0.015300	-	-	he353,he359,he360,he363,he368
P	holistic	he638	4.803400	2.197722	1	5.803400	3.197722	5.303400	2.697722	-	-	he341,he360,he363,he368
P	holistic	he640	0.000000	0.000000	1	1.000000	0.903104	0.500000	0.451552	-	-	he319,he341,he363,he368
P	holistic	he641	1.952034	14.488406	1	2.952034	15.730218	2.452034	14.961030	-	-	he341,he360,he363,he368
P	holistic	he643	0.985612	0.054014	1	1.985612	1.054014	1.485612	0.554014	-	-	he359,he378
P	holistic	he644	0.000000	0.000000	1	1.000000	0.755349	0.500000	0.377674	-	-	he363,he368
P	holistic	he647	0.570186	3.201045	1	1.570186	4.201045	1.070186	3.701045	-	-	he359,he360,he363
P	holistic	he650	3.287690	3.287690	1	4.287690	4.287690	3.787690	3.787690	-	-	he359,he378
P	holistic	he652	0.000000	0.000000	1	1.000000	0.271226	0.500000	0.135613	-	-	he363,he368
P	holistic	he653	3.307607	7.589585	1	4.307607	8.589585	3.807607	8.089585	-	-	he360,he363
P	holistic	he654	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he338,he363,he368
P	holistic	he655	0.307395	0.135660	1	1.307395	0.576981	0.807395	0.356320	-	-	he308,he374,he378
P	holistic	he658	2.143016	2.289636	1	3.143016	3.415607	2.643016	2.852622	-	-	he363
P	holistic	he659	0.000000	0.000000	1	1.000000	0.548308	0.500000	0.274154	-	-	he363,he368
P	holistic	he660	1.140372	1.803842	1	2.140372	2.968576	1.640372	2.386209	-	-	he359,he360,he363,he368
P	holistic	he662	0.000000	0.000000	1	1.000000	0.252389	0.500000	0.126195	-	-	he363,he368
P	holistic	he663	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he363,he368
P	holistic	he665	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he363,he368
P	holistic	he669	0.000000	0.000000	1	1.000000	0.755349	0.500000	0.377674	-	-	he363,he368
P	holistic	he670	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he359,he363,he368,he378
P	holistic	he671	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he363,he368
P	holistic	he673	1.140372	13.768170	1	2.140372	14.768170	1.640372	14.268170	-	-	he359,he360,he363,he368
P	holistic	he675	0.000000	0.000000	1	1.000000	0.481606	0.500000	0.240803	-	-	he353,he363,he368
P	holistic	he676	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he338,he363,he368
P	holistic	he677	0.008254	8.349892	1	1.008254	9.349892	0.508254	8.849892	-	-	he360
P	holistic	he678	0.000000	0.000000	1	1.000000	0.314736	0.500000	0.157368	-	-	he353,he359,he360,he363,he368
P	holistic	he679	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he338,he363,he368
P	holistic	he680	1.023310	1.023310	1	2.023310	2.023310	1.523310	1.523310	-	-	he360,he363
P	holistic	he681	0.376456	0.433930	1	1.376456	1.502858	0.876456	0.968394	-	-	he359,he363,he378
C0	conventional	ce294	0.000000	30.801949	-	-	-	-	-	-	-	-
C0	conventional	ce295	0.000000	24.294052	-	-	-	-	-	-	-	-
C0	conventional	ce297	0.000000	15.611656	-	-	-	-	-	-	-	-
C0	conventional	ce299	0.000000	34.509848	-	-	-	-	-	-	-	-
C0	conventional	ce300	0.000000	22.903992	-	-	-	-	-	-	-	-
C0	conventional	ce301	0.000000	22.949709	-	-	-	-	-	-	-	-
C0	conventional	ce305	0.000000	21.817935	-	-	-	-	-	-	-	-
C0	conventional	ce306	0.000000	38.271572	-	-	-	-	-	-	-	-
C0	conventional	ce307	0.000000	40.404479	-	-	-	-	-	-	-	-
C0	conventional	ce310	1.024726	19.004159	-	-	-	-	-	-	-	-
C0	conventional	ce311	0.000000	22.747907	-	-	-	-	-	-	-	-
C0	conventional	ce312	0.000000	18.722039	-	-	-	-	-	-	-	-
C0	conventional	ce314	0.000000	23.305883	-	-	-	-	-	-	-	-
C0	conventional	ce315	0.000000	22.393927	-	-	-	-	-	-	-	-
C0	conventional	ce316	0.000000	20.504357	-	-	-	-	-	-	-	-
C0	conventional	ce318	0.000000	28.757626	-	-	-	-	-	-	-	-
C0	conventional	ce320	0.000000	25.209102	-	-	-	-	-	-	-	-
C0	conventional	ce321	0.000000	20.296950	-	-	-	-	-	-	-	-
C0	conventional	ce322	0.000000	41.038588	-	-	-	-	-	-	-	-
C0	conventional	ce324	0.821814	23.492493	-	-	-	-	-	-	-	-
C0	conventional	ce325	0.000000	28.209762	-	-	-	-	-	-	-	-
C0	conventional	ce327	0.000000	29.087328	-	-	-	-	-	-	-	-
C0	conventional	ce330	0.000000	29.980620	-	-	-	-	-	-	-	-
C0	conventional	ce332	0.000000	45.060172	-	-	-	-	-	-	-	-
C0	conventional	ce333	0.000000	19.620277	-	-	-	-	-	-	-	-
C0	conventional	ce337	0.000000	39.233987	-	-	-	-	-	-	-	-
C0	conventional	ce338	0.000000	21.392529	-	-	-	-	-	-	-	-
C0	conventional	ce340	0.000000	41.779560	-	-	-	-	-	-	-	-
C0	conventional	ce343	0.000000	24.104974	-	-	-	-	-	-	-	-
C0	conventional	ce346	0.000000	23.520939	-	-	-	-	-	-	-	-
C0	conventional	ce348	0.000000	13.888743	-	-	-	-	-	-	-	-
C0	conventional	ce350	0.000000	30.419265	-	-	-	-	-	-	-	-
C0	conventional	ce355	0.000000	42.087448	-	-	-	-	-	-	-	-
C0	conventional	ce357	0.000000	24.718818	-	-	-	-	-	-	-	-
C0	conventional	ce358	0.000000	10.002167	-	-	-	-	-	-	-	-
C0	conventional	ce359	0.000000	21.823340	-	-	-	-	-	-	-	-
C0	conventional	ce363	0.000000	34.069570	-	-	-	-	-	-	-	-
C0	conventional	ce364	0.000000	23.842016	-	-	-	-	-	-	-	-
C0	conventional	ce365	0.000000	22.254121	-	-	-	-	-	-	-	-
