# RBT-101 positive-control table, seed 2: C0 alive at 139, P alive at 300; from runs/RBT-90/forage-2 as restored from ckpt/rbt-90-2 at a444b9abff (334/600 seasons; lineage and genomes only)
role	population	name	g1	g2	installable	g1_w1	g2_w1	g1_w05	g2_w05	probe_off	probe_on	c0_ancestors
C0	holistic	he198	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he203	0.000000	1.191108	-	-	-	-	-	-	-	-
C0	holistic	he204	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he205	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he206	0.000000	0.364764	-	-	-	-	-	-	-	-
C0	holistic	he208	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he210	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he211	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he217	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he219	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he222	0.000000	0.510820	-	-	-	-	-	-	-	-
C0	holistic	he223	0.000000	0.388658	-	-	-	-	-	-	-	-
C0	holistic	he230	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he231	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he232	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he233	0.000000	0.364764	-	-	-	-	-	-	-	-
C0	holistic	he235	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he239	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he240	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he241	0.000000	0.459276	-	-	-	-	-	-	-	-
C0	holistic	he243	0.000000	2.077332	-	-	-	-	-	-	-	-
C0	holistic	he244	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he246	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he247	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he248	8.577946	10.092582	-	-	-	-	-	-	-	-
C0	holistic	he250	0.000000	2.236864	-	-	-	-	-	-	-	-
C0	holistic	he251	0.000000	0.940868	-	-	-	-	-	-	-	-
C0	holistic	he252	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he253	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he255	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he260	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he261	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he262	0.000000	0.082690	-	-	-	-	-	-	-	-
C0	holistic	he263	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he266	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he267	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he269	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he272	0.000000	0.459276	-	-	-	-	-	-	-	-
C0	holistic	he273	0.000000	0.082690	-	-	-	-	-	-	-	-
C0	holistic	he274	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he276	0.000000	11.461972	-	-	-	-	-	-	-	-
C0	holistic	he277	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he279	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he280	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he281	0.000000	4.409216	-	-	-	-	-	-	-	-
C0	holistic	he284	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he285	0.000000	0.364764	-	-	-	-	-	-	-	-
C0	holistic	he286	0.000000	0.082690	-	-	-	-	-	-	-	-
C0	holistic	he287	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he288	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he289	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he291	0.000000	0.449919	-	-	-	-	-	-	-	-
C0	holistic	he292	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he293	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he295	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he296	0.000000	0.459276	-	-	-	-	-	-	-	-
C0	holistic	he298	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he299	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he300	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he301	0.000000	0.000000	-	-	-	-	-	-	-	-
P	holistic	he492	0.000000	2.227248	1	1.000000	3.227248	0.500000	2.727248	0.025305	0.036207	he296
P	holistic	he493	0.000000	0.000000	1	1.000000	2.043651	0.500000	1.021826	0.000000	0.000000	he260,he272,he289
P	holistic	he494	0.000000	0.000000	1	1.000000	1.329900	0.500000	0.664950	0.000000	0.018648	he296
P	holistic	he497	0.000000	3.062296	1	1.000000	4.062296	0.500000	3.562296	-	-	he296
P	holistic	he499	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he292,he293,he296
P	holistic	he500	0.000000	2.573553	1	1.000000	3.573553	0.500000	3.073553	-	-	he296
P	holistic	he501	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he279
P	holistic	he502	0.000000	0.000000	1	1.000000	2.436171	0.500000	1.218086	-	-	he279,he291,he296
P	holistic	he504	0.000000	0.000000	1	1.000000	1.917065	0.500000	0.958533	-	-	he211
P	holistic	he506	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he266,he272,he289,he291
P	holistic	he507	0.000000	1.979292	1	1.000000	3.147793	0.500000	2.563543	-	-	he296
P	holistic	he509	6.332496	4.570578	1	7.332496	5.570578	6.832496	5.070578	-	-	he279,he291,he296
P	holistic	he510	0.000000	0.000000	1	1.000000	0.876754	0.500000	0.438377	-	-	he260,he279,he289,he291,he292,he293,he296,he299
P	holistic	he511	0.000000	3.138804	1	1.000000	4.007876	0.500000	3.573340	-	-	he296
P	holistic	he512	0.000000	0.000000	1	1.000000	1.956072	0.500000	0.978036	-	-	he260
P	holistic	he513	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he272,he289
P	holistic	he515	0.000000	0.000000	1	1.000000	2.013081	0.500000	1.006541	-	-	he272,he289
P	holistic	he516	3.029849	2.451659	1	4.029849	4.887830	3.529849	3.669745	-	-	he279,he291,he296
P	holistic	he517	0.000000	0.000000	1	1.000000	2.436171	0.500000	1.218086	-	-	he269,he279,he291,he296
P	holistic	he518	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he266,he279,he291
P	holistic	he519	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he244,he279
P	holistic	he520	0.000000	2.723032	1	1.000000	4.003980	0.500000	3.363506	-	-	he296
P	holistic	he523	0.000000	0.845832	1	1.000000	1.722586	0.500000	1.284209	-	-	he296
P	holistic	he527	4.781223	5.928576	1	5.781223	6.928576	5.281223	6.428576	-	-	he260,he289,he292,he293
P	holistic	he530	0.000000	1.113624	1	1.000000	1.379096	0.500000	1.044742	-	-	he296
P	holistic	he532	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he266,he279,he291
P	holistic	he533	0.000000	0.528700	1	1.000000	1.528700	0.500000	1.028700	-	-	he269,he279,he296
P	holistic	he534	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he272,he279,he289,he291
