# RBT-101 positive-control table, seed 3: C0 alive at 139, P alive at 300; from runs/RBT-90/forage-3 as restored from ckpt/rbt-90-3 at 915249232c (380/600 seasons; lineage and genomes only)
role	population	name	g1	g2	installable	g1_w1	g2_w1	g1_w05	g2_w05	probe_off	probe_on	c0_ancestors
C0	holistic	he224	0.000000	10.091896	-	-	-	-	-	-	-	-
C0	holistic	he225	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he226	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he228	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he229	0.435461	2.098463	-	-	-	-	-	-	-	-
C0	holistic	he236	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he240	0.435461	1.699744	-	-	-	-	-	-	-	-
C0	holistic	he244	0.253079	4.490281	-	-	-	-	-	-	-	-
C0	holistic	he246	0.695541	0.057713	-	-	-	-	-	-	-	-
C0	holistic	he247	0.101357	2.559904	-	-	-	-	-	-	-	-
C0	holistic	he250	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he251	0.000000	9.965720	-	-	-	-	-	-	-	-
C0	holistic	he252	0.000000	11.670870	-	-	-	-	-	-	-	-
C0	holistic	he254	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he258	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he259	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he264	0.435461	0.541396	-	-	-	-	-	-	-	-
C0	holistic	he265	0.212555	4.929933	-	-	-	-	-	-	-	-
C0	holistic	he268	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he270	0.435461	0.456814	-	-	-	-	-	-	-	-
C0	holistic	he275	0.503830	0.415261	-	-	-	-	-	-	-	-
C0	holistic	he277	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he281	0.321369	4.991383	-	-	-	-	-	-	-	-
C0	holistic	he283	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he284	0.000000	4.703265	-	-	-	-	-	-	-	-
C0	holistic	he285	0.435461	1.844328	-	-	-	-	-	-	-	-
C0	holistic	he286	1.632722	2.352911	-	-	-	-	-	-	-	-
C0	holistic	he287	0.435461	1.295177	-	-	-	-	-	-	-	-
C0	holistic	he289	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he290	0.479724	4.569210	-	-	-	-	-	-	-	-
C0	holistic	he293	0.503830	0.486508	-	-	-	-	-	-	-	-
C0	holistic	he294	1.784284	1.810443	-	-	-	-	-	-	-	-
