# RBT-101 positive-control table, seed 4: C0 alive at 139, P alive at 300; from runs/RBT-90/forage-4 as restored from ckpt/rbt-90-4 at 11045efb59 (413/600 seasons; lineage and genomes only)
role	population	name	g1	g2	installable	g1_w1	g2_w1	g1_w05	g2_w05	probe_off	probe_on	c0_ancestors
C0	holistic	he223	2.115318	7.969973	-	-	-	-	-	-	-	-
C0	holistic	he224	1.340049	3.778081	-	-	-	-	-	-	-	-
C0	holistic	he225	2.265685	7.406435	-	-	-	-	-	-	-	-
C0	holistic	he228	1.411084	2.157154	-	-	-	-	-	-	-	-
C0	holistic	he229	1.297251	3.147988	-	-	-	-	-	-	-	-
C0	holistic	he230	1.276797	2.259928	-	-	-	-	-	-	-	-
C0	holistic	he232	2.204865	8.137456	-	-	-	-	-	-	-	-
C0	holistic	he233	4.369026	38.306732	-	-	-	-	-	-	-	-
C0	holistic	he235	6.250466	21.723010	-	-	-	-	-	-	-	-
C0	holistic	he236	1.240463	2.424187	-	-	-	-	-	-	-	-
C0	holistic	he237	4.421594	13.743917	-	-	-	-	-	-	-	-
C0	holistic	he238	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he240	0.392256	0.790382	-	-	-	-	-	-	-	-
C0	holistic	he241	1.276797	3.798347	-	-	-	-	-	-	-	-
C0	holistic	he242	1.700833	5.630298	-	-	-	-	-	-	-	-
C0	holistic	he243	1.063442	1.928627	-	-	-	-	-	-	-	-
C0	holistic	he244	5.398282	18.303997	-	-	-	-	-	-	-	-
C0	holistic	he247	1.150238	2.404168	-	-	-	-	-	-	-	-
C0	holistic	he248	5.244898	14.754140	-	-	-	-	-	-	-	-
C0	holistic	he249	0.172672	0.378831	-	-	-	-	-	-	-	-
C0	holistic	he251	2.280955	4.136673	-	-	-	-	-	-	-	-
C0	holistic	he252	0.000000	0.276194	-	-	-	-	-	-	-	-
C0	holistic	he254	2.143263	4.249352	-	-	-	-	-	-	-	-
C0	holistic	he255	1.109989	2.334765	-	-	-	-	-	-	-	-
C0	holistic	he256	2.265685	6.514080	-	-	-	-	-	-	-	-
C0	holistic	he257	1.396158	3.085930	-	-	-	-	-	-	-	-
C0	holistic	he258	1.182551	2.592288	-	-	-	-	-	-	-	-
C0	holistic	he260	1.063442	1.928627	-	-	-	-	-	-	-	-
C0	holistic	he262	1.063442	1.928627	-	-	-	-	-	-	-	-
C0	holistic	he264	1.109989	2.334765	-	-	-	-	-	-	-	-
C0	holistic	he265	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he266	5.318388	15.883172	-	-	-	-	-	-	-	-
C0	holistic	he267	1.525230	3.701215	-	-	-	-	-	-	-	-
C0	holistic	he269	2.280955	2.267794	-	-	-	-	-	-	-	-
C0	holistic	he270	0.392256	0.790382	-	-	-	-	-	-	-	-
C0	holistic	he271	2.298650	10.013994	-	-	-	-	-	-	-	-
C0	holistic	he272	1.411084	2.123110	-	-	-	-	-	-	-	-
C0	holistic	he274	1.170644	2.840754	-	-	-	-	-	-	-	-
C0	holistic	he276	0.922659	2.238981	-	-	-	-	-	-	-	-
C0	holistic	he279	2.808736	2.792528	-	-	-	-	-	-	-	-
C0	holistic	he281	2.880799	5.224532	-	-	-	-	-	-	-	-
C0	holistic	he282	1.784859	3.500388	-	-	-	-	-	-	-	-
C0	holistic	he285	0.392256	0.790382	-	-	-	-	-	-	-	-
C0	holistic	he287	3.133149	11.608166	-	-	-	-	-	-	-	-
C0	holistic	he288	2.143263	4.901958	-	-	-	-	-	-	-	-
C0	holistic	he289	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he290	5.113721	15.939821	-	-	-	-	-	-	-	-
C0	holistic	he291	2.028917	6.824933	-	-	-	-	-	-	-	-
C0	holistic	he292	0.825608	1.497298	-	-	-	-	-	-	-	-
C0	holistic	he293	6.016556	20.525018	-	-	-	-	-	-	-	-
C0	holistic	he294	2.378992	4.314469	-	-	-	-	-	-	-	-
C0	holistic	he295	4.384184	12.171004	-	-	-	-	-	-	-	-
C0	holistic	he296	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he297	0.392256	0.695315	-	-	-	-	-	-	-	-
C0	holistic	he298	3.489757	10.164728	-	-	-	-	-	-	-	-
C0	holistic	he299	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he300	0.936597	3.275242	-	-	-	-	-	-	-	-
C0	holistic	he301	5.593136	14.537457	-	-	-	-	-	-	-	-
C0	holistic	he302	1.986075	3.601887	-	-	-	-	-	-	-	-
C0	holistic	he303	0.000000	0.000000	-	-	-	-	-	-	-	-
P	holistic	he439	0.427631	0.835353	1	1.427631	4.385766	0.927631	2.610560	0.004016	0.064994	he257
P	holistic	he440	7.917452	36.254288	1	8.917452	39.610099	8.417452	37.932194	0.393519	0.296704	he290
