# RBT-101 positive-control table, seed 7: C0 alive at 139, P alive at 300; from runs/RBT-90/forage-7 as restored from ckpt/rbt-90-7 at 731d9f6746 (353/600 seasons; lineage and genomes only)
role	population	name	g1	g2	installable	g1_w1	g2_w1	g1_w05	g2_w05	probe_off	probe_on	c0_ancestors
C0	holistic	he243	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he249	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he252	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he253	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he254	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he256	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he258	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he259	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he261	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he264	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he266	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he267	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he268	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he271	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he272	0.000000	5.279619	-	-	-	-	-	-	-	-
C0	holistic	he273	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he274	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he278	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he279	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he281	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he282	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he283	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he284	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he286	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he287	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he288	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he289	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he290	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he292	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he295	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he297	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he299	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he300	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he302	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he303	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he304	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he305	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he306	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he307	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he308	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he311	0.000000	1.542343	-	-	-	-	-	-	-	-
C0	holistic	he312	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he314	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he315	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he318	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he320	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he321	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he322	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he323	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he327	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he328	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he329	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he330	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he331	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he332	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he333	0.000000	6.404548	-	-	-	-	-	-	-	-
C0	holistic	he334	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he335	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he336	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he337	0.000000	0.000000	-	-	-	-	-	-	-	-
P	holistic	he538	0.000000	0.000000	1	1.000000	1.714534	0.500000	0.857267	0.000000	0.523831	he328
P	holistic	he539	0.000000	0.000000	1	1.000000	1.885048	0.500000	0.942524	0.016079	0.102665	he311,he331
P	holistic	he540	2.516622	5.490567	1	3.516622	6.490567	3.016622	5.990567	0.125845	0.078567	he273,he302,he304,he308,he311,he320
P	holistic	he543	5.033244	17.543304	1	6.033244	18.543304	5.533244	18.043304	-	-	he273,he302,he304,he308,he311,he320
P	holistic	he546	3.649870	48.607062	1	4.649870	50.492110	4.149870	49.549586	-	-	he273,he302,he304,he308,he311,he320
P	holistic	he547	0.000000	2.312274	1	1.000000	3.762623	0.500000	3.037449	-	-	he304,he311,he320,he328
P	holistic	he548	2.339579	2.339579	1	3.339579	3.959459	2.839579	3.149519	-	-	he273,he302,he304,he308,he320
P	holistic	he549	0.000000	3.575073	1	1.000000	5.460121	0.500000	4.517597	-	-	he311,he331
P	holistic	he552	4.679158	9.954864	1	5.679158	10.954864	5.179158	10.454864	-	-	he273,he302,he304,he308,he320
P	holistic	he553	2.184436	3.678343	1	3.184436	6.632357	2.684436	5.155350	-	-	he304,he320
P	holistic	he555	0.000000	5.832818	1	1.000000	7.717866	0.500000	6.775342	-	-	he311,he331
P	holistic	he556	2.184436	2.432295	1	3.184436	4.609757	2.684436	3.521026	-	-	he304,he320
