# RBT-101 positive-control table, seed 801: C0 alive at 139, P alive at 300; from runs/RBT-90/forage-801 as restored from ckpt/rbt-90-801 at 19ef01b6f0 (358/600 seasons; lineage and genomes only)
role	population	name	g1	g2	installable	g1_w1	g2_w1	g1_w05	g2_w05	probe_off	probe_on	c0_ancestors
C0	holistic	he276	1.708275	1.979057	-	-	-	-	-	-	-	-
C0	holistic	he280	1.646120	3.104991	-	-	-	-	-	-	-	-
C0	holistic	he282	2.142303	2.142303	-	-	-	-	-	-	-	-
C0	holistic	he287	8.319062	37.767568	-	-	-	-	-	-	-	-
C0	holistic	he292	2.234226	2.658035	-	-	-	-	-	-	-	-
C0	holistic	he297	2.228230	2.295748	-	-	-	-	-	-	-	-
C0	holistic	he298	1.664660	2.325584	-	-	-	-	-	-	-	-
C0	holistic	he299	2.427966	2.626112	-	-	-	-	-	-	-	-
C0	holistic	he300	6.172579	22.972729	-	-	-	-	-	-	-	-
C0	holistic	he304	1.489849	2.934999	-	-	-	-	-	-	-	-
C0	holistic	he307	1.201325	2.191432	-	-	-	-	-	-	-	-
C0	holistic	he308	1.977901	1.981201	-	-	-	-	-	-	-	-
C0	holistic	he312	10.546016	26.004422	-	-	-	-	-	-	-	-
C0	holistic	he313	1.820462	1.820462	-	-	-	-	-	-	-	-
C0	holistic	he318	3.329320	7.939168	-	-	-	-	-	-	-	-
C0	holistic	he319	2.427966	2.448550	-	-	-	-	-	-	-	-
C0	holistic	he323	0.084158	1.774786	-	-	-	-	-	-	-	-
C0	holistic	he324	1.530497	1.711263	-	-	-	-	-	-	-	-
C0	holistic	he325	2.249673	3.474424	-	-	-	-	-	-	-	-
C0	holistic	he328	2.252870	6.255323	-	-	-	-	-	-	-	-
C0	holistic	he331	1.820462	1.820462	-	-	-	-	-	-	-	-
C0	holistic	he333	2.768267	2.811221	-	-	-	-	-	-	-	-
C0	holistic	he336	1.201325	1.491909	-	-	-	-	-	-	-	-
C0	holistic	he340	1.429380	1.671179	-	-	-	-	-	-	-	-
C0	holistic	he344	2.116060	2.787005	-	-	-	-	-	-	-	-
C0	holistic	he345	2.142303	2.159784	-	-	-	-	-	-	-	-
C0	holistic	he347	2.427966	2.448550	-	-	-	-	-	-	-	-
C0	holistic	he349	2.402650	2.917868	-	-	-	-	-	-	-	-
C0	holistic	he350	1.201325	2.191432	-	-	-	-	-	-	-	-
C0	holistic	he351	1.708275	1.979057	-	-	-	-	-	-	-	-
C0	holistic	he354	12.247379	45.853395	-	-	-	-	-	-	-	-
C0	holistic	he355	1.201325	2.037018	-	-	-	-	-	-	-	-
C0	holistic	he357	1.201325	2.525644	-	-	-	-	-	-	-	-
C0	holistic	he359	1.820462	1.820462	-	-	-	-	-	-	-	-
C0	holistic	he360	1.188591	2.700279	-	-	-	-	-	-	-	-
C0	holistic	he363	2.427966	2.470817	-	-	-	-	-	-	-	-
C0	holistic	he364	1.762781	1.851770	-	-	-	-	-	-	-	-
C0	holistic	he368	2.249673	4.397829	-	-	-	-	-	-	-	-
C0	holistic	he369	1.708275	2.598313	-	-	-	-	-	-	-	-
C0	holistic	he371	14.154600	46.070718	-	-	-	-	-	-	-	-
C0	holistic	he374	1.820462	1.820462	-	-	-	-	-	-	-	-
C0	holistic	he375	1.664660	1.868283	-	-	-	-	-	-	-	-
C0	holistic	he378	6.884554	29.114025	-	-	-	-	-	-	-	-
C0	holistic	he379	6.333676	25.733070	-	-	-	-	-	-	-	-
C0	holistic	he382	3.060757	3.629260	-	-	-	-	-	-	-	-
C0	holistic	he383	2.493126	3.812013	-	-	-	-	-	-	-	-
C0	holistic	he385	7.414054	30.605215	-	-	-	-	-	-	-	-
C0	holistic	he390	1.201325	1.992252	-	-	-	-	-	-	-	-
C0	holistic	he392	1.321755	2.376304	-	-	-	-	-	-	-	-
C0	holistic	he393	1.708275	2.029950	-	-	-	-	-	-	-	-
C0	holistic	he395	1.188591	1.802822	-	-	-	-	-	-	-	-
C0	holistic	he396	1.664660	4.342748	-	-	-	-	-	-	-	-
C0	holistic	he398	4.124183	4.657905	-	-	-	-	-	-	-	-
C0	holistic	he400	2.885727	3.791576	-	-	-	-	-	-	-	-
C0	holistic	he401	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he402	1.708275	3.008573	-	-	-	-	-	-	-	-
C0	holistic	he403	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he404	6.897602	22.387569	-	-	-	-	-	-	-	-
C0	holistic	he405	2.116060	2.129012	-	-	-	-	-	-	-	-
C0	holistic	he406	0.000000	0.000000	-	-	-	-	-	-	-	-
P	holistic	he578	2.858760	4.169490	1	3.858760	7.064671	3.358760	5.617080	0.046916	0.166199	he312,he328,he340,he393
P	holistic	he579	2.940426	3.124965	1	3.940426	4.124965	3.440426	3.624965	0.274267	0.220182	he400
P	holistic	he580	5.431099	5.214354	1	6.431099	4.963401	5.931099	3.582969	0.077735	0.105388	he312,he328,he340,he374,he393
P	holistic	he581	2.990586	2.990586	1	3.990586	3.990586	3.490586	3.490586	-	-	he400
P	holistic	he582	1.429380	1.429380	1	2.429380	2.429380	1.929380	1.929380	-	-	he312,he340
P	holistic	he583	2.179944	2.615924	1	3.179944	3.615924	2.679944	3.115924	-	-	he383
P	holistic	he586	0.428098	0.700064	1	1.428098	1.156132	0.928098	0.656132	-	-	he312,he340,he395
P	holistic	he587	7.011642	37.080308	1	8.011642	38.080308	7.511642	37.580308	-	-	he378,he385
P	holistic	he588	7.153466	16.899972	1	8.153466	18.736810	7.653466	17.818391	-	-	he378,he385
P	holistic	he591	1.525292	1.525292	1	2.525292	2.525292	2.025292	2.025292	-	-	he374
P	holistic	he592	0.523721	1.117587	1	1.523721	2.117587	1.023721	1.617587	-	-	he312,he340,he395
P	holistic	he594	2.179944	2.881803	1	3.179944	3.881803	2.679944	3.381803	-	-	he383
P	holistic	he596	0.000000	0.057435	1	1.000000	1.057435	0.500000	0.557435	-	-	he312,he340,he383,he395
P	holistic	he597	1.491422	1.491422	1	2.491422	2.491422	1.991422	1.991422	-	-	he312,he328,he333,he340,he347,he379,he393,he396
P	holistic	he598	1.525292	1.525292	1	2.525292	2.525292	2.025292	2.025292	-	-	he374
