# RBT-101 positive-control table, seed 804: C0 alive at 139, P alive at 300; from runs/RBT-90/forage-804 as restored from ckpt/rbt-90-804 at b0bbcda141 (345/600 seasons; lineage and genomes only)
role	population	name	g1	g2	installable	g1_w1	g2_w1	g1_w05	g2_w05	probe_off	probe_on	c0_ancestors
C0	holistic	he250	1.649584	1.649584	-	-	-	-	-	-	-	-
C0	holistic	he251	0.030875	0.030875	-	-	-	-	-	-	-	-
C0	holistic	he253	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he254	0.286061	0.679196	-	-	-	-	-	-	-	-
C0	holistic	he256	0.181258	0.181258	-	-	-	-	-	-	-	-
C0	holistic	he258	0.737268	1.080268	-	-	-	-	-	-	-	-
C0	holistic	he259	0.061750	0.061750	-	-	-	-	-	-	-	-
C0	holistic	he260	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he261	0.632954	0.632954	-	-	-	-	-	-	-	-
C0	holistic	he264	0.368634	0.540134	-	-	-	-	-	-	-	-
C0	holistic	he265	0.061750	0.061750	-	-	-	-	-	-	-	-
C0	holistic	he266	0.030875	0.030875	-	-	-	-	-	-	-	-
C0	holistic	he268	0.267626	0.267626	-	-	-	-	-	-	-	-
C0	holistic	he269	0.750422	0.750422	-	-	-	-	-	-	-	-
C0	holistic	he270	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he271	0.737268	1.456976	-	-	-	-	-	-	-	-
C0	holistic	he273	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he275	0.514585	0.514585	-	-	-	-	-	-	-	-
C0	holistic	he276	0.061750	0.061750	-	-	-	-	-	-	-	-
C0	holistic	he279	0.290928	0.290928	-	-	-	-	-	-	-	-
C0	holistic	he282	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he284	1.966638	1.966638	-	-	-	-	-	-	-	-
C0	holistic	he285	0.152049	0.152049	-	-	-	-	-	-	-	-
C0	holistic	he286	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he287	0.061750	0.061750	-	-	-	-	-	-	-	-
C0	holistic	he288	0.061750	0.061750	-	-	-	-	-	-	-	-
C0	holistic	he289	0.737268	1.080268	-	-	-	-	-	-	-	-
C0	holistic	he290	0.750422	0.750422	-	-	-	-	-	-	-	-
C0	holistic	he293	0.465972	0.465972	-	-	-	-	-	-	-	-
C0	holistic	he295	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he296	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he297	0.061750	0.061750	-	-	-	-	-	-	-	-
C0	holistic	he301	0.737268	1.080268	-	-	-	-	-	-	-	-
C0	holistic	he303	0.030875	0.030875	-	-	-	-	-	-	-	-
C0	holistic	he304	0.030875	0.030875	-	-	-	-	-	-	-	-
C0	holistic	he311	0.256348	0.256348	-	-	-	-	-	-	-	-
C0	holistic	he312	0.565220	0.565220	-	-	-	-	-	-	-	-
C0	holistic	he313	0.061750	0.061750	-	-	-	-	-	-	-	-
C0	holistic	he314	1.685012	1.685012	-	-	-	-	-	-	-	-
C0	holistic	he315	0.384222	0.384222	-	-	-	-	-	-	-	-
C0	holistic	he316	1.093950	1.033821	-	-	-	-	-	-	-	-
C0	holistic	he317	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he318	0.092625	0.092625	-	-	-	-	-	-	-	-
C0	holistic	he319	0.368634	0.540134	-	-	-	-	-	-	-	-
C0	holistic	he320	0.737268	1.080268	-	-	-	-	-	-	-	-
C0	holistic	he321	0.434923	0.523496	-	-	-	-	-	-	-	-
C0	holistic	he322	0.256348	0.256348	-	-	-	-	-	-	-	-
C0	holistic	he323	0.061750	0.061750	-	-	-	-	-	-	-	-
C0	holistic	he324	0.061750	0.061750	-	-	-	-	-	-	-	-
C0	holistic	he325	0.000000	0.000000	-	-	-	-	-	-	-	-
