# RBT-101 positive-control table, seed 805: C0 alive at 139, P alive at 300; from runs/RBT-90/forage-805 as restored from ckpt/rbt-90-805 at 2babb0e732 (410/600 seasons; lineage and genomes only)
role	population	name	g1	g2	installable	g1_w1	g2_w1	g1_w05	g2_w05	probe_off	probe_on	c0_ancestors
C0	holistic	he235	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he236	0.149686	2.281644	-	-	-	-	-	-	-	-
C0	holistic	he237	0.124262	0.124262	-	-	-	-	-	-	-	-
C0	holistic	he238	0.000000	2.478798	-	-	-	-	-	-	-	-
C0	holistic	he239	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he242	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he243	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he245	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he249	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he251	2.459206	2.459206	-	-	-	-	-	-	-	-
C0	holistic	he253	0.000000	4.676906	-	-	-	-	-	-	-	-
C0	holistic	he254	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he255	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he256	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he257	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he258	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he260	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he264	0.000000	5.101927	-	-	-	-	-	-	-	-
C0	holistic	he270	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he271	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he272	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he273	0.283708	0.283708	-	-	-	-	-	-	-	-
C0	holistic	he276	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he277	0.000000	4.010574	-	-	-	-	-	-	-	-
C0	holistic	he279	0.000000	2.775738	-	-	-	-	-	-	-	-
C0	holistic	he283	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he284	0.000000	12.188664	-	-	-	-	-	-	-	-
C0	holistic	he287	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he290	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he292	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he293	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he294	3.205648	6.003146	-	-	-	-	-	-	-	-
C0	holistic	he295	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he296	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he297	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he298	0.000000	13.974720	-	-	-	-	-	-	-	-
C0	holistic	he299	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he300	0.861820	8.902046	-	-	-	-	-	-	-	-
C0	holistic	he302	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he303	0.000000	3.076253	-	-	-	-	-	-	-	-
C0	holistic	he304	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he306	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he308	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he310	0.000000	0.000000	-	-	-	-	-	-	-	-
