# RBT-101 positive-control table, seed 806: C0 alive at 139, P alive at 300; from runs/RBT-90/forage-806 as restored from ckpt/rbt-90-806 at 00048e90f6 (367/600 seasons; lineage and genomes only)
role	population	name	g1	g2	installable	g1_w1	g2_w1	g1_w05	g2_w05	probe_off	probe_on	c0_ancestors
C0	holistic	he224	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he225	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he226	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he228	0.000000	1.226156	-	-	-	-	-	-	-	-
C0	holistic	he229	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he230	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he232	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he235	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he238	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he240	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he242	0.000000	1.799499	-	-	-	-	-	-	-	-
C0	holistic	he243	0.000000	1.594286	-	-	-	-	-	-	-	-
C0	holistic	he244	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he247	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he249	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he250	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he251	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he252	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he256	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he257	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he258	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he261	0.000000	1.863199	-	-	-	-	-	-	-	-
C0	holistic	he262	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he264	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he268	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he269	0.000000	2.965500	-	-	-	-	-	-	-	-
C0	holistic	he270	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he271	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he277	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he279	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he280	0.000000	1.415264	-	-	-	-	-	-	-	-
C0	holistic	he281	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he282	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he284	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he285	0.000000	2.116034	-	-	-	-	-	-	-	-
C0	holistic	he287	0.000000	1.431632	-	-	-	-	-	-	-	-
C0	holistic	he288	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he290	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he291	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he293	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he294	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he295	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he296	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he298	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he299	0.000000	1.262420	-	-	-	-	-	-	-	-
C0	holistic	he301	0.865772	0.865772	-	-	-	-	-	-	-	-
C0	holistic	he302	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he303	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he304	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he305	0.000000	5.586052	-	-	-	-	-	-	-	-
C0	holistic	he306	0.000000	2.630476	-	-	-	-	-	-	-	-
C0	holistic	he308	0.000000	2.550439	-	-	-	-	-	-	-	-
C0	holistic	he309	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he310	0.000000	6.139343	-	-	-	-	-	-	-	-
C0	holistic	he312	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he313	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he314	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he316	0.000000	6.783396	-	-	-	-	-	-	-	-
C0	holistic	he317	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he318	0.000000	0.000000	-	-	-	-	-	-	-	-
P	holistic	he513	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	0.000000	0.119891	he293,he298
P	holistic	he514	0.000000	0.000000	1	1.000000	2.748786	0.500000	1.374393	0.000000	0.100285	he262,he295,he298,he299
P	holistic	he516	0.000000	0.000000	1	1.000000	2.252363	0.500000	1.126182	0.000000	0.032793	he298,he299,he306,he316
P	holistic	he517	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he312
P	holistic	he522	0.000000	0.000000	1	1.000000	1.448756	0.500000	0.724378	-	-	he262,he291,he295,he298,he312,he316
P	holistic	he525	0.000000	0.000000	1	1.000000	2.208185	0.500000	1.104093	-	-	he306,he309
P	holistic	he526	0.000000	1.795457	1	1.000000	2.752774	0.500000	1.870806	-	-	he298,he316
P	holistic	he527	0.000000	0.000000	1	1.000000	2.252291	0.500000	1.126146	-	-	he306,he309
P	holistic	he528	1.517513	1.517513	1	2.517513	2.517513	2.017513	2.017513	-	-	he298
P	holistic	he530	0.000000	0.000000	1	1.000000	1.085830	0.500000	0.542915	-	-	he262,he293,he295
P	holistic	he531	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he269,he291
P	holistic	he533	0.000000	0.000000	1	1.000000	1.334056	0.500000	0.667028	-	-	he314
P	holistic	he535	0.000000	0.000000	1	1.000000	1.448756	0.500000	0.724378	-	-	he262,he291,he295,he298,he312,he316
P	holistic	he536	0.000000	3.504378	1	1.000000	4.867686	0.500000	4.186032	-	-	he298,he316
P	holistic	he538	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he295,he298
P	holistic	he539	0.000000	0.000000	1	1.000000	2.252291	0.500000	1.126146	-	-	he306,he309
P	holistic	he540	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he293,he298
P	holistic	he541	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he291,he298,he306,he312
P	holistic	he543	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he269,he291
P	holistic	he544	0.000000	0.000000	1	1.000000	2.748786	0.500000	1.374393	-	-	he262,he295
P	holistic	he546	0.000000	0.000000	1	1.000000	2.748786	0.500000	1.374393	-	-	he262,he295,he298,he299
P	holistic	he547	0.000000	3.891447	1	1.000000	6.153639	0.500000	5.022543	-	-	he298,he316
P	holistic	he550	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he235,he310
P	holistic	he551	0.000000	0.000000	1	1.000000	2.252363	0.500000	1.126182	-	-	he298,he299
P	holistic	he553	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he312
P	holistic	he554	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he295,he298
P	holistic	he556	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he269,he291,he298,he316
P	holistic	he557	0.000000	0.000000	1	1.000000	1.533024	0.500000	0.766512	-	-	he306,he308,he309
P	holistic	he558	0.000000	0.000000	1	1.000000	1.455777	0.500000	0.727889	-	-	he257,he298,he299,he309,he312
P	holistic	he559	0.000000	0.000000	1	1.000000	1.334056	0.500000	0.667028	-	-	he314
P	holistic	he560	0.000000	0.000000	1	1.000000	2.457266	0.500000	1.228633	-	-	he314
P	holistic	he563	0.000000	0.000000	1	1.000000	1.085830	0.500000	0.542915	-	-	he262,he293,he295,he298
P	holistic	he564	0.000000	3.677844	1	1.000000	5.126600	0.500000	4.402222	-	-	he262,he291,he295,he298,he312,he316
P	holistic	he565	0.000000	0.000000	1	1.000000	2.252363	0.500000	1.126182	-	-	he298,he299
P	holistic	he566	0.000000	0.000000	1	1.000000	1.085830	0.500000	0.542915	-	-	he262,he295,he306,he309
P	holistic	he567	0.000000	0.000000	1	1.000000	1.970959	0.500000	0.985480	-	-	he262,he293,he295
P	holistic	he568	0.000000	0.000000	1	1.000000	1.533024	0.500000	0.766512	-	-	he306,he308,he309
P	holistic	he570	0.000000	0.000000	1	1.000000	1.363308	0.500000	0.681654	-	-	he262,he291,he295,he298,he312,he316
P	holistic	he571	0.000000	0.000000	1	1.000000	1.398223	0.500000	0.699111	-	-	he262,he295,he306,he309
P	holistic	he572	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he235,he310
P	holistic	he573	0.000000	0.000000	1	1.000000	1.378667	0.500000	0.689334	-	-	he257,he298,he299,he309,he312
P	holistic	he574	0.000000	0.000000	1	1.000000	1.533024	0.500000	0.766512	-	-	he306,he308,he309
P	holistic	he575	0.000000	6.401595	1	1.000000	8.209435	0.500000	7.305515	-	-	he298,he316
P	holistic	he578	0.000000	0.000000	1	1.000000	1.398223	0.500000	0.699111	-	-	he262,he295,he306,he309
P	holistic	he580	0.000000	0.000000	1	1.000000	1.607423	0.500000	0.803712	-	-	he298,he306,he308,he309,he316
P	holistic	he581	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he295,he298
P	holistic	he582	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he312
P	holistic	he583	0.000000	3.504378	1	1.000000	5.766569	0.500000	4.635474	-	-	he298,he316
