# RBT-101 positive-control table, seed 807: C0 alive at 139, P alive at 300; from runs/RBT-90/forage-807 as restored from ckpt/rbt-90-807 at 89fac57f0b (392/600 seasons; lineage and genomes only)
role	population	name	g1	g2	installable	g1_w1	g2_w1	g1_w05	g2_w05	probe_off	probe_on	c0_ancestors
C0	holistic	he243	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he245	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he246	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he247	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he249	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he257	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he261	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he264	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he265	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he267	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he268	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he269	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he270	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he272	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he273	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he274	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he275	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he276	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he277	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he279	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he280	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he282	0.000000	20.777116	-	-	-	-	-	-	-	-
C0	holistic	he283	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he284	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he287	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he293	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he295	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he297	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he298	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he300	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he301	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he302	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he303	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he305	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he308	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he311	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he312	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he313	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he316	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he317	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he320	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he322	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he323	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he324	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he325	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he326	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he327	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he328	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he329	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he330	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he331	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he332	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he333	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he334	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he335	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he336	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he337	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he338	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he339	0.000000	0.000000	-	-	-	-	-	-	-	-
C0	holistic	he340	0.000000	0.000000	-	-	-	-	-	-	-	-
P	holistic	he504	0.000000	0.000000	0	-	-	-	-	-	-	he273,he297,he308,he313,he326,he334
P	holistic	he506	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	0.000000	0.003117	he273,he313
P	holistic	he509	0.000000	0.000000	0	-	-	-	-	-	-	he328
P	holistic	he511	0.000000	0.000000	0	-	-	-	-	-	-	he301,he308,he326
P	holistic	he512	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	0.000000	0.009230	he308,he326,he336
P	holistic	he514	0.000000	0.000000	0	-	-	-	-	-	-	he273,he283,he313
P	holistic	he515	0.000000	0.000000	0	-	-	-	-	-	-	he320
