# RBT-101 positive-control table, seed 1: C0 alive at 359, P alive at 520; from runs/RBT-90/forage-1 as restored from ckpt/rbt-90-1 at 4e5120f20e (600/600 seasons; lineage and genomes only)
role	population	name	g1	g2	installable	g1_w1	g2_w1	g1_w05	g2_w05	probe_off	probe_on	c0_ancestors	ns	g1_other	g1_vel	depth
C0	holistic	he682	2.539218	2.117370	-	-	-	-	-	-	-	-	5	0.000000	7.152518	0
C0	holistic	he685	1.140372	2.700656	-	-	-	-	-	-	-	-	6	0.000000	5.068974	0
C0	holistic	he686	0.000000	0.000000	-	-	-	-	-	-	-	-	3	0.000000	0.000000	0
C0	holistic	he687	0.000000	0.000000	-	-	-	-	-	-	-	-	3	0.000000	0.000000	0
C0	holistic	he689	0.000000	0.000000	-	-	-	-	-	-	-	-	5	0.000000	0.000000	0
C0	holistic	he690	0.000000	0.000000	-	-	-	-	-	-	-	-	4	0.000000	0.000000	0
C0	holistic	he692	6.675464	8.820396	-	-	-	-	-	-	-	-	8	0.000000	7.282736	0
C0	holistic	he694	0.000000	0.000000	-	-	-	-	-	-	-	-	5	0.000000	0.000000	0
C0	holistic	he695	0.000000	0.000000	-	-	-	-	-	-	-	-	4	0.000000	0.000000	0
C0	holistic	he698	0.125728	0.285573	-	-	-	-	-	-	-	-	4	0.000000	0.000000	0
C0	holistic	he700	3.196699	2.432785	-	-	-	-	-	-	-	-	5	0.000000	4.308335	0
C0	holistic	he701	1.270988	0.436193	-	-	-	-	-	-	-	-	17	0.000000	3.117474	0
C0	holistic	he703	0.000000	0.000000	-	-	-	-	-	-	-	-	4	0.000000	0.000000	0
C0	holistic	he704	0.000000	0.000000	-	-	-	-	-	-	-	-	8	0.000000	0.000000	0
C0	holistic	he705	2.539218	0.513899	-	-	-	-	-	-	-	-	5	0.000000	5.983937	0
C0	holistic	he708	0.000000	0.000000	-	-	-	-	-	-	-	-	7	0.000000	0.000000	0
C0	holistic	he710	0.000000	0.000000	-	-	-	-	-	-	-	-	1	0.000000	0.000000	0
C0	holistic	he715	0.000000	0.692866	-	-	-	-	-	-	-	-	3	0.000000	0.000000	0
C0	holistic	he716	0.000000	0.000000	-	-	-	-	-	-	-	-	3	0.000000	0.000000	0
C0	holistic	he718	0.000000	0.000000	-	-	-	-	-	-	-	-	1	0.000000	0.000000	0
C0	holistic	he722	1.270988	0.523036	-	-	-	-	-	-	-	-	17	0.000000	3.933454	0
C0	holistic	he723	0.307395	0.135660	-	-	-	-	-	-	-	-	4	0.000000	1.951258	0
C0	holistic	he724	0.000000	0.000000	-	-	-	-	-	-	-	-	4	0.000000	0.000000	0
