# RBT-101 positive-control table, seed 3: C0 alive at 359, P alive at 520; from runs/RBT-90/forage-3 as restored from ckpt/rbt-90-3 at a4a05c260f (600/600 seasons; lineage and genomes only)
role	population	name	g1	g2	installable	g1_w1	g2_w1	g1_w05	g2_w05	probe_off	probe_on	c0_ancestors	ns	g1_other	g1_vel	depth
C0	holistic	he612	2.551492	15.109883	-	-	-	-	-	-	-	-	28	0.912187	0.000000	0
C0	holistic	he613	0.547025	5.478263	-	-	-	-	-	-	-	-	19	2.771958	0.000000	0
C0	holistic	he614	2.349752	8.600694	-	-	-	-	-	-	-	-	21	1.582262	0.000000	0
C0	holistic	he617	3.009131	15.595067	-	-	-	-	-	-	-	-	11	4.549704	0.000000	0
C0	holistic	he621	4.397301	17.506163	-	-	-	-	-	-	-	-	10	8.703080	0.000000	0
C0	holistic	he622	0.503830	0.296735	-	-	-	-	-	-	-	-	4	0.000000	0.000000	0
C0	holistic	he623	2.848034	14.687950	-	-	-	-	-	-	-	-	13	1.368321	0.000000	0
C0	holistic	he624	0.000000	15.652942	-	-	-	-	-	-	-	-	10	0.000000	0.000000	0
C0	holistic	he626	0.533326	0.421172	-	-	-	-	-	-	-	-	1	0.000000	0.000000	0
C0	holistic	he630	0.134462	0.209263	-	-	-	-	-	-	-	-	14	0.000000	0.000000	0
C0	holistic	he632	1.741844	45.197212	-	-	-	-	-	-	-	-	8	1.353852	0.000000	0
C0	holistic	he634	0.435461	1.580527	-	-	-	-	-	-	-	-	1	0.000000	0.000000	0
C0	holistic	he636	0.547025	4.293796	-	-	-	-	-	-	-	-	19	5.330082	0.000000	0
C0	holistic	he637	0.313190	2.002251	-	-	-	-	-	-	-	-	1	0.000000	0.000000	0
C0	holistic	he640	0.134462	1.190669	-	-	-	-	-	-	-	-	14	0.000000	0.000000	0
C0	holistic	he642	2.043843	14.472607	-	-	-	-	-	-	-	-	13	0.822554	0.000000	0
C0	holistic	he644	7.019223	20.787870	-	-	-	-	-	-	-	-	15	6.376533	0.000000	0
C0	holistic	he646	2.349752	7.614054	-	-	-	-	-	-	-	-	21	1.582262	0.000000	0
C0	holistic	he649	4.983882	40.459781	-	-	-	-	-	-	-	-	20	2.736642	0.000000	0
C0	holistic	he650	0.156432	3.250576	-	-	-	-	-	-	-	-	1	0.000000	0.000000	0
C0	holistic	he652	2.518288	4.027960	-	-	-	-	-	-	-	-	16	0.912187	0.000000	0
C0	holistic	he656	0.481796	3.113596	-	-	-	-	-	-	-	-	1	0.000000	0.000000	0
C0	holistic	he657	0.000000	0.000000	-	-	-	-	-	-	-	-	12	0.000000	0.000000	0
C0	holistic	he659	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	0.000000	0
C0	holistic	he661	0.435461	0.518493	-	-	-	-	-	-	-	-	1	0.000000	0.000000	0
C0	holistic	he667	1.462904	9.665443	-	-	-	-	-	-	-	-	10	4.217019	0.000000	0
C0	holistic	he668	7.791680	13.825720	-	-	-	-	-	-	-	-	18	6.944596	0.000000	0
C0	holistic	he670	2.350451	10.605380	-	-	-	-	-	-	-	-	33	1.168029	0.000000	0
C0	holistic	he671	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	0.000000	0
C0	holistic	he672	0.533326	0.432832	-	-	-	-	-	-	-	-	1	0.000000	0.000000	0
C0	holistic	he674	0.481796	4.052891	-	-	-	-	-	-	-	-	1	0.000000	0.000000	0
C0	holistic	he676	2.349752	9.477623	-	-	-	-	-	-	-	-	29	1.582262	0.000000	0
C0	holistic	he678	0.435461	3.112269	-	-	-	-	-	-	-	-	1	0.000000	0.000000	0
C0	holistic	he679	2.335577	10.243350	-	-	-	-	-	-	-	-	21	1.658839	0.000000	0
C0	holistic	he683	1.720900	7.394150	-	-	-	-	-	-	-	-	21	0.959602	0.000000	0
C0	holistic	he684	2.470713	3.938942	-	-	-	-	-	-	-	-	16	2.361417	0.000000	0
C0	holistic	he686	0.668011	8.350593	-	-	-	-	-	-	-	-	4	1.603893	0.000000	0
C0	holistic	he687	0.533326	0.421172	-	-	-	-	-	-	-	-	13	0.000000	0.000000	0
