# RBT-101 positive-control table, seed 7: C0 alive at 359, P alive at 520; from runs/RBT-90/forage-7 as restored from ckpt/rbt-90-7 at 276e364640 (600/600 seasons; lineage and genomes only)
role	population	name	g1	g2	installable	g1_w1	g2_w1	g1_w05	g2_w05	probe_off	probe_on	c0_ancestors	ns	g1_other	g1_vel	depth
C0	holistic	he633	0.000000	3.680054	-	-	-	-	-	-	-	-	14	3.246374	0.000000	0
C0	holistic	he635	0.000000	0.601549	-	-	-	-	-	-	-	-	3	0.650074	0.000000	0
C0	holistic	he636	0.000000	44.542268	-	-	-	-	-	-	-	-	11	0.825897	0.000000	0
C0	holistic	he637	4.576228	29.590222	-	-	-	-	-	-	-	-	15	0.909537	0.000000	0
C0	holistic	he638	4.660532	5.820472	-	-	-	-	-	-	-	-	11	0.909537	0.000000	0
C0	holistic	he641	0.000000	0.000000	-	-	-	-	-	-	-	-	3	0.000000	0.000000	0
C0	holistic	he645	0.000000	0.000000	-	-	-	-	-	-	-	-	6	0.236105	0.000000	0
C0	holistic	he646	0.000000	0.000000	-	-	-	-	-	-	-	-	3	0.000000	0.000000	0
C0	holistic	he648	2.793484	2.793484	-	-	-	-	-	-	-	-	12	2.247294	0.000000	0
C0	holistic	he651	0.000000	7.005066	-	-	-	-	-	-	-	-	14	3.034304	0.000000	0
C0	holistic	he653	0.000000	0.000000	-	-	-	-	-	-	-	-	6	0.895978	0.000000	0
C0	holistic	he657	0.000000	0.601549	-	-	-	-	-	-	-	-	3	1.309665	0.000000	0
C0	holistic	he661	2.386584	2.386584	-	-	-	-	-	-	-	-	7	0.275299	0.000000	0
C0	holistic	he664	0.614412	14.314641	-	-	-	-	-	-	-	-	7	0.129178	0.000000	0
C0	holistic	he665	6.864342	47.898426	-	-	-	-	-	-	-	-	16	0.606358	0.000000	0
C0	holistic	he666	0.000000	0.000000	-	-	-	-	-	-	-	-	6	0.895978	0.000000	0
C0	holistic	he670	0.000000	0.000000	-	-	-	-	-	-	-	-	3	0.275299	0.000000	0
C0	holistic	he672	0.000000	0.000000	-	-	-	-	-	-	-	-	3	0.650074	0.000000	0
C0	holistic	he673	0.000000	5.506716	-	-	-	-	-	-	-	-	14	3.034304	0.000000	0
C0	holistic	he674	0.000000	0.372360	-	-	-	-	-	-	-	-	4	0.650074	0.000000	0
C0	holistic	he675	0.000000	0.000000	-	-	-	-	-	-	-	-	8	2.182388	0.000000	0
C0	holistic	he676	0.000000	0.000000	-	-	-	-	-	-	-	-	4	0.000000	0.000000	0
C0	holistic	he678	0.000000	0.000000	-	-	-	-	-	-	-	-	3	0.000000	0.000000	0
C0	holistic	he679	2.339579	2.339579	-	-	-	-	-	-	-	-	4	0.945433	0.000000	0
C0	holistic	he680	2.374561	2.820229	-	-	-	-	-	-	-	-	6	0.000000	0.000000	0
C0	holistic	he682	1.844802	1.844802	-	-	-	-	-	-	-	-	10	2.356866	0.000000	0
C0	holistic	he684	0.943388	0.943388	-	-	-	-	-	-	-	-	8	1.123647	0.000000	0
C0	holistic	he685	0.000000	0.601549	-	-	-	-	-	-	-	-	3	1.309665	0.000000	0
C0	holistic	he687	0.000000	0.000000	-	-	-	-	-	-	-	-	3	1.300148	0.000000	0
C0	holistic	he689	0.000000	0.000000	-	-	-	-	-	-	-	-	6	0.923123	0.000000	0
C0	holistic	he690	1.386812	3.294340	-	-	-	-	-	-	-	-	5	0.785622	0.000000	0
C0	holistic	he691	0.000000	0.607721	-	-	-	-	-	-	-	-	3	1.309665	0.000000	0
C0	holistic	he692	2.339579	2.339579	-	-	-	-	-	-	-	-	4	0.000000	0.000000	0
C0	holistic	he693	0.000000	4.701546	-	-	-	-	-	-	-	-	14	3.488746	0.000000	0
C0	holistic	he694	0.000000	0.888022	-	-	-	-	-	-	-	-	3	0.114606	0.000000	0
C0	holistic	he695	0.000000	0.000000	-	-	-	-	-	-	-	-	8	1.123647	0.000000	0
C0	holistic	he696	2.848507	2.848507	-	-	-	-	-	-	-	-	5	0.105807	0.000000	0
C0	holistic	he697	0.000000	0.000000	-	-	-	-	-	-	-	-	6	0.895978	0.000000	0
C0	holistic	he700	0.000000	0.000000	-	-	-	-	-	-	-	-	8	0.964476	0.000000	0
C0	holistic	he704	0.000000	0.000000	-	-	-	-	-	-	-	-	3	0.650074	0.000000	0
C0	holistic	he706	0.614412	14.915659	-	-	-	-	-	-	-	-	7	0.129178	0.000000	0
C0	holistic	he707	0.000000	0.000000	-	-	-	-	-	-	-	-	6	0.923123	0.000000	0
C0	holistic	he708	0.000000	0.000000	-	-	-	-	-	-	-	-	2	1.309665	0.000000	0
C0	holistic	he709	0.000000	0.000000	-	-	-	-	-	-	-	-	3	0.297101	0.000000	0
C0	holistic	he710	0.000000	0.000000	-	-	-	-	-	-	-	-	6	0.895978	0.000000	0
C0	holistic	he711	0.000000	0.000000	-	-	-	-	-	-	-	-	3	0.000000	0.000000	0
C0	holistic	he712	1.844802	1.844802	-	-	-	-	-	-	-	-	13	2.356866	0.000000	0
C0	holistic	he713	4.179016	4.422648	-	-	-	-	-	-	-	-	11	0.909537	0.000000	0
C0	holistic	he715	0.000000	0.000000	-	-	-	-	-	-	-	-	6	0.923123	0.000000	0
