# RBT-101 positive-control table, seed 807: C0 alive at 359, P alive at 520; from runs/RBT-90/forage-807 as restored from ckpt/rbt-90-807 at 8c4518fa5c (600/600 seasons; lineage and genomes only)
role	population	name	g1	g2	installable	g1_w1	g2_w1	g1_w05	g2_w05	probe_off	probe_on	c0_ancestors	ns	g1_other	g1_vel	depth
C0	holistic	he597	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	0.000000	0
C0	holistic	he599	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	0.000000	0
C0	holistic	he601	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	0.000000	0
C0	holistic	he602	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	0.000000	0
C0	holistic	he603	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	0.000000	0
C0	holistic	he604	0.000000	0.000000	-	-	-	-	-	-	-	-	3	0.000000	0.000000	0
C0	holistic	he605	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	3.761424	0
C0	holistic	he606	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	0.000000	0
C0	holistic	he609	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	1.122775	0
C0	holistic	he610	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	0.000000	0
C0	holistic	he611	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	0.000000	0
C0	holistic	he612	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	0.000000	0
C0	holistic	he613	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	0.000000	0
C0	holistic	he615	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	0.000000	0
C0	holistic	he617	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	0.000000	0
C0	holistic	he618	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	0.000000	0
C0	holistic	he619	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	0.823733	0
C0	holistic	he620	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	0.000000	0
C0	holistic	he621	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	0.000000	0
C0	holistic	he623	0.000000	0.000000	-	-	-	-	-	-	-	-	1	0.000000	0.000000	0
C0	holistic	he625	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	0.000000	0
C0	holistic	he627	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	0.000000	0
C0	holistic	he628	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	0.000000	0
C0	holistic	he630	0.000000	0.000000	-	-	-	-	-	-	-	-	1	0.000000	0.000000	0
C0	holistic	he632	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	0.000000	0
C0	holistic	he633	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	0.000000	0
C0	holistic	he634	0.000000	0.000000	-	-	-	-	-	-	-	-	2	0.000000	0.000000	0
C0	holistic	he635	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	0.000000	0
C0	holistic	he636	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	0.000000	0
C0	holistic	he637	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	0.000000	0
C0	holistic	he638	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	0.000000	0
C0	holistic	he640	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	0.000000	0
C0	holistic	he641	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	0.000000	0
C0	holistic	he642	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	0.000000	0
C0	holistic	he643	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	1.122775	0
C0	holistic	he644	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	0.000000	0
C0	holistic	he645	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	0.000000	0
C0	holistic	he647	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	0.000000	0
C0	holistic	he648	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	0.000000	0
C0	holistic	he651	0.000000	0.000000	-	-	-	-	-	-	-	-	3	0.000000	0.000000	0
C0	holistic	he654	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	0.000000	0
C0	holistic	he655	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	0.000000	0
C0	holistic	he656	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	0.000000	0
C0	holistic	he658	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	0.000000	0
C0	holistic	he659	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	0.000000	0
C0	holistic	he660	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	0.000000	0
