# RBT-101 positive-control table, seed 2: C0 alive at 369, P alive at 530; from runs/RBT-90/forage-2 as restored from ckpt/rbt-90-2 at febc2f1c8a (533/600 seasons; lineage and genomes only)
role	population	name	g1	g2	installable	g1_w1	g2_w1	g1_w05	g2_w05	probe_off	probe_on	c0_ancestors	ns	g1_other	g1_vel	depth
C0	holistic	he592	0.000000	0.000000	-	-	-	-	-	-	-	-	2	0.000000	0.000000	0
C0	holistic	he596	0.000000	0.000000	-	-	-	-	-	-	-	-	1	0.000000	0.000000	0
C0	holistic	he599	6.040370	4.186568	-	-	-	-	-	-	-	-	15	0.000000	0.000000	0
C0	holistic	he601	0.000000	0.000000	-	-	-	-	-	-	-	-	7	0.000000	0.000000	0
C0	holistic	he602	0.000000	1.386628	-	-	-	-	-	-	-	-	18	2.239876	0.000000	0
C0	holistic	he604	0.000000	0.000000	-	-	-	-	-	-	-	-	3	2.365558	0.000000	0
C0	holistic	he605	0.000000	0.832690	-	-	-	-	-	-	-	-	24	0.000000	0.000000	0
C0	holistic	he607	0.000000	0.000000	-	-	-	-	-	-	-	-	9	0.000000	0.000000	0
C0	holistic	he608	0.000000	0.000000	-	-	-	-	-	-	-	-	2	0.000000	0.000000	0
C0	holistic	he609	4.076707	5.974054	-	-	-	-	-	-	-	-	21	0.000000	0.000000	0
C0	holistic	he610	0.000000	0.000000	-	-	-	-	-	-	-	-	2	0.000000	0.000000	0
C0	holistic	he612	6.040370	3.308604	-	-	-	-	-	-	-	-	15	0.000000	0.000000	0
C0	holistic	he614	0.000000	0.000000	-	-	-	-	-	-	-	-	1	0.000000	0.000000	0
C0	holistic	he615	0.000000	0.208764	-	-	-	-	-	-	-	-	9	1.937094	0.000000	0
C0	holistic	he618	0.000000	0.000000	-	-	-	-	-	-	-	-	7	0.000000	0.000000	0
C0	holistic	he621	0.000000	0.000000	-	-	-	-	-	-	-	-	2	0.000000	0.000000	0
C0	holistic	he622	0.000000	0.000000	-	-	-	-	-	-	-	-	10	0.000000	0.000000	0
C0	holistic	he624	0.000000	0.000000	-	-	-	-	-	-	-	-	2	3.459111	0.000000	0
C0	holistic	he626	0.000000	0.000000	-	-	-	-	-	-	-	-	1	0.000000	0.000000	0
C0	holistic	he627	0.000000	0.000000	-	-	-	-	-	-	-	-	12	0.000000	0.000000	0
C0	holistic	he628	6.040370	26.584720	-	-	-	-	-	-	-	-	15	0.000000	0.000000	0
C0	holistic	he629	0.000000	0.000000	-	-	-	-	-	-	-	-	2	0.000000	0.000000	0
C0	holistic	he630	0.000000	0.000000	-	-	-	-	-	-	-	-	2	0.000000	0.000000	0
C0	holistic	he632	0.000000	0.952920	-	-	-	-	-	-	-	-	15	0.000000	0.000000	0
C0	holistic	he634	3.398082	3.398082	-	-	-	-	-	-	-	-	10	0.000000	0.000000	0
C0	holistic	he635	0.000000	0.952920	-	-	-	-	-	-	-	-	13	0.000000	0.000000	0
C0	holistic	he636	5.051490	5.051490	-	-	-	-	-	-	-	-	23	3.030898	0.000000	0
C0	holistic	he639	0.000000	0.000000	-	-	-	-	-	-	-	-	3	0.000000	0.000000	0
C0	holistic	he640	0.000000	0.000000	-	-	-	-	-	-	-	-	9	0.000000	0.000000	0
C0	holistic	he641	0.000000	0.000000	-	-	-	-	-	-	-	-	1	0.000000	0.000000	0
C0	holistic	he642	0.000000	0.000000	-	-	-	-	-	-	-	-	3	2.365558	0.000000	0
C0	holistic	he643	0.000000	0.000000	-	-	-	-	-	-	-	-	2	2.959773	0.000000	0
C0	holistic	he644	0.000000	0.000000	-	-	-	-	-	-	-	-	2	0.000000	0.370862	0
C0	holistic	he646	0.000000	0.000000	-	-	-	-	-	-	-	-	1	0.000000	0.000000	0
C0	holistic	he647	0.000000	0.000000	-	-	-	-	-	-	-	-	1	0.000000	0.000000	0
C0	holistic	he649	0.000000	0.269913	-	-	-	-	-	-	-	-	5	0.000000	0.000000	0
C0	holistic	he650	0.000000	0.000000	-	-	-	-	-	-	-	-	1	0.000000	0.000000	0
C0	holistic	he651	0.000000	0.000000	-	-	-	-	-	-	-	-	1	0.000000	0.000000	0
C0	holistic	he653	6.040370	8.319926	-	-	-	-	-	-	-	-	18	0.000000	0.000000	0
C0	holistic	he654	0.000000	0.353368	-	-	-	-	-	-	-	-	17	2.439000	0.000000	0
C0	holistic	he656	0.000000	0.000000	-	-	-	-	-	-	-	-	3	0.000000	0.000000	0
C0	holistic	he657	0.000000	0.000000	-	-	-	-	-	-	-	-	2	0.000000	0.000000	0
C0	holistic	he658	0.000000	0.000000	-	-	-	-	-	-	-	-	2	0.000000	0.000000	0
C0	holistic	he659	0.000000	0.000000	-	-	-	-	-	-	-	-	15	0.000000	0.000000	0
C0	holistic	he660	0.000000	0.000000	-	-	-	-	-	-	-	-	1	0.000000	0.000000	0
C0	holistic	he662	0.000000	0.000000	-	-	-	-	-	-	-	-	4	0.000000	0.000000	0
C0	holistic	he664	0.000000	0.000000	-	-	-	-	-	-	-	-	4	0.000000	0.000000	0
C0	holistic	he665	0.000000	0.000000	-	-	-	-	-	-	-	-	2	3.459111	0.000000	0
C0	holistic	he666	0.000000	0.000000	-	-	-	-	-	-	-	-	9	0.000000	0.000000	0
C0	holistic	he671	0.000000	0.288824	-	-	-	-	-	-	-	-	8	0.000000	0.000000	0
C0	holistic	he672	5.211590	7.551634	-	-	-	-	-	-	-	-	18	0.000000	0.000000	0
C0	holistic	he673	1.978913	16.493920	-	-	-	-	-	-	-	-	17	0.000000	0.000000	0
C0	holistic	he674	0.000000	1.429380	-	-	-	-	-	-	-	-	18	0.000000	0.000000	0
C0	holistic	he675	0.000000	0.629158	-	-	-	-	-	-	-	-	9	1.937094	0.000000	0
C0	holistic	he676	0.000000	0.000000	-	-	-	-	-	-	-	-	2	0.000000	0.000000	0
C0	holistic	he677	0.000000	0.681252	-	-	-	-	-	-	-	-	19	2.239876	0.000000	0
C0	holistic	he678	0.000000	0.000000	-	-	-	-	-	-	-	-	15	0.000000	0.000000	0
C0	holistic	he679	0.000000	0.000000	-	-	-	-	-	-	-	-	2	0.000000	0.000000	0
C0	holistic	he680	0.000000	0.000000	-	-	-	-	-	-	-	-	3	1.182779	0.000000	0
C0	holistic	he681	1.978913	9.115877	-	-	-	-	-	-	-	-	14	0.000000	0.000000	0
P	holistic	he835	0.000000	0.000000	1	1.000000	0.663005	0.500000	0.331502	0.000000	0.150026	he618,he624,he629,he649,he660,he662,he666	15	0.000000	0.000000	4
P	holistic	he836	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	0.000000	0.094481	he629	2	0.000000	0.000000	3
P	holistic	he837	3.805809	3.805809	1	4.805809	4.805809	4.305809	4.305809	0.219138	0.246819	he618,he666	24	2.188059	0.000000	4
P	holistic	he839	3.020185	2.086673	1	4.020185	2.529406	3.520185	2.308039	-	-	he618,he666	24	0.000000	0.000000	4
P	holistic	he840	5.570076	6.430927	1	6.570076	7.430927	6.070076	6.930927	-	-	he618,he666	25	2.439000	0.000000	4
P	holistic	he842	0.000000	25.592792	1	1.000000	26.592792	0.500000	26.092792	-	-	he618,he624,he649,he660,he666	13	0.000000	0.000000	4
P	holistic	he845	0.000000	0.000000	1	1.000000	1.378261	0.500000	0.689131	-	-	he658,he660	1	0.000000	0.000000	4
P	holistic	he847	6.647594	7.786718	1	7.647594	9.060149	7.147594	8.423434	-	-	he618,he666	31	2.439000	0.000000	4
P	holistic	he848	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he629	2	0.000000	0.000000	4
P	holistic	he849	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he618,he662,he666	4	0.000000	0.000000	3
P	holistic	he853	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he624,he629,he649,he660	2	0.000000	0.413614	4
P	holistic	he854	6.253568	7.125886	1	7.253568	8.125886	6.753568	7.625886	-	-	he618,he666	25	0.000000	0.000000	4
P	holistic	he855	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he629,he660	5	0.000000	0.000000	4
P	holistic	he856	0.000000	0.053088	1	1.000000	1.053088	0.500000	0.553088	-	-	he618,he624,he629,he649,he660,he662,he666	15	0.000000	0.000000	5
P	holistic	he857	0.000000	0.000000	1	1.000000	1.702231	0.500000	0.851116	-	-	he618,he624,he629,he649,he660,he666	2	0.000000	0.413614	4
P	holistic	he858	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he629,he680	5	2.722452	0.000000	2
P	holistic	he859	0.000000	0.000000	1	1.000000	1.425225	0.500000	0.712612	-	-	he618,he629,he666,he680	1	1.196249	0.000000	3
P	holistic	he862	3.020185	7.041558	1	4.020185	7.827497	3.520185	7.434528	-	-	he618,he656,he666	24	0.000000	0.000000	4
P	holistic	he863	0.000000	0.000000	1	1.000000	3.095439	0.500000	1.547720	-	-	he656	3	0.000000	0.000000	3
P	holistic	he864	0.000000	0.000000	1	1.000000	1.849878	0.500000	0.924939	-	-	he658,he660	1	2.773602	0.000000	3
P	holistic	he865	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he656,he658,he660	5	1.862390	0.000000	4
P	holistic	he867	4.377368	4.377368	1	5.377368	5.377368	4.877368	4.877368	-	-	he618,he666	24	0.000000	0.000000	5
P	holistic	he869	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he618,he629,he660,he666	5	0.000000	0.000000	5
P	holistic	he872	0.000000	0.000000	1	1.000000	3.095439	0.500000	1.547720	-	-	he656	3	0.000000	0.000000	4
P	holistic	he873	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he650	1	0.000000	0.000000	3
P	holistic	he875	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he650	1	0.000000	0.000000	4
P	holistic	he877	6.383204	6.449280	1	7.383204	7.449280	6.883204	6.949280	-	-	he618,he666	24	0.000000	0.000000	5
P	holistic	he878	3.805809	3.805809	1	4.805809	4.805809	4.305809	4.305809	-	-	he618,he666	26	2.151882	0.000000	4
P	holistic	he880	3.805809	3.805809	1	4.805809	4.805809	4.305809	4.305809	-	-	he618,he666	29	0.000000	0.000000	5
P	holistic	he881	0.000000	0.000000	1	1.000000	1.410727	0.500000	0.705363	-	-	he656,he658,he660	3	0.000000	0.000000	4
P	holistic	he882	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he629,he660	7	3.585637	0.000000	5
P	holistic	he884	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he629,he680	17	0.000000	0.000000	3
P	holistic	he885	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he650	1	0.000000	0.000000	5
P	holistic	he888	5.969474	7.446742	1	6.969474	8.446742	6.469474	7.946742	-	-	he618,he666	28	0.000000	0.000000	4
P	holistic	he889	7.080082	8.176921	1	8.080082	9.176921	7.580082	8.676921	-	-	he618,he666	34	5.602848	0.000000	4
P	holistic	he890	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he618,he624,he629,he649,he660,he666	2	0.000000	0.000000	4
P	holistic	he891	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he629,he680	7	2.722452	0.000000	3
P	holistic	he892	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he618,he624,he629,he649,he660,he662,he666	15	0.000000	0.000000	4
P	holistic	he893	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he629	2	0.000000	0.000000	5
P	holistic	he894	3.805809	3.805809	1	4.805809	4.805809	4.305809	4.305809	-	-	he618,he666	24	1.925368	0.000000	5
P	holistic	he895	0.000000	0.000000	1	1.000000	1.453738	0.500000	0.726869	-	-	he656,he658,he660	3	0.000000	0.000000	5
P	holistic	he900	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he618,he624,he649,he660,he666	9	0.000000	0.000000	5
P	holistic	he903	3.805809	3.805809	1	4.805809	4.805809	4.305809	4.305809	-	-	he618,he666	29	0.000000	0.000000	6
P	holistic	he904	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he618,he624,he629,he649,he660,he666	5	0.000000	0.000000	5
P	holistic	he905	2.537206	21.752826	1	3.537206	22.752826	3.037206	22.252826	-	-	he618,he629,he666	27	0.000000	0.000000	5
P	holistic	he907	11.622958	13.570312	1	12.622958	14.570312	12.122958	14.070312	-	-	he618,he666	39	2.801424	0.000000	5
P	holistic	he911	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he618,he624,he649,he660,he666	9	0.000000	0.000000	6
P	holistic	he912	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he618,he624,he629,he649,he660,he666	5	0.000000	0.000000	4
P	holistic	he913	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he618,he662,he666	3	0.000000	0.000000	4
P	holistic	he914	3.805809	3.805809	1	4.805809	4.805809	4.305809	4.305809	-	-	he618,he666	24	2.063950	0.000000	5
P	holistic	he916	2.256288	2.121732	1	3.256288	3.121732	2.756288	2.621732	-	-	he618,he624,he629,he649,he660,he662,he666,he680	40	2.611862	0.000000	4
P	holistic	he917	0.000000	0.000000	1	1.000000	1.186493	0.500000	0.593247	-	-	he618,he629,he666	6	0.000000	0.000000	6
P	holistic	he918	0.000000	0.000000	1	1.000000	1.273431	0.500000	0.636716	-	-	he618,he629,he666	8	0.000000	0.000000	6
P	holistic	he919	3.805809	3.805809	1	2.805809	2.805809	3.305809	3.305809	-	-	he618,he666	29	0.000000	0.000000	7
P	holistic	he920	0.000000	0.000000	1	1.000000	1.378261	0.500000	0.689131	-	-	he658,he660	1	0.000000	0.000000	5
P	holistic	he921	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he618,he624,he629,he649,he650,he660,he662,he666	13	0.000000	0.000000	5
P	holistic	he922	5.147084	38.264613	1	6.147084	38.720171	5.647084	38.492392	-	-	he618,he629,he660,he666	36	2.439000	0.000000	4
P	holistic	he923	0.000000	0.000000	1	1.000000	1.186493	0.500000	0.593247	-	-	he618,he629,he656,he666	3	0.000000	0.000000	5
P	holistic	he924	4.676742	4.676742	1	5.676742	5.676742	5.176742	5.176742	-	-	he618,he666	29	0.000000	0.000000	6
P	holistic	he925	0.000000	0.000000	1	1.000000	1.000000	0.500000	0.500000	-	-	he658,he660	1	1.350554	0.000000	5
C0	conventional	ce666	0.361500	39.222804	-	-	-	-	-	-	-	-	7	0.000000	0.000000	0
C0	conventional	ce668	0.000000	33.259921	-	-	-	-	-	-	-	-	7	0.000000	0.000000	0
C0	conventional	ce669	0.000000	25.815442	-	-	-	-	-	-	-	-	7	1.232044	0.000000	0
C0	conventional	ce670	0.000000	16.607811	-	-	-	-	-	-	-	-	7	0.622029	0.000000	0
C0	conventional	ce671	0.000000	30.426955	-	-	-	-	-	-	-	-	7	0.000000	0.000000	0
C0	conventional	ce676	0.600776	30.304089	-	-	-	-	-	-	-	-	7	1.022757	0.000000	0
