# RBT-101 positive-control table, seed 4: C0 alive at 369, P alive at 530; from runs/RBT-90/forage-4 as restored from ckpt/rbt-90-4 at fb023f8a3f (600/600 seasons; lineage and genomes only)
role	population	name	g1	g2	installable	g1_w1	g2_w1	g1_w05	g2_w05	probe_off	probe_on	c0_ancestors	ns	g1_other	g1_vel	depth
C0	holistic	he535	0.981521	2.565040	-	-	-	-	-	-	-	-	6	0.000000	0.000000	0
C0	holistic	he536	6.237104	12.206141	-	-	-	-	-	-	-	-	11	0.000000	0.000000	0
C0	holistic	he537	14.697760	40.392456	-	-	-	-	-	-	-	-	20	0.000000	0.000000	0
C0	holistic	he538	0.387960	0.621187	-	-	-	-	-	-	-	-	4	0.000000	0.000000	0
C0	holistic	he539	5.511841	20.545201	-	-	-	-	-	-	-	-	21	0.000000	0.000000	0
C0	holistic	he541	2.891179	7.753132	-	-	-	-	-	-	-	-	5	0.000000	0.000000	0
C0	holistic	he543	1.549246	4.185621	-	-	-	-	-	-	-	-	6	0.000000	0.000000	0
C0	holistic	he545	1.241178	3.283647	-	-	-	-	-	-	-	-	4	0.000000	0.000000	0
C0	holistic	he549	3.413551	7.419715	-	-	-	-	-	-	-	-	4	0.000000	0.000000	0
C0	holistic	he550	1.250555	3.228616	-	-	-	-	-	-	-	-	4	0.000000	0.000000	0
C0	holistic	he552	0.731985	0.452143	-	-	-	-	-	-	-	-	5	0.000000	0.000000	0
C0	holistic	he553	11.687242	28.456666	-	-	-	-	-	-	-	-	18	0.000000	0.000000	0
C0	holistic	he554	2.056914	11.168714	-	-	-	-	-	-	-	-	12	0.000000	0.000000	0
C0	holistic	he555	5.684206	19.542582	-	-	-	-	-	-	-	-	8	0.000000	0.000000	0
C0	holistic	he556	6.117624	13.409180	-	-	-	-	-	-	-	-	10	0.000000	0.000000	0
C0	holistic	he558	8.442833	23.571702	-	-	-	-	-	-	-	-	17	0.000000	0.000000	0
C0	holistic	he559	6.746116	14.349880	-	-	-	-	-	-	-	-	9	0.000000	0.000000	0
C0	holistic	he560	0.908448	0.659756	-	-	-	-	-	-	-	-	5	0.000000	0.000000	0
C0	holistic	he562	1.482879	3.996221	-	-	-	-	-	-	-	-	6	0.000000	0.000000	0
C0	holistic	he563	7.113092	18.562434	-	-	-	-	-	-	-	-	10	0.000000	0.000000	0
