# RBT-101 positive-control table, seed 805: C0 alive at 369, P alive at 530; from runs/RBT-90/forage-805 as restored from ckpt/rbt-90-805 at e30cd0166c (600/600 seasons; lineage and genomes only)
role	population	name	g1	g2	installable	g1_w1	g2_w1	g1_w05	g2_w05	probe_off	probe_on	c0_ancestors	ns	g1_other	g1_vel	depth
C0	holistic	he602	0.000000	0.000000	-	-	-	-	-	-	-	-	3	0.000000	0.000000	0
C0	holistic	he603	0.000000	0.000000	-	-	-	-	-	-	-	-	4	0.000000	0.000000	0
C0	holistic	he605	0.000000	0.000000	-	-	-	-	-	-	-	-	1	0.000000	0.000000	0
C0	holistic	he608	0.000000	0.000000	-	-	-	-	-	-	-	-	1	0.000000	0.000000	0
C0	holistic	he609	3.236560	13.713179	-	-	-	-	-	-	-	-	4	0.000000	0.000000	0
C0	holistic	he610	0.000000	0.000000	-	-	-	-	-	-	-	-	1	0.000000	0.000000	0
C0	holistic	he611	0.000000	0.000000	-	-	-	-	-	-	-	-	13	0.000000	0.000000	0
C0	holistic	he614	0.000000	0.106449	-	-	-	-	-	-	-	-	10	0.000000	0.000000	0
C0	holistic	he616	0.000000	2.772316	-	-	-	-	-	-	-	-	6	0.000000	0.000000	0
C0	holistic	he619	0.000000	0.000000	-	-	-	-	-	-	-	-	2	0.000000	0.000000	0
C0	holistic	he620	0.000000	0.000000	-	-	-	-	-	-	-	-	1	0.000000	0.000000	0
C0	holistic	he621	0.000000	0.000000	-	-	-	-	-	-	-	-	3	0.000000	0.000000	0
C0	holistic	he625	0.000000	0.000000	-	-	-	-	-	-	-	-	1	0.000000	0.000000	0
C0	holistic	he626	0.000000	0.000000	-	-	-	-	-	-	-	-	9	0.000000	0.000000	0
C0	holistic	he627	3.236560	13.502731	-	-	-	-	-	-	-	-	4	0.000000	0.000000	0
C0	holistic	he628	0.000000	0.000000	-	-	-	-	-	-	-	-	4	0.000000	0.000000	0
C0	holistic	he629	1.268310	2.370015	-	-	-	-	-	-	-	-	7	0.000000	0.000000	0
C0	holistic	he630	2.117832	36.763980	-	-	-	-	-	-	-	-	31	0.000000	0.000000	0
C0	holistic	he633	3.847539	13.136715	-	-	-	-	-	-	-	-	4	0.000000	0.000000	0
C0	holistic	he637	0.000000	0.000000	-	-	-	-	-	-	-	-	1	0.000000	0.000000	0
C0	holistic	he639	0.000000	0.000000	-	-	-	-	-	-	-	-	1	0.000000	0.000000	0
C0	holistic	he640	0.000000	0.000000	-	-	-	-	-	-	-	-	3	0.000000	0.000000	0
C0	holistic	he643	1.268310	2.370015	-	-	-	-	-	-	-	-	7	0.000000	0.000000	0
C0	holistic	he644	0.000000	0.049492	-	-	-	-	-	-	-	-	1	0.000000	0.000000	0
C0	holistic	he648	2.358547	6.190748	-	-	-	-	-	-	-	-	10	0.000000	0.000000	0
C0	holistic	he649	0.000000	0.000000	-	-	-	-	-	-	-	-	3	0.000000	0.000000	0
C0	holistic	he651	2.555625	1.283430	-	-	-	-	-	-	-	-	2	0.000000	0.000000	0
