# RBT-101 positive-control table, seed 806: C0 alive at 369, P alive at 530; from runs/RBT-90/forage-806 as restored from ckpt/rbt-90-806 at 8897960283 (600/600 seasons; lineage and genomes only)
role	population	name	g1	g2	installable	g1_w1	g2_w1	g1_w05	g2_w05	probe_off	probe_on	c0_ancestors	ns	g1_other	g1_vel	depth
C0	holistic	he608	0.000000	0.000000	-	-	-	-	-	-	-	-	2	0.000000	0.000000	0
C0	holistic	he611	0.000000	0.000000	-	-	-	-	-	-	-	-	2	1.373057	0.000000	0
C0	holistic	he613	0.000000	0.000000	-	-	-	-	-	-	-	-	1	0.000000	0.000000	0
C0	holistic	he614	0.000000	0.000000	-	-	-	-	-	-	-	-	7	0.000000	0.000000	0
C0	holistic	he615	0.000000	0.000000	-	-	-	-	-	-	-	-	2	0.000000	0.000000	0
C0	holistic	he620	1.517513	1.517513	-	-	-	-	-	-	-	-	3	0.000000	0.000000	0
C0	holistic	he624	0.000000	0.000000	-	-	-	-	-	-	-	-	1	0.000000	0.000000	0
C0	holistic	he625	0.000000	0.000000	-	-	-	-	-	-	-	-	2	2.220246	0.000000	0
C0	holistic	he628	0.000000	0.000000	-	-	-	-	-	-	-	-	7	0.000000	0.000000	0
C0	holistic	he629	0.000000	0.892158	-	-	-	-	-	-	-	-	3	0.000000	0.000000	0
C0	holistic	he630	0.000000	0.000000	-	-	-	-	-	-	-	-	5	0.000000	0.000000	0
C0	holistic	he631	0.000000	0.000000	-	-	-	-	-	-	-	-	3	0.000000	0.000000	0
C0	holistic	he632	0.000000	0.000000	-	-	-	-	-	-	-	-	6	0.315736	0.000000	0
C0	holistic	he633	0.000000	0.000000	-	-	-	-	-	-	-	-	2	0.000000	0.000000	0
C0	holistic	he637	0.000000	12.146328	-	-	-	-	-	-	-	-	4	0.000000	0.000000	0
C0	holistic	he638	0.000000	0.000000	-	-	-	-	-	-	-	-	8	0.000000	0.000000	0
C0	holistic	he639	0.000000	0.000000	-	-	-	-	-	-	-	-	2	1.214004	0.000000	0
C0	holistic	he643	0.000000	0.000000	-	-	-	-	-	-	-	-	8	0.000000	0.000000	0
C0	holistic	he644	0.000000	1.370513	-	-	-	-	-	-	-	-	2	0.000000	0.000000	0
C0	holistic	he647	0.000000	0.000000	-	-	-	-	-	-	-	-	2	0.000000	0.000000	0
C0	holistic	he648	0.000000	0.000000	-	-	-	-	-	-	-	-	6	0.000000	0.000000	0
C0	holistic	he650	1.517513	1.517513	-	-	-	-	-	-	-	-	3	0.000000	0.000000	0
