# RBT-102 adversary probe 4: scope

| seed | genomes saved | lineage seasons | genomes with a local neuron | local neurons max | predicate rule on ANY non-sensor unit | of which on a local unit |
|---|---|---|---|---|---|---|
| 1 | 1334 | 0-599 (600) | 0 | 0 | 0 | 0 |
| 2 | 1085 | 0-599 (600) | 0 | 0 | 0 | 0 |
| 3 | 1294 | 0-599 (600) | 0 | 0 | 0 | 0 |
| 4 | 1207 | 0-599 (600) | 0 | 0 | 0 | 0 |
| 7 | 1237 | 0-599 (600) | 0 | 0 | 0 | 0 |
| 801 | 1295 | 0-599 (600) | 0 | 0 | 0 | 0 |
| 804 | 1198 | 0-599 (600) | 0 | 0 | 0 | 0 |
| 805 | 1286 | 0-599 (600) | 0 | 0 | 0 | 0 |
| 806 | 1166 | 0-599 (600) | 0 | 0 | 0 | 0 |
| 807 | 1174 | 0-599 (600) | 0 | 0 | 0 | 0 |
| **all** | **12276** | | **0** | | **0** | **0** |
