# RBT-102 structural carriage -- /tmp/claude-0/-home-user-rabbitstew/22b19251-73cf-541e-9535-6078cbfc5dc4/scratchpad/arms/forage-804

seed 804; state.json season 600 of 600; fauna: conventional (fixed_body 'pioneer'); window seasons 300-599
genomes saved at birth: 1198; living names without a genome: 0

## Positive control (before any number)

  20 window genomes (seed 102); installs ((1.0, 1.0), (8.0, -1.0)) (w, sign)
  installed motif detected 40 of 40; install invalid 0; bare genomes carrying 0 of 20
  positive control: PASSED

## Carriage per season (living conventional fauna)

| season | alive | carriers | fraction | mean depth |
|---|---|---|---|---|
| 0 | 60 | 0 | 0.0000 | 0.0 |
| 1 | 60 | 0 | 0.0000 | 0.0 |
| 2 | 60 | 0 | 0.0000 | 0.1 |
| 3 | 60 | 0 | 0.0000 | 0.3 |
| 4 | 60 | 0 | 0.0000 | 0.3 |
| 5 | 60 | 0 | 0.0000 | 0.4 |
| 6 | 60 | 0 | 0.0000 | 0.5 |
| 7 | 60 | 0 | 0.0000 | 0.6 |
| 8 | 60 | 0 | 0.0000 | 0.7 |
| 9 | 60 | 0 | 0.0000 | 0.8 |
| 10 | 60 | 0 | 0.0000 | 0.9 |
| 11 | 60 | 0 | 0.0000 | 0.9 |
| 12 | 60 | 0 | 0.0000 | 1.0 |
| 13 | 60 | 0 | 0.0000 | 1.0 |
| 14 | 60 | 0 | 0.0000 | 1.0 |
| 15 | 60 | 0 | 0.0000 | 1.1 |
| 16 | 60 | 0 | 0.0000 | 1.1 |
| 17 | 60 | 0 | 0.0000 | 1.1 |
| 18 | 60 | 0 | 0.0000 | 1.1 |
| 19 | 60 | 0 | 0.0000 | 1.1 |
| 20 | 60 | 0 | 0.0000 | 1.2 |
| 21 | 60 | 0 | 0.0000 | 1.2 |
| 22 | 60 | 0 | 0.0000 | 1.3 |
| 23 | 60 | 0 | 0.0000 | 1.4 |
| 24 | 60 | 0 | 0.0000 | 1.4 |
| 25 | 60 | 0 | 0.0000 | 1.4 |
| 26 | 60 | 0 | 0.0000 | 1.5 |
| 27 | 60 | 0 | 0.0000 | 1.6 |
| 28 | 60 | 0 | 0.0000 | 1.6 |
| 29 | 60 | 0 | 0.0000 | 1.6 |
| 30 | 60 | 0 | 0.0000 | 1.6 |
| 31 | 60 | 0 | 0.0000 | 1.7 |
| 32 | 60 | 0 | 0.0000 | 1.8 |
| 33 | 60 | 0 | 0.0000 | 1.8 |
| 34 | 60 | 0 | 0.0000 | 1.8 |
| 35 | 60 | 0 | 0.0000 | 1.8 |
| 36 | 60 | 0 | 0.0000 | 1.8 |
| 37 | 60 | 0 | 0.0000 | 1.9 |
| 38 | 60 | 0 | 0.0000 | 1.9 |
| 39 | 60 | 0 | 0.0000 | 1.9 |
| 40 | 60 | 0 | 0.0000 | 1.9 |
| 41 | 60 | 0 | 0.0000 | 1.9 |
| 42 | 60 | 0 | 0.0000 | 2.0 |
| 43 | 60 | 0 | 0.0000 | 2.1 |
| 44 | 60 | 0 | 0.0000 | 2.1 |
| 45 | 60 | 0 | 0.0000 | 2.0 |
| 46 | 60 | 0 | 0.0000 | 2.0 |
| 47 | 60 | 0 | 0.0000 | 2.0 |
| 48 | 60 | 0 | 0.0000 | 2.0 |
| 49 | 60 | 0 | 0.0000 | 2.0 |
| 50 | 60 | 0 | 0.0000 | 2.0 |
| 51 | 60 | 0 | 0.0000 | 2.0 |
| 52 | 60 | 0 | 0.0000 | 2.0 |
| 53 | 60 | 0 | 0.0000 | 2.0 |
| 54 | 60 | 0 | 0.0000 | 2.0 |
| 55 | 60 | 0 | 0.0000 | 2.0 |
| 56 | 60 | 0 | 0.0000 | 2.0 |
| 57 | 60 | 0 | 0.0000 | 2.0 |
| 58 | 60 | 0 | 0.0000 | 2.0 |
