# RBT-102 structural carriage -- runs/RBT-90/forage-805

seed 805; state.json season 600 of 600; fauna: conventional (fixed_body 'pioneer'); window seasons 300-599
genomes saved at birth: 1286; living names without a genome: 0

## Positive control (before any number)

  20 window genomes (seed 102); installs ((1.0, 1.0), (8.0, -1.0)) (w, sign)
  installed motif detected 40 of 40; install invalid 0; bare genomes carrying 0 of 20
  positive control: PASSED

## Carriage per season (living conventional fauna)

| season | alive | carriers | fraction | mean depth |
|---|---|---|---|---|
| 0 | 60 | 0 | 0.0000 | 0.0 |
| 1 | 60 | 0 | 0.0000 | 0.1 |
| 2 | 60 | 0 | 0.0000 | 0.1 |
| 3 | 60 | 0 | 0.0000 | 0.2 |
| 4 | 60 | 0 | 0.0000 | 0.3 |
| 5 | 60 | 0 | 0.0000 | 0.4 |
| 6 | 60 | 0 | 0.0000 | 0.4 |
| 7 | 60 | 0 | 0.0000 | 0.5 |
| 8 | 60 | 0 | 0.0000 | 0.6 |
| 9 | 60 | 0 | 0.0000 | 0.7 |
| 10 | 60 | 0 | 0.0000 | 0.7 |
| 11 | 60 | 0 | 0.0000 | 0.8 |
| 12 | 60 | 0 | 0.0000 | 0.9 |
| 13 | 60 | 0 | 0.0000 | 0.9 |
| 14 | 60 | 0 | 0.0000 | 0.9 |
| 15 | 60 | 0 | 0.0000 | 0.9 |
| 16 | 60 | 0 | 0.0000 | 0.9 |
| 17 | 60 | 0 | 0.0000 | 1.0 |
| 18 | 60 | 0 | 0.0000 | 1.0 |
| 19 | 60 | 0 | 0.0000 | 1.1 |
| 20 | 60 | 0 | 0.0000 | 1.1 |
| 21 | 60 | 0 | 0.0000 | 1.1 |
| 22 | 60 | 0 | 0.0000 | 1.2 |
| 23 | 60 | 0 | 0.0000 | 1.3 |
| 24 | 60 | 0 | 0.0000 | 1.3 |
| 25 | 60 | 0 | 0.0000 | 1.3 |
| 26 | 60 | 0 | 0.0000 | 1.3 |
| 27 | 60 | 0 | 0.0000 | 1.4 |
| 28 | 60 | 0 | 0.0000 | 1.4 |
| 29 | 60 | 0 | 0.0000 | 1.4 |
| 30 | 60 | 0 | 0.0000 | 1.4 |
| 31 | 60 | 0 | 0.0000 | 1.3 |
| 32 | 60 | 0 | 0.0000 | 1.4 |
| 33 | 60 | 0 | 0.0000 | 1.4 |
| 34 | 60 | 0 | 0.0000 | 1.4 |
| 35 | 60 | 0 | 0.0000 | 1.4 |
| 36 | 60 | 0 | 0.0000 | 1.4 |
| 37 | 60 | 0 | 0.0000 | 1.5 |
| 38 | 60 | 0 | 0.0000 | 1.6 |
| 39 | 60 | 0 | 0.0000 | 1.6 |
| 40 | 60 | 0 | 0.0000 | 1.6 |
| 41 | 60 | 0 | 0.0000 | 1.6 |
| 42 | 60 | 0 | 0.0000 | 1.8 |
| 43 | 60 | 0 | 0.0000 | 1.8 |
| 44 | 60 | 0 | 0.0000 | 1.8 |
| 45 | 60 | 0 | 0.0000 | 1.8 |
| 46 | 60 | 0 | 0.0000 | 1.9 |
| 47 | 60 | 0 | 0.0000 | 1.9 |
| 48 | 60 | 0 | 0.0000 | 1.9 |
| 49 | 60 | 0 | 0.0000 | 1.9 |
| 50 | 60 | 0 | 0.0000 | 1.9 |
| 51 | 60 | 0 | 0.0000 | 1.9 |
| 52 | 60 | 0 | 0.0000 | 1.9 |
| 53 | 60 | 0 | 0.0000 | 1.9 |
| 54 | 60 | 0 | 0.0000 | 1.9 |
| 55 | 60 | 0 | 0.0000 | 1.9 |
| 56 | 60 | 0 | 0.0000 | 1.9 |
| 57 | 60 | 0 | 0.0000 | 1.9 |
| 58 | 60 | 0 | 0.0000 | 1.9 |
| 59 | 60 | 0 | 0.0000 | 2.0 |
