# RBT-102 SUPPLEMENTARY (post hoc, not verdict-bearing): applicability and half-structures

| seed | genomes | applicable | a unit fed by >= 1 nose | a unit fed by both noses (any sign) | in-half (opposite) | out-half (same) | both on one unit |
|---|---|---|---|---|---|---|---|
| 1 | 1334 | 1334 | 24 | 0 | 0 | 1198 | 0 |
| 2 | 1085 | 1085 | 122 | 0 | 0 | 960 | 0 |
| 3 | 1294 | 1294 | 162 | 0 | 0 | 1218 | 0 |
| 4 | 1207 | 1207 | 21 | 0 | 0 | 1082 | 0 |
| 7 | 1237 | 1237 | 120 | 0 | 0 | 1098 | 0 |
| 801 | 1295 | 1295 | 73 | 0 | 0 | 1136 | 0 |
| 804 | 1198 | 1198 | 68 | 0 | 0 | 1118 | 0 |
| 805 | 1286 | 1286 | 68 | 0 | 0 | 1091 | 0 |
| 806 | 1166 | 1166 | 60 | 0 | 0 | 1087 | 0 |
| 807 | 1174 | 1174 | 238 | 0 | 0 | 1056 | 0 |
| **all** | **12276** | **12276** | **956** | **0** | **0** | **11044** | **0** |
