# RBT-104 adversary: the planted seed under the operator alone (no selection), seed 4

30 planted founders x 20 lineages per K; part 2's MutationConfig; crossover off.

## K = 1  (600 lineages)

| depth | structure | same sign | paying (>= a=64 rung, same sign) | own links median | whole brain median |
|---|---|---|---|---|---|
| 0 | 600/600 (100%) | 100% | 0% | 0.845 | 0.4212 |
| 1 | 559/600 (93%) | 91% | 0% | 0.764 | 0.2689 |
| 2 | 529/600 (88%) | 84% | 1% | 0.664 | 0.2223 |
| 4 | 467/600 (78%) | 70% | 1% | 0.466 | 0.1165 |
| 8 | 332/600 (55%) | 47% | 0% | 0.000 | 0.0857 |
| 12 | 236/600 (39%) | 30% | 0% | 0.000 | 0.0386 |
| 16 | 174/600 (29%) | 20% | 0% | 0.000 | 0.0182 |
| 20 | 123/600 (20%) | 13% | 0% | 0.000 | 0.0113 |

## K = 8  (600 lineages)

| depth | structure | same sign | paying (>= a=64 rung, same sign) | own links median | whole brain median |
|---|---|---|---|---|---|
| 0 | 600/600 (100%) | 100% | 100% | 49.996 | 0.0000 |
| 1 | 562/600 (94%) | 92% | 75% | 44.357 | 0.0000 |
| 2 | 525/600 (88%) | 85% | 56% | 31.808 | 0.0000 |
| 4 | 444/600 (74%) | 68% | 30% | 2.645 | 0.0000 |
| 8 | 346/600 (58%) | 48% | 11% | 0.000 | 0.0000 |
| 12 | 258/600 (43%) | 32% | 7% | 0.000 | 0.0000 |
| 16 | 196/600 (33%) | 23% | 3% | 0.000 | 0.0000 |
| 20 | 148/600 (25%) | 15% | 2% | 0.000 | 0.0000 |

