# RBT-104: the anatomy of RBT-91's default-scale arrivals (K = 1, regenerated)

pool           lineage          func   bias    u_L    u_R    v_L    v_R  linear a  links alone  committed
W4b-801-bests      176           sin  +1.66  +0.31  -0.71  -0.67  -0.68     -0.68      +0.0036    +0.0036
W4b-801-bests     2430          tanh  +0.24  -0.50  +1.11  -0.41  -2.50     +2.34      +0.6226    +0.6226
W4b-801-bests     3550          tanh  +1.59  -1.90  +0.10  +0.97  +1.40     -2.37      -0.0805    -0.0805
W4b-801-bests    14887     integrate  +0.76  +0.31  -0.12  +0.83  +1.84     +0.58      +0.0080    +0.0080
W4b-801-bests    16752          tanh  +0.26  -0.98  +1.03  -0.14  -1.26     +1.41      +0.6122    +0.6122
W4b-801-bests    18865     integrate  +0.28  +2.74  -0.04  -1.37  -0.56     -2.68      -0.3285    -0.3285
W4b-801-bests    24529          tanh  +0.01  +0.38  -1.93  -1.16  -1.06     -2.57      -0.6628    -0.6628
W4b-801-bests    25071          tanh  -1.94  +1.63  -2.71  -0.28  -1.17     -3.14      -0.0944    -0.0944
W4b-801-bests    25908          tanh  +0.85  -2.24  +2.01  -0.42  -1.64     +4.39      +0.8696    +0.8696
W4b-801-bests    26502          tanh  +1.79  +0.15  -0.27  +1.42  +0.16     +0.33      +0.0103    +0.0103
W4b-801-bests    27707           sin  +0.41  -0.98  +0.15  -0.04  -1.13     +0.66      +0.2194    +0.2194
W4b-801-bests    28988 differentiate  -0.17  +0.02  -0.10  -0.39  -2.43     -0.17      +0.0000    +0.0000
W4b-801-bests    35295          tanh  +2.32  -0.80  +1.27  -0.80  -1.26     +2.13      +0.0292    +0.0292
W4b-801-bests    39396          tanh  -1.19  -3.00  +0.61  +1.20  +0.62     -3.28      -0.0534    -0.0534
W4b-801-bests    40182          sign  +0.28  +1.56  -0.23  +0.88  +0.45     +1.19      +0.0000    +0.0000
W4b-801-bests    40776 differentiate  -0.73  -1.30  +0.08  -1.53  -1.72     +2.23      +0.0000    +0.0000
W4b-801-bests    41364     integrate  -0.59  +1.09  -0.86  +0.84  +0.26     +1.07      +0.3750    +0.3750
W4b-801-bests    42414          tanh  +1.33  -1.03  +0.31  -0.38  -1.47     +1.25      +0.0982    +0.0982
W4b-801-bests    45725          tanh  -0.42  -0.70  +0.20  -0.79  -0.17     +0.43      +0.1686    +0.1686
W4b-801-bests    47517          tanh  -0.04  +0.51  -0.07  -1.28  -1.86     -0.90      -0.2048    -0.2048
W4b-801-bests    47776           abs  +3.89  -1.39  +2.29  -0.22  -0.05     +0.50      +0.0003    +0.0003
W4b-801-bests    49535          sign  +0.18  +3.14  -0.17  -2.01  -1.01     -5.01      +0.0000    +0.0000
W4b-801-bests    51374           sin  -0.92  -0.99  +1.31  +0.73  +1.12     -2.14      -0.0738    -0.0738
W4b-801-bests    51430     integrate  +2.56  +0.43  -0.43  -2.14  -0.50     -1.15      +0.0000    +0.0000
W4b-801-bests    52465          sign  -0.61  -0.08  +1.39  -0.79  -0.62     +1.03      +0.0000    +0.0000
W4b-801-bests    54412          sign  +1.38  +0.16  -1.26  -0.06  -0.30     -0.26      +0.0000    +0.0000
W4b-801-bests    54741          sign  -1.12  -1.28  +1.98  -0.86  -1.48     +3.83      +0.0000    +0.0000
W4b-801-bests    55119           sin  -0.70  -1.34  +0.64  -1.43  -0.99     +2.41      +0.3574    +0.3574
W4b-801-bests    59333          sign  -1.16  +0.85  -0.81  -0.49  -0.29     -0.64      +0.0000    +0.0000
W4b-801-bests    59599          tanh  +0.55  +0.57  -0.87  -0.46  -1.87     -1.68      -0.0928    -0.0928
W4b-801-bests    60418          tanh  +1.02  -0.35  +0.02  +0.78  +1.50     -0.42      -0.0294    -0.0294
W4b-801-bests    62370          tanh  +2.15  +3.48  -1.13  +0.69  +0.81     +3.46      +0.0426    +0.0426
W4b-801-bests    62392          sign  +1.00  -0.16  +0.07  -1.28  -2.15     +0.39      +0.0000    +0.0000
W4b-801-bests    66697          relu  -0.48  -0.91  +0.66  -0.21  -0.74     +0.75      +0.0000    +0.0000
W4b-801-bests    67544          relu  -0.19  +0.38  -0.51  -0.64  -2.16     -1.24      +0.0000    +0.0000
W4b-801-bests    68601           sin  +0.55  -0.60  +1.86  -1.66  -1.34     +3.70      +0.7083    +0.7083
W4b-801-bests    72213          tanh  +1.23  -0.21  +0.20  -0.37  -1.55     +0.39      +0.0280    +0.0280
W4b-801-bests    72794           abs  +0.98  -0.31  +1.74  -0.80  -0.48     +1.31      +0.0499    +0.0499
W4b-801-bests    75769     integrate  +0.79  +0.71  -0.04  -1.05  -1.38     -0.91      -0.1375    -0.1375
W4b-801-bests    76260          tanh  -0.27  -1.25  +0.41  +0.89  +0.89     -1.48      -0.1533    -0.1533
W4b-801-bests    77638          tanh  -0.43  -0.14  +2.41  -2.40  -0.95     +4.26      +1.2622    +1.2622
W4b-801-bests    78245          tanh  +0.20  +2.78  -2.88  +0.30  +0.63     +2.64      +0.4828    +0.4828
W4b-801-bests    83237          tanh  +0.41  +0.33  -0.33  +0.71  +0.57     +0.42      +0.1315    +0.1315
W4b-801-bests    83434          sign  +0.82  -0.12  +0.80  -1.64  -1.03     +1.22      +0.0000    +0.0000
W4b-801-bests    85604           abs  -0.21  +0.31  -0.88  -1.00  -2.63     -2.16      +0.2956    +0.2956
W4b-801-bests    87067           abs  +0.17  +1.22  -0.24  +0.26  +0.87     +0.83      +0.3784    +0.3784
W4b-801-bests    88726          sign  -0.19  -0.46  +1.97  -0.41  -0.95     +1.66      +0.0000    +0.0000
W4b-801-bests    91323          sign  +1.26  -0.37  +0.53  -0.51  -1.90     +1.08      +0.0000    +0.0000
W4b-801-bests    92682          tanh  +1.49  +0.38  -0.22  -2.28  -0.15     -0.74      -0.0030    -0.0030
W4b-801-bests    92730           sin  +0.62  -0.82  +0.40  -2.53  -3.77     +3.86      +0.0501    +0.0501
W4b-801-bests    93465           sin  -0.75  -2.33  +0.26  -2.03  -1.65     +4.77      +0.8215    +0.8215
W4b-801-bests    96335          tanh  +1.57  -0.65  +1.93  -0.78  -2.32     +4.01      +0.0164    +0.0164
W4b-801-bests    97875          tanh  +1.87  +1.39  -0.20  -0.47  -0.24     -0.57      -0.0117    -0.0117
W4b-801-bests    98491     integrate  -0.61  +0.66  -1.53  -1.14  -0.05     -1.31      -0.2293    -0.2293
P-801-final60      109          tanh  +1.79  +2.46  -1.79  -2.03  -1.19     -6.84      -0.0314    -0.0314
P-801-final60     6195          tanh  +0.52  +2.27  -3.06  -0.03  -0.53     -1.51      -0.0840    -0.0840
P-801-final60     9041     integrate  +0.26  -0.25  +0.05  +0.70  +0.90     -0.24      -0.1318    -0.1318
P-801-final60    14809           abs  +0.85  +0.51  -0.66  +2.75  +0.24     +1.75      +0.1270    +0.1270
P-801-final60    15505          sign  +0.82  +2.45  -2.04  -1.79  -1.31     -6.96      +0.0000    +0.0000
P-801-final60    15780     integrate  +1.14  +1.14  -1.22  +0.10  +0.97     +1.26      +0.0000    +0.0000
P-801-final60    21070           sin  +0.54  +0.28  -0.18  +0.76  +2.39     +0.71      +0.2408    +0.2408
P-801-final60    22053          tanh  +1.46  +1.90  -0.69  -0.10  -0.07     -0.22      -0.0127    -0.0127
P-801-final60    22102          tanh  +2.03  +0.79  -0.37  -4.23  -0.92     -3.00      -0.0142    -0.0142
P-801-final60    26023           sin  +1.23  +1.06  -2.09  +0.40  +0.16     +0.88      +0.0111    +0.0111
P-801-final60    30934           abs  +1.87  -1.30  +0.85  -1.41  -1.10     +2.68      +0.0293    +0.0293
P-801-final60    36555          tanh  +1.23  +1.64  -1.16  -0.53  -0.03     -0.77      -0.0044    -0.0044
P-801-final60    37762 differentiate  -0.16  +0.38  -0.22  -0.56  -1.11     -0.50      +0.0000    +0.0000
P-801-final60    39764          sign  -0.46  -1.35  +1.60  +2.21  +2.76     -7.36      +0.0000    +0.0000
P-801-final60    41823           sin  -0.57  +0.89  -0.01  -1.04  -0.35     -0.63      -0.0748    -0.0748
P-801-final60    43987 differentiate  +0.40  +0.14  -0.27  -1.07  -1.12     -0.45      +0.0000    +0.0000
P-801-final60    45993          tanh  +0.51  +0.33  -1.48  +0.02  +1.63     +1.50      +0.5357    +0.5357
P-801-final60    46762 differentiate  +0.32  +1.37  -0.23  -0.45  -1.40     -1.48      +0.0000    +0.0000
P-801-final60    49941          tanh  -0.54  +1.11  -0.01  -1.94  -2.14     -2.28      -0.3923    -0.3923
P-801-final60    53643     integrate  +1.10  +0.48  -0.07  +0.40  +0.56     +0.26      +0.0000    +0.0000
P-801-final60    57186          tanh  -1.34  +1.91  -1.58  -1.23  -1.16     -4.18      -0.1524    -0.1524
P-801-final60    62841          tanh  -0.48  +3.06  -0.24  -0.43  -1.78     -3.64      -1.0084    -1.0084
P-801-final60    68121     integrate  +1.73  +1.79  -0.51  -0.32  -1.09     -1.62      +0.0000    +0.0000
P-801-final60    70575          relu  +1.83  +1.38  -1.18  -1.20  -0.48     -2.15      -0.0118    -0.0118
P-801-final60    74740     integrate  -0.05  -0.25  +1.19  +1.52  +1.12     -1.89      -0.5379    -0.5379
P-801-final60    82129          tanh  +0.32  +1.37  -2.77  -0.49  -0.68     -2.44      -0.4580    -0.4580
P-801-final60    82865 differentiate  +1.41  -1.80  +0.60  -1.63  -0.23     +2.24      +0.0000    +0.0000
P-801-final60    90783 differentiate  +1.38  +1.02  -0.67  -0.64  -0.27     -0.77      +0.0000    +0.0000
P-801-final60    92541     integrate  -0.11  +1.35  -0.99  -0.92  -1.08     -2.33      -0.9596    -0.9596
P-801-final60    97822           sin  +2.05  +3.16  -0.92  -1.38  -1.25     -5.38      +1.0522    +1.0522

links-alone values matching the committed file: 84 of 84
transfer functions: {'sin': 11, 'tanh': 33, 'integrate': 12, 'differentiate': 7, 'sign': 12, 'abs': 6, 'relu': 3}
arrivals whose links-alone response is below 1e-4, by function: {'differentiate': 7, 'sign': 12, 'integrate': 4, 'relu': 2}
|linear a|: median 1.48, max 7.36; the rung that pays in RBT-90's world is a = 64
