# RBT-104 no-selection baseline, seed 801, K = 8: 30 planted founders x 20 lineages = 600; adversary/persistence.py's lineage(), unchanged, at depths 0-30
# depth	lineages	paying	fraction	upper95_one_sided
0	600	600	1.0000	1.0000
1	600	443	0.7383	0.7667
2	600	325	0.5417	0.5749
3	600	250	0.4167	0.4501
4	600	186	0.3100	0.3419
5	600	146	0.2433	0.2733
6	600	115	0.1917	0.2195
7	600	98	0.1633	0.1897
8	600	78	0.1300	0.1543
9	600	71	0.1183	0.1418
10	600	55	0.0917	0.1129
11	600	39	0.0650	0.0836
12	600	34	0.0567	0.0743
13	600	29	0.0483	0.0649
14	600	24	0.0400	0.0554
15	600	16	0.0267	0.0398
16	600	11	0.0183	0.0297
17	600	12	0.0200	0.0318
18	600	10	0.0167	0.0277
19	600	8	0.0133	0.0235
20	600	6	0.0100	0.0192
21	600	8	0.0133	0.0235
22	600	10	0.0167	0.0277
23	600	7	0.0117	0.0214
24	600	5	0.0083	0.0170
25	600	5	0.0083	0.0170
26	600	4	0.0067	0.0148
27	600	5	0.0083	0.0170
28	600	5	0.0083	0.0170
29	600	6	0.0100	0.0192
30	600	8	0.0133	0.0235
