
# RBT-104: the seed's cost to the founders at t = 0 (coordinator's condition 2)

platform x86_64, MuJoCo 3.14.0; 30 planted founders per seed (even i), each scored bare and planted on 16 paired bouts from 7000

| seed | K | bare income | planted income | planted - bare, t(29) over founders | founders with any difference |
|---|---|---|---|---|---|
| 801 | 1 | 0.4396 | 0.4729 | +0.0333 [-0.0334, +0.1001] | 22/30 |
| 801 | 8 | 0.6208 | 0.5312 | -0.0896 [-0.2634, +0.0843] | 27/30 |
| 804 | 1 | 0.4271 | 0.4396 | +0.0125 [-0.0474, +0.0724] | 23/30 |
| 804 | 8 | 0.3979 | 0.5104 | +0.1125 [+0.0084, +0.2166] | 23/30 |
| 805 | 1 | 0.4729 | 0.4688 | -0.0042 [-0.0985, +0.0902] | 25/30 |
| 805 | 8 | 0.4729 | 0.5833 | +0.1104 [-0.0477, +0.2685] | 30/30 |
| 806 | 1 | 0.4646 | 0.5208 | +0.0563 [-0.0228, +0.1353] | 22/30 |
| 806 | 8 | 0.4125 | 0.5188 | +0.1062 [-0.0066, +0.2191] | 28/30 |
| 807 | 1 | 0.4625 | 0.4938 | +0.0312 [-0.0830, +0.1455] | 23/30 |
| 807 | 8 | 0.4375 | 0.4167 | -0.0208 [-0.0967, +0.0551] | 24/30 |
| 1 | 1 | 0.5563 | 0.4958 | -0.0604 [-0.1315, +0.0106] | 25/30 |
| 1 | 8 | 0.5125 | 0.7229 | +0.2104 [+0.0033, +0.4176] | 26/30 |
| 2 | 1 | 0.4958 | 0.5042 | +0.0083 [-0.0879, +0.1046] | 24/30 |
| 2 | 8 | 0.4521 | 0.5333 | +0.0813 [-0.0814, +0.2439] | 25/30 |
| 3 | 1 | 0.3438 | 0.4000 | +0.0563 [-0.0110, +0.1235] | 20/30 |
| 3 | 8 | 0.4708 | 0.4562 | -0.0146 [-0.1400, +0.1108] | 23/30 |
| 4 | 1 | 0.4292 | 0.4021 | -0.0271 [-0.0936, +0.0394] | 25/30 |
| 4 | 8 | 0.4542 | 0.5646 | +0.1104 [-0.0677, +0.2885] | 27/30 |
| 7 | 1 | 0.4750 | 0.4771 | +0.0021 [-0.0526, +0.0567] | 21/30 |
| 7 | 8 | 0.4979 | 0.5312 | +0.0333 [-0.0910, +0.1577] | 25/30 |

K = 1: planted - bare, mean over 10 seeds +0.0108, t over seeds [-0.0151, +0.0368]

K = 8: planted - bare, mean over 10 seeds +0.0640, t over seeds [+0.0017, +0.1262]
