season	population	alive	births	deaths	mean_lifetime_score	best_lifetime_score
0	holistic	60	0	0	0.009493719836903178	0.947399594374758
0	conventional	60	0	0	0.19459212342530527	4.443902846983862
1	holistic	60	0	0	0.02032676165814108	0.9832321733190629
1	conventional	60	2	2	0.23582128194392618	4.027109566501921
2	holistic	60	0	0	0.019260902822119303	0.9825125893712774
2	conventional	60	7	7	0.26646189163880923	3.1671346000696734
3	holistic	60	1	1	0.008974097518202294	0.7182181042255756
3	conventional	60	9	9	0.3726174066425241	3.2608017407352134
4	holistic	59	1	2	0.020192459263726065	0.7703872379196036
4	conventional	60	7	7	0.3937693156346584	2.4711888020830677
5	holistic	58	4	5	0.04637948641859642	0.983749300489763
5	conventional	60	7	7	0.4450311316381012	1.9727605892093336
6	holistic	57	2	3	0.07513504627099712	1.6132589329012534
6	conventional	60	5	5	0.43288515146460055	1.801566103838801
7	holistic	59	3	1	0.09213524742115677	1.6553027188102782
7	conventional	60	3	3	0.5148276605832706	2.6336756392278415
8	holistic	60	2	1	0.08146102004922104	1.1833150028636887
8	conventional	60	3	3	0.4109765479429365	2.118347886918427
9	holistic	59	2	3	0.09772170634801013	1.1739684528325187
9	conventional	60	12	12	0.35651950341893385	1.5051406508198932
10	holistic	58	3	4	0.12869092644464758	1.732970820523506
10	conventional	60	5	5	0.4804901548520829	3.348012024755734
11	holistic	23	2	37	0.2678205894155559	1.0601446439588522
11	conventional	60	8	8	0.43031092124077885	1.865364597621862
12	holistic	22	2	3	0.3376359411489958	0.9981241533560639
12	conventional	60	5	5	0.5780006983981913	3.5092327132043293
13	holistic	23	1	0	0.3186772319183269	1.313629010093379
13	conventional	60	4	4	0.4780400767469448	2.5066857156071936
14	holistic	24	3	2	0.31147048422659324	1.2314979167340803
14	conventional	60	2	2	0.5013050323612931	1.822214017653098
15	holistic	21	0	3	0.34371247733782295	0.9821754604363588
15	conventional	60	8	8	0.5448313706056094	1.7227742242031305
16	holistic	19	2	4	0.3356618680338365	0.8606438195260069
16	conventional	60	4	4	0.5411722397227654	2.4083036894714738
17	holistic	20	1	0	0.2978582490236897	0.867313012796377
17	conventional	60	3	3	0.542468211204824	1.614191447159986
18	holistic	19	2	3	0.3791304425426885	0.9714214358709353
18	conventional	60	4	4	0.6001399751513858	2.6762510690724315
19	holistic	22	4	1	0.2941156409039161	0.8785275103201675
19	conventional	60	7	7	0.575854074741296	2.645139814970423
20	holistic	23	3	2	0.42447191524261113	2.8027056653733293
20	conventional	60	4	4	0.5584106816993034	2.600225629641988
21	holistic	28	6	1	0.38170694925375276	1.4695808428628983
21	conventional	60	4	4	0.6089091679105557	1.8374533294241082
22	holistic	33	6	1	0.3845485704544205	1.857970667754541
22	conventional	60	2	2	0.7323079696012698	2.2594520782292595
23	holistic	38	7	2	0.3947926033799281	1.9778672553832024
23	conventional	60	2	2	0.6715526191742354	1.9919436204615089
24	holistic	44	8	2	0.530913303933566	4.965780321439246
24	conventional	60	4	4	0.7606799699181322	2.6192055495888553
25	holistic	48	9	5	0.4222718977739645	2.464916024358201
25	conventional	60	3	3	0.731776864146198	1.7010289906236
26	holistic	54	8	2	0.36887334921692194	1.9767957884604104
26	conventional	60	4	4	0.6799753420012161	2.2264509814807076
27	holistic	59	8	3	0.38057584722997273	1.4770291768487824
27	conventional	60	3	3	0.7258795437044868	2.5471887989181976
28	holistic	60	5	4	0.4010160803009184	1.985168930180098
28	conventional	60	1	1	0.6818809746842823	2.0509253207880476
29	holistic	60	7	7	0.4910146891894403	2.9822063045791536
29	conventional	60	4	4	0.7154527106936602	2.0908675190844446
30	holistic	60	3	3	0.4608682563752179	1.5785430054457796
30	conventional	60	2	2	0.6906748661518098	2.4754387694427247
31	holistic	60	6	6	0.4554259312751136	1.479432457725551
31	conventional	60	3	3	0.6602959222862285	1.4770667211902122
32	holistic	60	3	3	0.5546040542626198	1.9648261650455336
32	conventional	60	1	1	0.6835472002025286	1.3218013779944688
33	holistic	60	5	5	0.5544760696620955	2.3550232869886356
33	conventional	60	3	3	0.689856604658267	1.9956683820407193
34	holistic	60	2	2	0.611179838057995	2.313533927024432
34	conventional	60	3	3	0.6813939478978879	1.9418271876277042
35	holistic	60	3	3	0.7216790554174934	2.9820866852645436
35	conventional	60	3	3	0.6902826801224567	2.1896208954426957
36	holistic	60	1	1	0.7363814157845933	2.9820811011965986
36	conventional	60	1	1	0.7591357483462488	2.2637228391704265
37	holistic	60	2	2	0.6969866723973897	2.649054181537191
37	conventional	60	2	2	0.8321302024499944	2.566808113718251
38	holistic	60	0	0	0.8073510148538023	2.982985320203608
38	conventional	60	2	2	0.8783300821736031	4.412358416171724
39	holistic	60	5	5	0.7958558969626037	2.965484072205866
39	conventional	60	0	0	0.8520827745094671	2.3892121547953113
40	holistic	60	1	1	0.8787585233705759	3.16561203141206
40	conventional	60	0	0	0.8140652708576347	2.061254842287437
41	holistic	60	0	0	0.877756157683529	4.441322313106318
41	conventional	60	1	1	0.795611683574922	2.2939248075411443
42	holistic	60	0	0	0.8746042713352362	2.957384906507934
42	conventional	60	0	0	0.7753876765603438	2.1228008200137722
43	holistic	60	2	2	0.8647622648438189	3.2083926422361313
43	conventional	60	1	1	0.7525985348437878	1.972329228858259
44	holistic	60	1	1	0.8847037027375605	3.0698411308620215
44	conventional	60	2	2	0.7691515999484666	1.949927110321931
45	holistic	60	0	0	0.8803386649469768	2.7628570177758194
45	conventional	60	0	0	0.7411355389915245	1.8246724535705026
46	holistic	60	0	0	0.878652194701355	2.5116881979780175
46	conventional	60	1	1	0.7606683218723478	1.9119790491624706
47	holistic	60	0	0	0.8569165322927259	2.302380848146516
47	conventional	60	0	0	0.7923955361022608	3.585568900483396
48	holistic	60	1	1	0.8406042953028353	2.283148282168398
48	conventional	60	1	1	0.7578061446744978	1.8345164078975318
49	holistic	60	0	0	0.8335801095886148	2.2704365537658386
49	conventional	60	0	0	0.7492436458332498	1.7790363302880667
50	holistic	60	1	1	0.8175807670706103	2.17583393360866
50	conventional	60	0	0	0.742024246339024	1.7693811847817529
51	holistic	60	0	0	0.8459653833883252	2.1231240411073817
51	conventional	60	0	0	0.7488988692735667	1.680257691742067
52	holistic	60	2	2	0.8731711125337672	2.041459181460822
52	conventional	60	1	1	0.7427797805486015	1.5980038607774483
53	holistic	60	0	0	0.8642341235113461	2.0826659441419846
53	conventional	60	0	0	0.7491989140429697	1.5965690446868015
