# distinct osc-linked bests by window (D <= 2, A >= 8, u 3..7), 16 replicate arms; orig = the RBT-90 original's fate
arm        orig committed |     all   to580   to500   early    late    even     odd | D<->A crossing among windows
   7-b1      D         8 |     8 A     7 u     7 u     7 u     1 D     5 u     7 u | YES
   7-b2      D        14 |    14 A    14 A    12 A    10 A     4 u     6 u    13 A | no
 805-b1      D         2 |     2 D     2 D     2 D     2 D     0 D     1 D     1 D | no
 805-b2      D        12 |    12 A    12 A    10 A     2 D    10 A    11 A     5 u | YES
   4-b1      A         4 |     4 u     4 u     3 u     2 D     2 D     1 D     3 u | no
   4-b2      A         6 |     6 u     6 u     5 u     4 u     2 D     3 u     4 u | no
 807-b1      A        15 |    15 A    15 A    13 A     5 u    10 A     8 A     7 u | no
 807-b2      A         9 |     9 A     9 A     9 A     6 u     3 u     4 u     7 u | no
 806-b1      A        35 |    35 A    35 A    32 A    16 A    20 A    22 A    21 A | no
 806-b2      A         8 |     8 A     8 A     8 A     7 u     1 D     5 u     4 u | YES
   2-b1      A         2 |     2 D     2 D     0 D     0 D     2 D     2 D     2 D | no
   2-b2      A         0 |     0 D     0 D     0 D     0 D     0 D     0 D     0 D | no
   1-b1      D         1 |     1 D     1 D     1 D     1 D     0 D     0 D     1 D | no
   1-b2      D         0 |     0 D     0 D     0 D     0 D     0 D     0 D     0 D | no
 804-b1      D         0 |     0 D     0 D     0 D     0 D     0 D     0 D     0 D | no
 804-b2      D         0 |     0 D     0 D     0 D     0 D     0 D     0 D     0 D | no

arms whose count crosses D<->A between windows of the same run: 3 of 16
