# RBT-106 no-selection baseline, seed 1, founders w = 1, K = 8: 30 planted founders x 20 lineages = 600; RBT-104 adversary persistence.py's lineage(), unchanged, depths 0-40
# depth	lineages	same	same_frac	same_hi95	pay32	pay32_frac	pay32_hi95	pay64	pay64_frac	pay64_hi95	owns_median	whole_median
0	600	600	1.0000	1.0000	600	1.0000	1.0000	600	1.0000	1.0000	49.2889	0.0004
1	600	547	0.9117	0.9289	467	0.7783	0.8049	437	0.7283	0.7571	42.1989	0.0001
2	600	488	0.8133	0.8381	361	0.6017	0.6340	324	0.5400	0.5732	30.2936	0.0001
3	600	448	0.7467	0.7747	272	0.4533	0.4869	237	0.3950	0.4282	6.4853	0.0001
4	600	405	0.6750	0.7056	218	0.3633	0.3962	180	0.3000	0.3316	1.2001	0.0000
5	600	368	0.6133	0.6455	187	0.3117	0.3436	144	0.2400	0.2698	0.1734	0.0000
6	600	328	0.5467	0.5798	142	0.2367	0.2664	104	0.1733	0.2002	0.0230	0.0000
7	600	305	0.5083	0.5418	122	0.2033	0.2317	85	0.1417	0.1667	0.0006	0.0000
8	600	286	0.4767	0.5102	100	0.1667	0.1932	71	0.1183	0.1418	0.0000	0.0000
9	600	257	0.4283	0.4618	85	0.1417	0.1667	52	0.0867	0.1075	0.0000	0.0000
10	600	215	0.3583	0.3911	69	0.1150	0.1382	40	0.0667	0.0854	0.0000	0.0000
11	600	200	0.3333	0.3657	61	0.1017	0.1238	37	0.0617	0.0799	0.0000	0.0000
12	600	174	0.2900	0.3214	55	0.0917	0.1129	33	0.0550	0.0724	0.0000	0.0000
13	600	159	0.2650	0.2956	46	0.0767	0.0965	24	0.0400	0.0554	0.0000	0.0000
14	600	144	0.2400	0.2698	36	0.0600	0.0780	21	0.0350	0.0496	0.0000	0.0000
15	600	133	0.2217	0.2508	38	0.0633	0.0817	21	0.0350	0.0496	0.0000	0.0000
16	600	116	0.1933	0.2212	29	0.0483	0.0649	17	0.0283	0.0418	0.0000	0.0000
17	600	104	0.1733	0.2002	26	0.0433	0.0592	15	0.0250	0.0378	0.0000	0.0000
18	600	91	0.1517	0.1773	20	0.0333	0.0476	13	0.0217	0.0338	0.0000	0.0000
19	600	85	0.1417	0.1667	14	0.0233	0.0358	11	0.0183	0.0297	0.0000	0.0000
20	600	76	0.1267	0.1507	11	0.0183	0.0297	8	0.0133	0.0235	0.0000	0.0000
21	600	66	0.1100	0.1328	7	0.0117	0.0214	5	0.0083	0.0170	0.0000	0.0000
22	600	62	0.1033	0.1256	8	0.0133	0.0235	7	0.0117	0.0214	0.0000	0.0000
23	600	54	0.0900	0.1111	6	0.0100	0.0192	5	0.0083	0.0170	0.0000	0.0000
24	600	55	0.0917	0.1129	7	0.0117	0.0214	5	0.0083	0.0170	0.0000	0.0000
25	600	55	0.0917	0.1129	11	0.0183	0.0297	9	0.0150	0.0256	0.0000	0.0000
26	600	55	0.0917	0.1129	13	0.0217	0.0338	8	0.0133	0.0235	0.0000	0.0000
27	600	49	0.0817	0.1020	10	0.0167	0.0277	6	0.0100	0.0192	0.0000	0.0000
28	600	40	0.0667	0.0854	9	0.0150	0.0256	5	0.0083	0.0170	0.0000	0.0000
29	600	34	0.0567	0.0743	7	0.0117	0.0214	5	0.0083	0.0170	0.0000	0.0000
30	600	35	0.0583	0.0761	7	0.0117	0.0214	6	0.0100	0.0192	0.0000	0.0000
31	600	34	0.0567	0.0743	7	0.0117	0.0214	4	0.0067	0.0148	0.0000	0.0000
32	600	31	0.0517	0.0686	7	0.0117	0.0214	5	0.0083	0.0170	0.0000	0.0000
33	600	30	0.0500	0.0668	7	0.0117	0.0214	5	0.0083	0.0170	0.0000	0.0000
34	600	30	0.0500	0.0668	5	0.0083	0.0170	3	0.0050	0.0124	0.0000	0.0000
35	600	29	0.0483	0.0649	6	0.0100	0.0192	4	0.0067	0.0148	0.0000	0.0000
36	600	29	0.0483	0.0649	5	0.0083	0.0170	4	0.0067	0.0148	0.0000	0.0000
37	600	30	0.0500	0.0668	5	0.0083	0.0170	3	0.0050	0.0124	0.0000	0.0000
38	600	26	0.0433	0.0592	3	0.0050	0.0124	1	0.0017	0.0074	0.0000	0.0000
39	600	24	0.0400	0.0554	2	0.0033	0.0100	1	0.0017	0.0074	0.0000	0.0000
40	600	20	0.0333	0.0476	2	0.0033	0.0100	1	0.0017	0.0074	0.0000	0.0000
