# RBT-106 no-selection baseline, seed 1, founders w = 32, K = 1: 30 planted founders x 20 lineages = 600; RBT-104 adversary persistence.py's lineage(), unchanged, depths 0-40
# depth	lineages	same	same_frac	same_hi95	pay32	pay32_frac	pay32_hi95	pay64	pay64_frac	pay64_hi95	owns_median	whole_median
0	600	600	1.0000	1.0000	600	1.0000	1.0000	380	0.6333	0.6650	26.0689	14.3830
1	600	552	0.9200	0.9364	419	0.6983	0.7282	228	0.3800	0.4131	22.4360	8.4919
2	600	492	0.8200	0.8443	299	0.4983	0.5318	146	0.2433	0.2733	12.1972	2.8018
3	600	443	0.7383	0.7667	212	0.3533	0.3860	104	0.1733	0.2002	0.0013	0.2555
4	600	398	0.6633	0.6943	150	0.2500	0.2802	66	0.1100	0.1328	0.0000	0.0083
5	600	368	0.6133	0.6455	110	0.1833	0.2107	50	0.0833	0.1038	0.0000	0.0003
6	600	331	0.5517	0.5848	73	0.1217	0.1453	32	0.0533	0.0705	0.0000	0.0000
7	600	300	0.5000	0.5335	57	0.0950	0.1165	22	0.0367	0.0515	0.0000	0.0000
8	600	269	0.4483	0.4819	46	0.0767	0.0965	19	0.0317	0.0457	0.0000	0.0000
9	600	247	0.4117	0.4450	26	0.0433	0.0592	12	0.0200	0.0318	0.0000	0.0000
10	600	218	0.3633	0.3962	25	0.0417	0.0573	8	0.0133	0.0235	0.0000	0.0000
11	600	198	0.3300	0.3623	16	0.0267	0.0398	8	0.0133	0.0235	0.0000	0.0000
12	600	176	0.2933	0.3248	15	0.0250	0.0378	9	0.0150	0.0256	0.0000	0.0000
13	600	165	0.2750	0.3059	12	0.0200	0.0318	8	0.0133	0.0235	0.0000	0.0000
14	600	145	0.2417	0.2715	8	0.0133	0.0235	5	0.0083	0.0170	0.0000	0.0000
15	600	129	0.2150	0.2438	5	0.0083	0.0170	4	0.0067	0.0148	0.0000	0.0000
16	600	117	0.1950	0.2230	4	0.0067	0.0148	3	0.0050	0.0124	0.0000	0.0000
17	600	115	0.1917	0.2195	4	0.0067	0.0148	2	0.0033	0.0100	0.0000	0.0000
18	600	112	0.1867	0.2142	3	0.0050	0.0124	3	0.0050	0.0124	0.0000	0.0000
19	600	106	0.1767	0.2037	4	0.0067	0.0148	2	0.0033	0.0100	0.0000	0.0000
20	600	103	0.1717	0.1984	4	0.0067	0.0148	2	0.0033	0.0100	0.0000	0.0000
21	600	91	0.1517	0.1773	3	0.0050	0.0124	1	0.0017	0.0074	0.0000	0.0000
22	600	82	0.1367	0.1614	3	0.0050	0.0124	1	0.0017	0.0074	0.0000	0.0000
23	600	72	0.1200	0.1435	1	0.0017	0.0074	1	0.0017	0.0074	0.0000	0.0000
24	600	64	0.1067	0.1292	1	0.0017	0.0074	0	0.0000	0.0045	0.0000	0.0000
25	600	67	0.1117	0.1346	1	0.0017	0.0074	0	0.0000	0.0045	0.0000	0.0000
26	600	61	0.1017	0.1238	2	0.0033	0.0100	0	0.0000	0.0045	0.0000	0.0000
27	600	52	0.0867	0.1075	1	0.0017	0.0074	0	0.0000	0.0045	0.0000	0.0000
28	600	57	0.0950	0.1165	1	0.0017	0.0074	0	0.0000	0.0045	0.0000	0.0000
29	600	46	0.0767	0.0965	2	0.0033	0.0100	0	0.0000	0.0045	0.0000	0.0001
30	600	41	0.0683	0.0873	1	0.0017	0.0074	0	0.0000	0.0045	0.0000	0.0000
31	600	34	0.0567	0.0743	1	0.0017	0.0074	0	0.0000	0.0045	0.0000	0.0001
32	600	29	0.0483	0.0649	1	0.0017	0.0074	0	0.0000	0.0045	0.0000	0.0001
33	600	27	0.0450	0.0611	3	0.0050	0.0124	1	0.0017	0.0074	0.0000	0.0001
34	600	25	0.0417	0.0573	3	0.0050	0.0124	2	0.0033	0.0100	0.0000	0.0001
35	600	26	0.0433	0.0592	3	0.0050	0.0124	1	0.0017	0.0074	0.0000	0.0001
36	600	23	0.0383	0.0534	1	0.0017	0.0074	1	0.0017	0.0074	0.0000	0.0001
37	600	23	0.0383	0.0534	1	0.0017	0.0074	0	0.0000	0.0045	0.0000	0.0001
38	600	23	0.0383	0.0534	1	0.0017	0.0074	1	0.0017	0.0074	0.0000	0.0001
39	600	26	0.0433	0.0592	0	0.0000	0.0045	0	0.0000	0.0045	0.0000	0.0001
40	600	25	0.0417	0.0573	1	0.0017	0.0074	1	0.0017	0.0074	0.0000	0.0002
