# RBT-106 null genealogy: seed 4, founders w = 1, K = 8, part 2's genealogy /tmp/claude-0/-home-user-rabbitstew/48987f56-4bef-50cc-9e49-8e83922016cb/scratchpad/p2/forage-4, 20 replicates
founder mapping: part 2's saved c0-i equals founder file i for 30 of 30 bare (odd) i
| rep | s300 k/n/B | s599 k/n/B | HELD at all |
|---|---|---|---|
| 0 | 0/50/8 | 1/52/3 | False |
| 1 | 3/50/8 | 0/52/3 | False |
| 2 | 10/50/8 H | 0/52/3 | False |
| 3 | 10/50/8 H | 0/52/3 | False |
| 4 | 2/50/8 | 1/52/3 | False |
| 5 | 5/50/8 | 1/52/3 | False |
| 6 | 26/50/8 H | 3/52/3 | False |
| 7 | 0/50/8 | 0/52/3 | False |
| 8 | 10/50/8 H | 2/52/3 | False |
| 9 | 0/50/8 | 0/52/3 | False |
| 10 | 3/50/8 | 0/52/3 | False |
| 11 | 1/50/8 | 4/52/3 H | False |
| 12 | 7/50/8 | 0/52/3 | False |
| 13 | 6/50/8 | 5/52/3 H | False |
| 14 | 13/50/8 H | 3/52/3 | False |
| 15 | 6/50/8 | 0/52/3 | False |
| 16 | 0/50/8 | 0/52/3 | False |
| 17 | 14/50/8 H | 0/52/3 | False |
| 18 | 1/50/8 | 1/52/3 | False |
| 19 | 0/50/8 | 0/52/3 | False |

HELD at season 300: 6/20, HELD at season 599: 2/20
NULL seed 4 w 1 K 8: HELD at every window season in 0 of 20 replicates
