season	population	alive	births	deaths	mean_lifetime_score	best_lifetime_score
0	holistic	60	0	0	0.06436014578131363	3.9984111582634214
0	conventional	60	2	2	-0.2519858482295382	4.226228788007079
1	holistic	60	1	1	0.07389932233516278	1.9987395737930111
1	conventional	60	2	2	-0.10802064131532661	4.268227256547368
2	holistic	60	2	2	0.07543581830710723	1.5493630406712924
2	conventional	54	16	22	0.33070507192498855	6.170489236759205
3	holistic	60	3	3	0.09182999412994458	1.1323420300653124
3	conventional	50	12	16	0.5550799683768453	4.228756010712693
4	holistic	60	1	1	0.10472297204903322	1.9030828894314005
4	conventional	48	9	11	0.6591649634389364	9.212978571805445
5	holistic	60	0	0	0.08044503296544099	1.5705579615169383
5	conventional	51	13	10	0.6583273432919204	4.207557056731427
6	holistic	60	2	2	0.07647311115087069	1.3319469951693126
6	conventional	60	22	13	0.9571116899351862	4.655615267061274
7	holistic	56	3	7	0.0624489967544165	1.1525222378230409
7	conventional	60	21	21	1.039393702690331	6.244712554931794
8	holistic	56	2	2	0.08732870674579477	1.0129906947423937
8	conventional	55	18	23	0.9205949908531961	5.248871498039877
9	holistic	55	3	4	0.11519679009656171	1.9041788684250256
9	conventional	60	20	15	1.2973673119307803	7.309358266329053
10	holistic	50	1	6	0.132476017448845	1.8032949898416026
10	conventional	60	12	12	1.474983291958089	11.062439275564369
11	holistic	21	3	32	0.25008383546692603	0.901286293132956
11	conventional	60	15	15	1.1759274044808727	5.40418058565021
12	holistic	19	2	4	0.21864784479203506	0.824201697993005
12	conventional	60	17	17	1.5459740701693645	14.110837200935167
13	holistic	19	2	2	0.24145023648045214	0.8938698624293986
13	conventional	60	14	14	1.3004249617441426	9.118209108550086
14	holistic	20	2	1	0.3005251867532477	1.8226126980383157
14	conventional	60	16	16	1.3414293940686435	12.251471926525447
15	holistic	20	3	3	0.7953440625330156	9.894752356470741
15	conventional	60	21	21	1.0574321063468992	5.737936067089712
16	holistic	22	6	4	0.7096684600398849	4.936803430729762
16	conventional	60	19	19	1.451910907515421	11.24891079527675
17	holistic	30	9	1	0.6586438172187904	6.9325078870692645
17	conventional	60	16	16	1.6077159426086554	12.186212503791394
18	holistic	38	8	0	0.4460175109553725	5.178929216368827
18	conventional	60	18	18	1.400150110835835	10.548724702601051
19	holistic	47	13	4	0.5849090710715881	4.113327826095319
19	conventional	60	14	14	1.8669233574750832	8.199241835866792
