season	population	alive	births	deaths	mean_lifetime_score	best_lifetime_score
0	holistic	60	0	0	-0.001683186839727777	0.9984111582634212
0	conventional	60	2	2	-0.45623005927156296	2.123413641004962
1	holistic	60	1	1	0.006639487763802376	0.49861128945603744
1	conventional	60	2	2	-0.27468899283730963	1.6261879532164918
2	holistic	60	2	2	0.007100992500233525	0.6202386452186888
2	conventional	53	10	17	0.10044013061710333	1.222037267819085
3	holistic	60	3	3	0.05411944624449115	0.9987735523779576
3	conventional	58	11	6	0.34624379541525985	3.0748861641636522
4	holistic	60	1	1	0.058997248241844255	0.8941839536904487
4	conventional	54	7	11	0.17243074066872843	1.1789189324097067
5	holistic	60	0	0	0.048292873282865245	0.8258959137475919
5	conventional	56	9	7	0.35041842484038377	4.065533280287088
6	holistic	60	2	2	0.048758554670955044	0.6678536172857987
6	conventional	57	10	9	0.3955195482630082	1.5643649916871736
7	holistic	56	1	5	0.05667766460263974	1.0214244709647027
7	conventional	60	11	8	0.4652248935430182	2.271163922064515
8	holistic	56	2	2	0.055300684575649815	0.9922928181565502
8	conventional	55	11	16	0.425086253261148	1.775450101375304
9	holistic	53	1	4	0.04305486926972136	0.8391951010514692
9	conventional	47	7	15	0.4576960754042739	2.2165199163350238
10	holistic	46	0	7	0.06132168418663322	0.7315729516309015
10	conventional	44	9	12	0.5796209077323707	3.1976558325267406
11	holistic	16	2	32	0.2553640448929825	0.8505972867293533
11	conventional	47	11	8	0.6439727610870393	5.1336158477146405
12	holistic	20	4	0	0.36933258272533487	2.990357707878943
12	conventional	39	6	14	0.5668225827369429	3.143960004963397
13	holistic	21	2	1	0.2872881316048475	1.4904674390839598
13	conventional	43	10	6	0.5582396048116406	3.159749530726432
14	holistic	22	2	1	0.23316966834038758	0.9906350553952682
14	conventional	47	10	6	0.48768779700354015	2.40745778240307
15	holistic	18	0	4	0.2805839281484431	0.7408050541752111
15	conventional	45	9	11	0.5194184241089628	2.164373811208554
16	holistic	17	3	4	0.30089022003216537	0.7880134582906125
16	conventional	52	12	5	0.5601904329631713	3.167725276551741
17	holistic	16	2	3	0.2806186038284101	0.7304055937545532
17	conventional	54	10	8	0.47879196093389303	2.30582807771498
18	holistic	16	2	2	0.3394083123680547	0.8200476189260373
18	conventional	60	14	8	0.5278033234322866	3.143365358734746
19	holistic	18	3	1	0.43435442253353107	2.3235230678303336
19	conventional	60	10	10	0.5205090420467241	2.087214247019851
