RBT-107 design adversary: power of the directional (one-sided) tests the coordinator asked for, on the design's own
measured null, with its heavy tail kept, and the n each needs.
null rows (seed: A_NB co-evolved, designed) from design_power.txt: 1: +0.380 +0.027, 2: +0.006 +0.225, 3: +1.153 -0.374, 4: +0.125 +0.045, 7: -0.019 -0.108, 801: -0.034 +0.055, 804: -0.082 -0.134, 805: +0.031 +0.198, 806: +0.066 +0.081, 807: +0.000 -0.049
RMS co-evolved 0.388 (no seed 3: 0.139); designed 0.166; paired co - des 0.506 (no seed 3: 0.159); corr(co, des) across seeds -0.66
smoothing bandwidth (co-evolved, designed): 0.036, 0.074; no seed 3: 0.029, 0.064

== DES  null EMPIRICAL  d~240 as measured
   delta  n        t   wilcox   yuen20     sign   2s-int   (power; delta 0 row = size)
   +0.00  10    0.051    0.042    0.057    0.010    0.025
   +0.00  15    0.049    0.046    0.053    0.019    0.026
   +0.00  20    0.049    0.049    0.054    0.020    0.024
   +0.00  30    0.047    0.047    0.055    0.048    0.024
   +0.00  40    0.047    0.045    0.047    0.036    0.023
   +0.10  10    0.497    0.460    0.480    0.192    0.351
   +0.10  15    0.643    0.628    0.625    0.374    0.504
   +0.10  20    0.766    0.762    0.755    0.516    0.655
   +0.10  30    0.901    0.896    0.898    0.829    0.830
   +0.10  40    0.962    0.960    0.956    0.886    0.926
   +0.15  10    0.782    0.741    0.743    0.405    0.650
   +0.15  15    0.919    0.906    0.898    0.694    0.847
   +0.15  20    0.971    0.967    0.964    0.841    0.936
   +0.15  30    0.998    0.997    0.996    0.983    0.994
   +0.15  40    1.000    1.000    1.000    0.997    1.000
   +0.22  10    0.968    0.954    0.937    0.707    0.921
   +0.22  15    0.997    0.996    0.991    0.928    0.989
   +0.22  20    1.000    1.000    0.999    0.985    0.999
   +0.22  30    1.000    1.000    1.000    1.000    1.000
   +0.22  40    1.000    1.000    1.000    1.000    1.000
   +0.30  10    0.999    0.998    0.992    0.898    0.996
   +0.30  15    1.000    1.000    1.000    0.991    1.000
   +0.30  20    1.000    1.000    1.000    0.999    1.000
   +0.30  30    1.000    1.000    1.000    1.000    1.000
   +0.30  40    1.000    1.000    1.000    1.000    1.000

== DES  null GAUSS  d~240 as measured
   delta  n        t   wilcox   yuen20     sign   2s-int   (power; delta 0 row = size)
   +0.00  10    0.048    0.041    0.059    0.011    0.025
   +0.00  15    0.049    0.044    0.056    0.015    0.024
   +0.00  20    0.053    0.052    0.054    0.019    0.024
   +0.00  30    0.045    0.043    0.045    0.043    0.019
   +0.00  40    0.047    0.047    0.049    0.038    0.023
   +0.10  10    0.552    0.500    0.497    0.204    0.412
   +0.10  15    0.717    0.688    0.651    0.378    0.586
   +0.10  20    0.836    0.817    0.770    0.527    0.735
   +0.10  30    0.939    0.925    0.905    0.823    0.886
   +0.10  40    0.983    0.978    0.967    0.899    0.964
   +0.15  10    0.839    0.799    0.760    0.438    0.720
   +0.15  15    0.952    0.940    0.913    0.703    0.900
   +0.15  20    0.987    0.981    0.968    0.860    0.967
   +0.15  30    0.999    0.998    0.996    0.985    0.997
   +0.15  40    1.000    1.000    1.000    0.997    1.000
   +0.22  10    0.985    0.978    0.963    0.775    0.963
   +0.22  15    1.000    0.999    0.997    0.957    0.997
   +0.22  20    1.000    1.000    1.000    0.991    1.000
   +0.22  30    1.000    1.000    1.000    1.000    1.000
   +0.22  40    1.000    1.000    1.000    1.000    1.000
   +0.30  10    1.000    1.000    0.998    0.956    0.999
   +0.30  15    1.000    1.000    1.000    0.998    1.000
   +0.30  20    1.000    1.000    1.000    1.000    1.000
   +0.30  30    1.000    1.000    1.000    1.000    1.000
   +0.30  40    1.000    1.000    1.000    1.000    1.000

== PAIRED  null EMPIRICAL  d~240 as measured
   delta  n        t   wilcox   yuen20     sign   2s-int   (power; delta 0 row = size)
   +0.00  10    0.035    0.043    0.055    0.012    0.012
   +0.00  15    0.035    0.046    0.051    0.016    0.010
   +0.00  20    0.043    0.048    0.049    0.018    0.014
   +0.00  30    0.049    0.042    0.044    0.044    0.018
   +0.00  40    0.054    0.047    0.049    0.042    0.023
   +0.15  10    0.415    0.527    0.636    0.325    0.281
   +0.15  15    0.432    0.730    0.810    0.586    0.348
   +0.15  20    0.411    0.835    0.899    0.750    0.341
   +0.15  30    0.505    0.938    0.975    0.955    0.385
   +0.15  40    0.604    0.980    0.992    0.981    0.484
   +0.20  10    0.541    0.689    0.808    0.498    0.427
   +0.20  15    0.494    0.859    0.930    0.792    0.443
   +0.20  20    0.558    0.924    0.972    0.907    0.431
   +0.20  30    0.687    0.985    0.997    0.994    0.579
   +0.20  40    0.787    0.996    0.999    0.999    0.681
   +0.27  10    0.600    0.798    0.928    0.692    0.554
   +0.27  15    0.623    0.924    0.981    0.921    0.506
   +0.27  20    0.747    0.970    0.996    0.981    0.643
   +0.27  30    0.873    0.995    1.000    1.000    0.794
   +0.27  40    0.938    1.000    1.000    1.000    0.892
   +0.35  10    0.624    0.856    0.968    0.813    0.600
   +0.35  15    0.810    0.953    0.992    0.970    0.704
   +0.35  20    0.887    0.984    0.997    0.997    0.806
   +0.35  30    0.962    0.997    1.000    1.000    0.929
   +0.35  40    0.989    0.999    1.000    1.000    0.980

== PAIRED  null EMP-NO3  d~240 as measured
   delta  n        t   wilcox   yuen20     sign   2s-int   (power; delta 0 row = size)
   +0.00  10    0.047    0.041    0.054    0.010    0.022
   +0.00  15    0.048    0.043    0.050    0.015    0.023
   +0.00  20    0.051    0.047    0.057    0.019    0.025
   +0.00  30    0.048    0.044    0.049    0.046    0.023
   +0.00  40    0.048    0.043    0.048    0.040    0.024
   +0.15  10    0.802    0.767    0.777    0.449    0.683
   +0.15  15    0.932    0.921    0.916    0.733    0.870
   +0.15  20    0.979    0.976    0.973    0.874    0.955
   +0.15  30    0.999    0.997    0.997    0.991    0.994
   +0.15  40    1.000    1.000    1.000    0.999    1.000
   +0.20  10    0.953    0.932    0.920    0.660    0.887
   +0.20  15    0.993    0.991    0.984    0.908    0.981
