season  pop           alive  births  deaths  best/mean lifetime  mean age  max age
     0  holistic         59       3       4  1.973/0.041           28.5       57
     0  conventional     60       2       2  4.422/0.050           24.6       58
     1  holistic         60       1       0  1.465/0.040           29.0       58
     1  conventional     60       0       0  4.585/0.106           25.6       59
     2  holistic         60       0       0  0.966/0.028           30.0       59
     2  conventional     60       9       9  2.912/0.142           22.2       59
     3  holistic         59       1       2  0.716/0.029           30.4       59
     3  conventional     60      14      14  3.684/0.360           17.6       59
     4  holistic         56       1       4  0.766/0.023           31.8       59
     4  conventional     60       6       6  3.341/0.469           14.2       59
     5  holistic         54       1       3  0.632/0.029           32.1       59
     5  conventional     60       5       5  6.518/0.587           13.7       56
     6  holistic         51       0       3  0.537/0.034           32.2       58
     6  conventional     60       6       6  3.434/0.576           13.1       57
     7  holistic         51       0       0  0.466/0.031           33.2       59
     7  conventional     60       5       5  2.506/0.670           12.8       58
     8  holistic         48       0       3  0.521/0.026           32.7       59
     8  conventional     60       8       8  2.916/0.674           12.5       59
     9  holistic         46       0       2  0.466/0.027           33.7       59
     9  conventional     60       8       8  4.672/0.794           11.9       52
    10  holistic         43       1       4  0.798/0.045           33.3       59
    10  conventional     60       0       0  3.174/0.806           12.9       53
    11  holistic          8       1      36  0.679/0.238           17.8       38
    11  conventional     60       7       7  3.025/0.720           13.5       54
    12  holistic          9       1       0  0.982/0.323           16.7       39
    12  conventional     60       1       1  5.512/0.913           14.5       55
    13  holistic         10       1       0  0.982/0.302           15.9       40
    13  conventional     60       4       4  2.996/0.820           15.0       56
    14  holistic         12       2       0  1.466/0.404           14.1       41
    14  conventional     60       1       1  2.926/0.835           15.9       57
    15  holistic         12       2       2  2.967/0.559            9.3       42
    15  conventional     60       3       3  2.648/0.782           16.8       58
    16  holistic         14       2       0  1.967/0.393            8.9       43
    16  conventional     60       3       3  2.431/0.791           17.2       59
    17  holistic         19       5       0  1.633/0.330            7.3       44
    17  conventional     60       5       5  2.249/0.690           15.7       56
    18  holistic         20       2       1  1.967/0.408            7.7       45
    18  conventional     60       2       2  2.099/0.689           16.2       57
    19  holistic         20       4       4  2.467/0.514            6.3       46
    19  conventional     60       2       2  1.896/0.734           17.1       58
    20  holistic         28       9       1  4.970/0.915            5.0       47
    20  conventional     60       1       1  2.422/0.810           17.5       59
    21  holistic         40      14       2  3.970/0.861            4.0       48
    21  conventional     60       2       2  2.385/0.791           16.5       53
    22  holistic         59      20       1  3.465/0.631            3.3       49
    22  conventional     60       3       3  1.744/0.728           17.0       54
    23  holistic         60       1       0  3.978/0.894            4.2       50
    23  conventional     60       1       1  5.431/0.844           17.8       55
    24  holistic         60       2       2  3.479/0.834            5.1       51
    24  conventional     60       1       1  2.426/0.773           18.4       56
    25  holistic         60       4       4  2.646/0.735            5.8       52
    25  conventional     60       2       2  1.760/0.703           19.1       57
    26  holistic         60       8       8  2.383/0.770            6.3       53
    26  conventional     60       3       3  1.583/0.712           19.6       58
    27  holistic         60       1       1  2.818/0.831            7.2       54
    27  conventional     60       2       2  1.517/0.768           20.5       59
    28  holistic         60       0       0  3.127/0.931            8.2       55
    28  conventional     60       5       5  1.933/0.786           20.2       55
    29  holistic         60       3       3  2.984/0.982            9.0       56
    29  conventional     60       0       0  1.720/0.815           21.2       56
    30  holistic         60       4       4  2.873/1.008            9.8       57
    30  conventional     60       0       0  1.537/0.838           22.2       57
    31  holistic         60       0       0  3.084/1.029           10.8       58
    31  conventional     60       2       2  1.595/0.849           23.1       58
    32  holistic         60       2       2  2.802/1.038           11.3       59
    32  conventional     60       0       0  1.534/0.840           24.1       59
    33  holistic         60       2       2  2.945/1.165           11.3       30
    33  conventional     60       4       4  1.520/0.818           23.9       58
    34  holistic         60       2       2  3.215/1.184           11.9       31
    34  conventional     60       1       1  2.308/0.830           24.1       59
    35  holistic         60       0       0  3.055/1.181           12.9       32
    35  conventional     60       3       3  1.626/0.816           24.1       54
    36  holistic         60       0       0  2.917/1.153           13.9       33
    36  conventional     60       1       1  1.528/0.789           25.1       55
    37  holistic         60       1       1  2.734/1.188           14.8       34
    37  conventional     60       1       1  1.616/0.823           26.0       56
    38  holistic         60       0       0  3.794/1.288           15.8       35
    38  conventional     60       1       1  2.704/0.908           27.0       57
    39  holistic         60       0       0  2.848/1.257           16.9       36
    39  conventional     60       0       0  1.841/0.849           28.0       58
    40  holistic         60       0       0  2.799/1.231           17.9       37
    40  conventional     60       0       0  1.748/0.861           29.0       59
    41  holistic         60       0       0  2.934/1.204           18.9       38
    41  conventional     60       1       1  1.717/0.837           29.0       59
    42  holistic         60       0       0  2.865/1.192           19.9       39
    42  conventional     60       1       1  1.678/0.804           29.0       59
    43  holistic         60       0       0  2.984/1.170           20.9       40
    43  conventional     60       3       3  1.613/0.806           28.9       59
    44  holistic         60       1       1  2.854/1.167           21.7       41
    44  conventional     60       1       1  1.578/0.760           28.9       52
    45  holistic         60       0       0  2.859/1.164           22.7       42
    45  conventional     60       0       0  1.572/0.747           29.9       53
    46  holistic         60       0       0  2.944/1.137           23.7       43
    46  conventional     60       3       3  1.566/0.749           30.7       54
    47  holistic         60       0       0  2.984/1.147           24.7       44
    47  conventional     60       2       2  1.584/0.748           31.6       55
    48  holistic         60       0       0  2.910/1.164           25.7       45
    48  conventional     60       1       1  4.367/0.836           32.6       56
    49  holistic         60       0       0  2.878/1.157           26.7       46
    49  conventional     60       1       1  2.367/0.800           33.6       57
    50  holistic         60       0       0  2.881/1.152           27.7       47
    50  conventional     60       2       2  1.543/0.778           34.3       58
    51  holistic         60       0       0  2.951/1.149           28.7       48
    51  conventional     60       0       0  1.489/0.730           35.3       59
    52  holistic         60       1       1  3.049/1.172           29.6       49
    52  conventional     60       3       3  1.524/0.768           35.2       56
    53  holistic         60       0       0  3.047/1.167           30.6       50
    53  conventional     60       0       0  1.438/0.734           36.2       57
    54  holistic         60       0       0  3.197/1.202           31.6       51
    54  conventional     60       1       1  1.547/0.780           37.2       58
    55  holistic         60       0       0  3.190/1.213           32.5       52
    55  conventional     60       1       1  1.628/0.777           38.1       59
    56  holistic         60       0       0  3.127/1.214           33.5       53
    56  conventional     60       2       2  1.666/0.825           38.1       57
    57  holistic         60       0       0  3.151/1.201           34.5       54
    57  conventional     60       0       0  3.286/0.904           39.1       58
    58  holistic         60       0       0  3.093/1.208           35.5       55
    58  conventional     60       0       0  2.247/0.875           40.1       59
    59  holistic         60       0       0  3.037/1.207           36.5       56
    59  conventional     60       1       1  2.353/0.918           40.1       59
    60  holistic         60       0       0  3.036/1.207           37.5       57
    60  conventional     60       1       1  1.972/0.876           40.1       58
    61  holistic         60       0       0  3.109/1.196           38.5       58
    61  conventional     60       0       0  2.080/0.857           41.1       59
    62  holistic         60       0       0  3.082/1.179           39.5       59
    62  conventional     60       5       5  2.111/0.783           38.1       59
    63  holistic         60       1       1  3.080/1.173           39.5       59
    63  conventional     60       9       9  1.957/0.672           31.0       59
    64  holistic         60       1       1  3.054/1.159           39.5       54
    64  conventional     60       3       3  3.390/0.842           30.9       59
    65  holistic         60       0       0  3.075/1.160           40.5       55
    65  conventional     60       4       4  2.914/0.785           29.9       59
    66  holistic         60       0       0  3.073/1.148           41.5       56
    66  conventional     60       6       6  3.260/0.807           28.6       59
    67  holistic         60       1       1  3.093/1.137           42.5       57
    67  conventional     60       5       5  3.342/0.859           27.4       59
    68  holistic         60       2       2  3.069/1.125           43.1       58
    68  conventional     60       7       7  2.217/0.822           25.3       59
    69  holistic         60       0       0  3.005/1.112           44.1       59
    69  conventional     60       4       4  2.916/0.894           24.2       58
    70  holistic         60       1       1  2.943/1.086           44.1       59
    70  conventional     60       2       2  2.591/0.910           25.1       59
    71  holistic         60       2       2  2.924/1.098           44.1       57
    71  conventional     60       6       6  2.601/0.814           23.1       58
    72  holistic         60       1       1  2.945/1.164           45.0       58
    72  conventional     60       2       2  3.408/0.902           23.9       59
    73  holistic         60       0       0  5.811/1.260           46.0       59
    73  conventional     60       4       4  1.730/0.800           23.7       58
    74  holistic         60       1       1  4.307/1.223           46.0       58
    74  conventional     60       0       0  2.446/0.904           24.7       59
    75  holistic         60       0       0  3.459/1.218           47.0       59
    75  conventional     60       3       3  1.710/0.871           23.7       59
    76  holistic         60       1       1  2.948/1.150           47.0       59
    76  conventional     60       2       2  2.050/0.752           22.7       59
    77  holistic         60       3       3  3.020/1.099           45.0       59
    77  conventional     60       4       4  3.594/0.791           20.7       59
    78  holistic         60       1       1  2.966/1.073           45.0       59
    78  conventional     60       4       4  2.011/0.712           19.5       59
    79  holistic         60       4       4  2.967/0.983           42.0       59
    79  conventional     60       3       3  1.943/0.744           19.4       58
    80  holistic         60       8       8  2.978/0.957           36.0       59
    80  conventional     60       1       1  2.298/0.755           20.4       59
    81  holistic         60      10      10  5.777/1.118           28.9       59
    81  conventional     60       3       3  2.795/0.756           20.3       59
    82  holistic         60      13      13  4.299/0.768           16.9       58
    82  conventional     60       4       4  2.471/0.767           19.1       56
    83  holistic         60       1       1  3.966/1.195           17.8       59
    83  conventional     60       0       0  2.612/0.890           20.1       57
    84  holistic         60       5       5  3.366/1.034           16.6       59
    84  conventional     60       2       2  2.351/0.843           20.8       58
    85  holistic         60       3       3  3.300/1.186           16.4       59
    85  conventional     60       0       0  2.181/0.905           21.8       59
    86  holistic         60       3       3  2.966/1.105           15.4       59
    86  conventional     60       2       2  1.777/0.855           21.8       59
    87  holistic         60       1       1  2.960/1.167           15.4       58
    87  conventional     60       1       1  1.853/0.866           21.8       59
    88  holistic         60       2       2  2.626/1.175           16.1       59
    88  conventional     60       2       2  1.575/0.854           20.8       57
    89  holistic         60       4       4  2.674/1.160           14.8       59
    89  conventional     60       1       1  2.281/0.925           21.4       58
    90  holistic         60       4       4  2.959/1.158           11.8       58
    90  conventional     60       1       1  1.800/0.887           22.3       59
    91  holistic         60       0       0  2.737/1.244           12.8       59
    91  conventional     60       1       1  1.669/0.864           22.3       58
    92  holistic         60       2       2  4.455/1.220           11.8       59
    92  conventional     60       0       0  1.768/0.868           23.3       59
    93  holistic         60       3       3  3.755/1.207           11.8       59
    93  conventional     60       2       2  1.694/0.867           22.3       58
    94  holistic         60       2       2  3.289/1.143           11.7       57
    94  conventional     60       0       0  6.210/0.945           23.3       59
    95  holistic         60       0       0  3.098/1.214           12.7       58
    95  conventional     60       1       1  5.208/0.907           23.3       58
    96  holistic         60       1       1  3.330/1.161           13.6       59
    96  conventional     60       2       2  3.214/0.862           24.1       59
    97  holistic         60       3       3  3.177/1.123           13.2       29
    97  conventional     60       2       2  2.712/0.859           23.6       55
    98  holistic         60       0       0  3.788/1.299           14.2       30
    98  conventional     60       1       1  2.410/0.844           24.6       56
    99  holistic         60       0       0  2.864/1.269           15.2       31
    99  conventional     60       2       2  2.288/0.912           25.5       57
   100  holistic         60       1       1  2.705/1.206           16.1       32
   100  conventional     60       0       0  1.904/0.844           26.5       58
   101  holistic         60       0       0  2.725/1.196           17.1       33
   101  conventional     60       1       1  1.946/0.882           27.2       59
   102  holistic         60       1       1  2.670/1.169           18.1       34
   102  conventional     60       1       1  1.788/0.886           27.2       56
   103  holistic         60       0       0  2.689/1.198           19.1       35
   103  conventional     60       0       0  2.467/0.894           28.2       57
   104  holistic         60       0       0  2.768/1.186           20.1       36
   104  conventional     60       0       0  1.891/0.862           29.2       58
   105  holistic         60       0       0  2.838/1.198           21.1       37
   105  conventional     60       0       0  2.726/0.870           30.2       59
   106  holistic         60       0       0  2.955/1.202           22.1       38
   106  conventional     60       3       3  1.923/0.841           29.9       59
   107  holistic         60       0       0  3.166/1.184           23.1       39
   107  conventional     60       2       2  2.312/0.848           29.8       58
   108  holistic         60       0       0  3.105/1.161           24.1       40
   108  conventional     60       0       0  1.568/0.785           30.8       59
   109  holistic         60       0       0  3.051/1.141           25.1       41
   109  conventional     60       3       3  1.512/0.789           30.7       57
   110  holistic         60       0       0  2.910/1.158           26.1       42
   110  conventional     60       0       0  1.458/0.772           31.7       58
   111  holistic         60       0       0  2.825/1.160           27.1       43
   111  conventional     60       1       1  1.519/0.806           32.6       59
   112  holistic         60       0       0  2.705/1.146           28.1       44
   112  conventional     60       2       2  1.553/0.772           32.6       58
   113  holistic         60       0       0  2.635/1.147           29.1       45
   113  conventional     60       1       1  1.527/0.781           33.1       59
   114  holistic         60       0       0  2.532/1.138           30.1       46
   114  conventional     60       2       2  2.476/0.788           32.7       58
   115  holistic         60       0       0  2.437/1.108           31.1       47
   115  conventional     60       2       2  3.998/0.805           33.5       59
   116  holistic         60       0       0  2.420/1.115           32.1       48
   116  conventional     60       2       2  2.532/0.814           33.4       54
   117  holistic         60       0       0  2.369/1.102           33.1       49
   117  conventional     60       2       2  1.759/0.798           33.6       55
   118  holistic         60       1       1  2.322/1.105           33.7       50
   118  conventional     60       2       2  1.997/0.772           34.5       56
   119  holistic         60       0       0  2.278/1.103           34.7       51
   119  conventional     60       1       1  2.483/0.830           35.5       57
   120  holistic         60       0       0  2.299/1.095           35.7       52
   120  conventional     60       2       2  2.333/0.854           36.3       58
   121  holistic         60       0       0  2.289/1.095           36.7       53
   121  conventional     60       1       1  1.669/0.808           37.1       59
   122  holistic         60       1       1  2.308/1.094           37.6       54
   122  conventional     60       2       2  1.813/0.786           36.1       59
   123  holistic         60       0       0  2.298/1.119           38.6       55
   123  conventional     60       5       5  3.356/0.803           32.1       58
   124  holistic         60       0       0  2.261/1.108           39.6       56
   124  conventional     60       1       1  2.039/0.817           33.0       59
   125  holistic         60       0       0  2.252/1.118           40.6       57
   125  conventional     60       2       2  2.122/0.864           33.0       59
   126  holistic         60       0       0  2.245/1.119           41.6       58
   126  conventional     60       3       3  2.663/0.814           31.0       59
   127  holistic         60       0       0  2.186/1.129           42.6       59
   127  conventional     60       3       3  2.258/0.825           29.9       59
   128  holistic         60       1       1  2.255/1.126           42.6       58
   128  conventional     60       3       3  2.168/0.847           28.9       59
   129  holistic         60       0       0  2.248/1.163           43.6       59
   129  conventional     60       3       3  2.380/0.878           26.9       58
   130  holistic         60       1       1  2.217/1.135           43.6       59
   130  conventional     60       0       0  3.371/0.935           27.9       59
   131  holistic         60       3       3  2.188/1.131           42.5       59
   131  conventional     60       4       4  2.349/0.836           24.9       59
   132  holistic         60       1       1  3.867/1.168           42.5       58
   132  conventional     60       6       6  3.657/0.747           23.6       59
   133  holistic         60       0       0  2.376/1.136           43.5       59
   133  conventional     60       3       3  2.579/0.797           23.6       58
   134  holistic         60       2       2  2.194/1.115           43.5       57
   134  conventional     60       2       2  2.604/0.862           24.4       59
   135  holistic         60       1       1  2.965/1.173           44.4       58
   135  conventional     60       3       3  2.671/0.845           24.1       59
   136  holistic         60       1       1  2.143/1.153           45.4       59
   136  conventional     60       3       3  2.872/0.869           24.0       59
   137  holistic         60       1       1  2.298/1.199           45.4       58
   137  conventional     60       3       3  2.819/0.906           23.9       59
   138  holistic         60       0       0  2.949/1.245           46.4       59
   138  conventional     60       2       2  2.989/0.930           23.9       59
   139  holistic         60       3       3  3.149/1.167           44.4       59
   139  conventional     60       3       3  2.691/0.903           22.8       59
   140  holistic         60       4       4  3.616/1.096           41.4       59
   140  conventional     60       2       2  2.492/0.877           22.7       59
   141  holistic         60       6       6  3.234/0.970           36.4       59
   141  conventional     60       4       4  2.269/0.820           21.6       59
   142  holistic         60      12      12  2.948/0.826           25.4       59
   142  conventional     60       6       6  2.193/0.815           19.4       58
   143  holistic         60       2       2  5.951/0.929           25.3       59
   143  conventional     60       0       0  2.629/0.834           20.4       59
   144  holistic         60       8       8  2.951/0.734           21.0       59
   144  conventional     60       3       3  2.137/0.797           20.4       58
   145  holistic         60       5       5  3.970/0.964           19.9       59
   145  conventional     60       0       0  2.135/0.859           21.4       59
   146  holistic         60       7       7  3.955/0.998           17.6       59
   146  conventional     60       4       4  1.960/0.793           21.0       59
   147  holistic         60       1       1  2.487/1.073           17.6       59
   147  conventional     60       2       2  1.903/0.731           20.9       59
   148  holistic         60       2       2  2.465/0.975           17.6       59
   148  conventional     60       6       6  1.689/0.751           20.7       59
   149  holistic         60       4       4  2.415/0.986           15.4       59
   149  conventional     60       2       2  2.478/0.897           20.6       56
   150  holistic         60       5       5  2.592/1.020           13.2       57
   150  conventional     60       1       1  1.796/0.803           21.6       57
   151  holistic         60       0       0  2.420/1.007           14.2       58
   151  conventional     60       3       3  1.828/0.781           22.4       58
   152  holistic         60       1       1  2.338/0.985           15.2       59
   152  conventional     60       0       0  1.912/0.829           23.4       59
   153  holistic         60       2       2  2.265/0.925           14.2       59
   153  conventional     60       3       3  1.824/0.805           22.3       56
   154  holistic         60       2       2  2.247/0.897           14.0       58
   154  conventional     60       4       4  1.755/0.770           22.7       57
   155  holistic         60       0       0  2.951/1.011           15.0       59
   155  conventional     60       1       1  4.268/0.884           23.6       58
   156  holistic         60       1       1  2.517/1.070           15.0       59
   156  conventional     60       0       0  2.614/0.932           24.6       59
   157  holistic         60       4       4  2.702/1.045           12.8       55
   157  conventional     60       1       1  2.059/0.898           24.6       59
   158  holistic         60       2       2  3.794/1.156           13.6       56
   158  conventional     60       1       1  1.869/0.842           24.6       57
   159  holistic         60       1       1  3.294/1.156           14.4       57
   159  conventional     60       1       1  1.776/0.834           25.6       58
   160  holistic         60       0       0  2.653/1.085           15.4       58
   160  conventional     60       1       1  5.393/0.937           26.4       59
   161  holistic         60       1       1  2.604/1.083           16.3       59
   161  conventional     60       1       1  3.892/0.918           26.4       59
   162  holistic         60       2       2  2.627/1.114           16.3       40
   162  conventional     60       1       1  2.392/0.907           26.4       56
   163  holistic         60       0       0  2.466/1.087           17.3       41
   163  conventional     60       1       1  2.914/0.904           27.3       57
   164  holistic         60       1       1  2.449/1.088           18.1       42
   164  conventional     60       1       1  2.404/0.912           28.2       58
   165  holistic         60       0       0  2.433/1.157           19.1       43
   165  conventional     60       1       1  2.897/0.926           29.2       59
   166  holistic         60       3       3  2.451/1.195           19.6       44
   166  conventional     60       4       4  2.199/0.933           29.1       57
   167  holistic         60       0       0  2.972/1.250           20.6       45
   167  conventional     60       0       0  1.900/0.921           30.1       58
   168  holistic         60       0       0  2.449/1.233           21.6       46
   168  conventional     60       0       0  1.828/0.946           31.1       59
   169  holistic         60       0       0  2.377/1.216           22.6       47
   169  conventional     60       2       2  1.828/0.901           31.0       57
   170  holistic         60       1       1  2.482/1.221           23.5       48
   170  conventional     60       2       2  1.871/0.909           31.9       58
   171  holistic         60       0       0  2.502/1.241           24.5       49
   171  conventional     60       2       2  1.788/0.906           32.8       59
   172  holistic         60       1       1  2.521/1.281           25.2       50
   172  conventional     60       2       2  1.842/0.942           32.8       59
   173  holistic         60       0       0  2.422/1.251           26.2       51
   173  conventional     60       1       1  2.278/0.970           32.8       59
   174  holistic         60       0       0  2.683/1.268           27.2       52
   174  conventional     60       2       2  1.850/0.935           32.7       59
   175  holistic         60       0       0  3.030/1.291           28.2       53
   175  conventional     60       1       1  1.973/0.940           32.7       59
   176  holistic         60       0       0  2.907/1.277           29.2       54
   176  conventional     60       1       1  2.362/0.919           32.7       58
   177  holistic         60       0       0  3.170/1.293           30.2       55
   177  conventional     60       0       0  2.155/0.942           33.7       59
   178  holistic         60       0       0  3.057/1.311           31.2       56
   178  conventional     60       3       3  2.080/0.905           32.7       58
   179  holistic         60       0       0  2.884/1.293           32.2       57
   179  conventional     60       0       0  1.979/0.881           33.7       59
   180  holistic         60       0       0  2.806/1.323           33.2       58
   180  conventional     60       1       1  1.961/0.941           33.7       59
   181  holistic         60       0       0  2.673/1.334           34.2       59
   181  conventional     60       1       1  3.361/0.955           33.7       59
   182  holistic         60       1       1  2.640/1.320           34.2       52
   182  conventional     60       1       1  1.893/0.907           33.7       59
   183  holistic         60       0       0  2.970/1.376           35.2       53
   183  conventional     60       2       2  1.849/0.896           32.7       58
   184  holistic         60       0       0  2.757/1.360           36.2       54
   184  conventional     60       0       0  2.451/0.913           33.7       59
   185  holistic         60       0       0  2.709/1.340           37.2       55
   185  conventional     60       1       1  1.728/0.900           33.7       59
   186  holistic         60       0       0  2.662/1.314           38.2       56
   186  conventional     60       4       4  1.664/0.812           31.6       59
   187  holistic         60       0       0  2.618/1.289           39.2       57
