holistic best sensor sources by saved generation (every 10 seasons):
  g  0 parts 4 units  29 sensors ['oscillator', 'up']
  g 10 parts 4 units  20 sensors ['joint_angle']
  g 20 parts 4 units  21 sensors ['joint_angle']
  g 30 parts 7 units  32 sensors ['joint_angle']
  g 40 parts 4 units  23 sensors ['joint_angle']
  g 50 parts 7 units  32 sensors ['joint_angle']
  g 60 parts 7 units  32 sensors ['joint_angle']
  g 70 parts 7 units  32 sensors ['joint_angle']
  g 80 parts 7 units  42 sensors ['joint_angle', 'up']
  g 90 parts 6 units  27 sensors ['joint_angle']
  g100 parts 7 units  34 sensors ['joint_angle']
  g110 parts 7 units  34 sensors ['joint_angle']
  g120 parts 7 units  34 sensors ['joint_angle']
  g130 parts 7 units  34 sensors ['joint_angle']
  g140 parts 4 units  23 sensors ['joint_angle']
  g150 parts 4 units  23 sensors ['joint_angle']
  g160 parts 6 units  31 sensors ['joint_angle']
  g170 parts 6 units  31 sensors ['joint_angle']
  g180 parts 7 units  22 sensors ['joint_angle']
  g190 parts 6 units  31 sensors ['joint_angle']
  g200 parts 4 units  21 sensors ['joint_angle']
  g210 parts 4 units  17 sensors ['joint_angle']
  g220 parts 4 units  17 sensors ['joint_angle']
  g230 parts 8 units  25 sensors ['joint_angle']
  g240 parts 8 units  25 sensors ['joint_angle']
  g250 parts 8 units  25 sensors ['joint_angle']
  g260 parts 8 units  25 sensors ['joint_angle']
  g270 parts 6 units  25 sensors ['joint_angle']
  g280 parts 6 units  28 sensors ['joint_angle']
  g290 parts 6 units  28 sensors ['joint_angle']
  g300 parts 6 units  25 sensors ['joint_angle']
  g310 parts 8 units  25 sensors ['joint_angle']
  g320 parts 6 units  25 sensors ['joint_angle']
  g330 parts 8 units  25 sensors ['joint_angle']
  g340 parts 3 units  17 sensors ['joint_angle']
  g350 parts 8 units  46 sensors ['agent', 'contact', 'joint_angle', 'velocity']
  g360 parts 6 units  26 sensors ['joint_angle']
  g370 parts 6 units  26 sensors ['joint_angle']
  g380 parts 6 units  26 sensors ['joint_angle']
  g390 parts 5 units  27 sensors ['food', 'joint_angle', 'oscillator', 'velocity']
  g400 parts 6 units  26 sensors ['joint_angle']
  g410 parts 5 units  27 sensors ['food', 'joint_angle', 'oscillator', 'velocity']
  g420 parts 8 units  48 sensors ['agent', 'contact', 'joint_angle', 'velocity']
  g430 parts 8 units  48 sensors ['agent', 'contact', 'joint_angle', 'velocity']
  g440 parts 5 units  27 sensors ['food', 'joint_angle', 'oscillator', 'velocity']
  g450 parts 8 units  36 sensors ['joint_angle']
  g460 parts 8 units  36 sensors ['joint_angle']
  g470 parts 8 units  36 sensors ['joint_angle']
  g480 parts 7 units  28 sensors ['joint_angle']
  g490 parts 7 units  28 sensors ['joint_angle']
  g500 parts 8 units  52 sensors ['joint_angle', 'joint_velocity', 'oscillator', 'velocity']
  g510 parts 8 units  52 sensors ['joint_angle', 'joint_velocity', 'oscillator']
  g520 parts 4 units  19 sensors ['joint_angle']
  g530 parts 5 units  28 sensors ['velocity']
  g540 parts 6 units  33 sensors ['oscillator', 'velocity']
  g550 parts 4 units  19 sensors ['joint_angle']
  g560 parts 4 units  19 sensors ['joint_angle']
  g570 parts 4 units  19 sensors ['joint_angle']
  g580 parts 6 units  35 sensors ['food', 'oscillator', 'velocity']
  g590 parts 6 units  34 sensors ['oscillator', 'velocity']
holistic bests carrying a food or agent sensor: [350, 390, 410, 420, 430, 440, 580]
final holistic population: 5 of 60 carry a food or agent sensor
