season  pop           alive  births  deaths  best/mean lifetime  mean age  max age
     0  holistic         56       0       4  0.000/-0.029           30.1       57
     0  conventional     60       2       2  1.065/-0.377           24.6       58
     1  holistic         56       0       0  0.000/-0.029           31.1       58
     1  conventional     60       0       0  0.867/-0.419           25.6       59
     2  holistic         57       1       0  0.297/-0.023           31.5       59
     2  conventional     54       3       9  0.701/-0.315           25.8       59
     3  holistic         55       0       2  0.210/-0.013           32.5       59
     3  conventional     37       4      21  2.423/-0.052           24.5       59
     4  holistic         54       0       1  0.149/-0.015           33.0       59
     4  conventional     30       3      10  1.926/0.042           20.2       55
     5  holistic         52       0       2  0.110/-0.010           33.3       59
     5  conventional     26       3       7  1.091/0.023           21.2       56
     6  holistic         49       0       3  0.230/0.002           33.5       58
     6  conventional     20       1       7  0.925/0.158           20.5       57
     7  holistic         49       0       0  0.195/0.003           34.5       59
     7  conventional     14       1       7  0.815/0.248           16.4       58
     8  holistic         45       0       4  0.145/0.005           33.6       59
     8  conventional     11       1       4  0.590/0.274           15.6       45
     9  holistic         44       0       1  0.166/0.006           34.1       59
     9  conventional      9       1       3  0.674/0.110           16.0       46
    10  holistic         39       0       5  0.148/0.005           35.1       59
    10  conventional      8       1       2  0.656/0.280           18.5       47
    11  holistic          2       0      37  0.216/0.149           34.0       38
    11  conventional      7       0       1  0.557/0.148           21.4       48
    12  holistic          2       0       0  0.197/0.136           35.0       39
    12  conventional      6       0       1  0.520/0.249           18.0       39
    13  holistic          2       0       0  0.180/0.125           36.0       40
    13  conventional      5       1       2  0.581/0.291           14.0       38
    14  holistic          2       0       0  0.166/0.116           37.0       41
    14  conventional      4       0       1  1.302/0.601           16.0       39
    15  holistic          1       0       1  0.154/0.154           42.0       42
    15  conventional      4       0       0  0.491/0.358           17.0       40
    16  holistic          1       0       0  0.143/0.143           43.0       43
    16  conventional      3       0       1  0.425/0.270           22.0       41
    17  holistic          1       0       0  0.188/0.188           44.0       44
    17  conventional      3       0       0  0.477/0.336           23.0       42
    18  holistic          1       0       0  0.229/0.229           45.0       45
    18  conventional      3       0       0  0.419/0.382           24.0       43
    19  holistic          2       1       0  0.266/0.133           23.0       46
    19  conventional      3       0       0  0.421/0.310           25.0       44
    20  holistic          3       1       0  0.299/0.089           16.0       47
    20  conventional      2       0       1  0.376/0.342           16.5       26
    21  holistic          3       0       0  0.468/0.240           17.0       48
    21  conventional      2       0       0  0.380/0.282           17.5       27
    22  holistic          3       0       0  0.302/0.180           18.0       49
    22  conventional      1       0       1  0.340/0.340           28.0       28
    23  holistic          3       0       0  0.258/0.147           19.0       50
    23  conventional      0       0       1  0.000/0.000            0.0        0
    24  holistic          2       0       1  0.246/0.207           28.0       51
    25  holistic          2       0       0  0.235/0.185           29.0       52
    26  holistic          2       0       0  0.225/0.168           30.0       53
    27  holistic          2       0       0  0.252/0.234           31.0       54
    28  holistic          2       0       0  0.242/0.216           32.0       55
    29  holistic          2       0       0  0.233/0.200           33.0       56
    30  holistic          1       0       1  0.224/0.224           57.0       57
    31  holistic          0       0       1  0.000/0.000            0.0        0
