=== what the evolved population itself carries (no mutation) ===
  final population: n=60  median|k| 0.000  max|k| 1.415  |k|>=16: 0/60

8 cells x 2000 lineages, 320 chunks

signed steering gain delivered to the e1+e2 axis by the wheel-nose pair
(the audit's dose-response: |k|=16 inert, 32 gives +0.246 items, 64 gives +0.897)

| add | mutations | median abs k | p95 | max | abs k>=16 | abs k>=32 | correct-sign k>=16 |
|---|---|---|---|---|---|---|---|
| 0.15 | 19 | 0.150 | 18.30 | 138.6 | 5.85% | 2.45% | 2.95% |
| 0.15 | 23 | 0.285 | 22.59 | 295.2 | 7.45% | 3.10% | 3.25% |
| 0.15 | 50 | 1.095 | 49.16 | 459.2 | 14.50% | 7.90% | 7.65% |
| 0.15 | 200 | 5.212 | 193.72 | 4767.0 | 32.60% | 22.30% | 16.45% |
| 0.3 | 20 | 1.253 | 40.67 | 174.8 | 12.90% | 6.55% | 6.35% |
| 0.6 | 20 | 6.535 | 82.99 | 533.8 | 31.60% | 18.25% | 16.25% |
| 1.0 | 20 | 17.521 | 150.15 | 2431.6 | 52.05% | 34.20% | 27.05% |
| 1.0 | 50 | 113.409 | 874.23 | 6929.9 | 88.00% | 79.55% | 44.10% |

wrote runs/RBT-45/motif.json in 84s
