season	population	alive	births	deaths	mean_lifetime_score	best_lifetime_score
0	holistic	60	1	1	-0.010931006268674028	0.9319372327811843
0	conventional	60	0	0	0.099779853639439	3.686314596177325
1	holistic	58	3	5	0.03426653230806352	0.9863638860251009
1	conventional	60	0	0	0.12424215121903842	2.1017968947819448
2	holistic	60	2	0	0.01959428037339933	0.6153734295673
2	conventional	60	2	2	0.19582438599330226	1.712642676917887
3	holistic	59	0	1	0.049611607323693005	0.6961584859917723
3	conventional	60	6	6	0.30472109134246994	2.5909927667687653
4	holistic	60	1	0	0.04086002437619323	0.5506170085665282
4	conventional	60	9	9	0.5310228420587237	6.459562646114476
5	holistic	60	2	2	0.04806539610707795	0.7567449676725756
5	conventional	60	4	4	0.5473606337407254	3.358908803003593
6	holistic	56	1	5	0.048695985340803404	0.6382509111988244
6	conventional	60	2	2	0.5466105211274062	2.732798700134264
7	holistic	58	3	1	0.04553683847732562	0.6748285570112772
7	conventional	60	4	4	0.5465640222007696	2.859048988170984
8	holistic	55	1	4	0.08211157410895041	1.9342717595710137
8	conventional	60	1	1	0.49811701919145995	2.0439944316831324
9	holistic	45	0	10	0.07161632427805507	0.9287551888900837
9	conventional	60	11	11	0.44760011489220664	1.7605531365169633
10	holistic	42	1	4	0.08351106687724262	1.2632969020232485
10	conventional	60	5	5	0.5654119968721362	3.342866720624803
11	holistic	10	1	33	0.25227863442538256	0.945237217667416
11	conventional	60	2	2	0.552154975858939	3.336117125078978
12	holistic	10	1	1	0.26209452612700623	0.7552241645360889
12	conventional	60	8	8	0.527032845572263	2.0128009439376924
13	holistic	9	0	1	0.2407255195202075	0.625605396846973
13	conventional	60	8	8	0.5100698183416266	2.4191207689539653
14	holistic	10	2	1	0.2997786347206177	0.917826660853875
14	conventional	60	4	4	0.6482008967494101	4.38958141672408
15	holistic	9	0	1	0.41424996286872723	0.9220964309212357
15	conventional	60	5	5	0.6013172283176133	2.435415513417941
16	holistic	8	1	2	0.3563873875350725	0.7518491696129147
16	conventional	60	5	5	0.6232364611484953	2.399609241123177
17	holistic	12	4	0	0.5941101289495317	2.9252913791701998
17	conventional	60	1	1	0.5890000379886451	2.314536587268407
18	holistic	15	3	0	0.5177021293392092	1.924781920104824
18	conventional	60	6	6	0.5379883163856954	1.8457173099421722
19	holistic	16	1	0	0.42893488104114497	1.2579280185012802
19	conventional	60	5	5	0.5094447195508924	2.3534303162986516
20	holistic	21	5	0	0.3908225372474993	1.42219109296844
20	conventional	60	5	5	0.5540838398596972	1.613183016106555
21	holistic	22	3	2	0.6565724969083274	1.933893421124197
21	conventional	60	1	1	0.6596540759185798	3.4509900011609598
22	holistic	28	6	0	0.49338323767164033	1.867301609283282
22	conventional	60	8	8	0.5538073703390473	1.8196024516623661
23	holistic	33	7	2	0.6543168145811347	1.9205862713150967
23	conventional	60	2	2	0.6476360145816689	3.2953581953018634
24	holistic	42	9	0	0.6594014272859007	2.4212843257521977
24	conventional	60	2	2	0.7828539837680039	2.489366493829645
25	holistic	54	12	0	0.5883558530975164	2.5745415396645455
25	conventional	60	0	0	0.7534044647738276	2.152156633155003
26	holistic	60	8	2	0.7009436867051224	2.9631103080502186
26	conventional	60	1	1	0.7494137979565039	1.7764942364632135
27	holistic	60	3	3	0.8873670455541944	4.917676058726359
27	conventional	60	1	1	0.7745881474769699	2.44467449367863
28	holistic	60	2	2	0.9672386185299976	3.914095690981309
28	conventional	60	0	0	0.789052029547859	2.0455746044886447
29	holistic	60	3	3	0.9553888535928213	2.9673626213900435
29	conventional	60	1	1	0.8004127754783849	1.8061262067587094
30	holistic	60	2	2	0.9543075629662839	3.1179644169736616
30	conventional	60	3	3	0.7394372654007035	1.7992486774561463
31	holistic	60	0	0	0.948391300379724	2.9455862537956943
31	conventional	60	2	2	0.7994135118554724	3.3384911319199473
32	holistic	60	2	2	0.8989690869726619	2.2703084152087043
32	conventional	60	2	2	0.7842658697593177	3.8376741635979124
33	holistic	60	3	3	0.8508446913220057	2.1860498301347113
33	conventional	60	2	2	0.7587553432367485	2.3379088545548297
34	holistic	60	0	0	0.867462780980149	2.0445977950001057
34	conventional	60	2	2	0.7646968745742716	2.338094804984885
35	holistic	60	0	0	0.8166376745232589	1.919182312107229
35	conventional	60	4	4	0.7388999251951157	1.9381760659399219
36	holistic	60	2	2	0.8099066787594399	1.8080795756584418
36	conventional	60	1	1	0.6982041963566396	1.8719400992712356
37	holistic	60	1	1	0.829445635429852	1.7084845163648448
37	conventional	60	4	4	0.7445547551628636	1.904031069595743
38	holistic	60	1	1	0.9121794096469957	3.915353247402707
38	conventional	60	3	3	0.7456752545336975	1.8085484193845758
39	holistic	60	1	1	0.9254260896306179	2.2440525803191416
39	conventional	60	2	2	0.7523286829269449	1.7830394482710685
40	holistic	60	0	0	0.9495409800721107	2.4393680939163302
40	conventional	60	1	1	0.8470129275904564	2.3682020377002457
41	holistic	60	1	1	0.9141848667781545	1.938417657722692
41	conventional	60	1	1	0.809801490242905	1.7944274596388625
42	holistic	60	0	0	0.8947130308853407	1.6436927471083487
42	conventional	60	1	1	0.7505802450043209	1.8189979912493142
43	holistic	60	1	1	0.9052186560665111	1.580743994668986
43	conventional	60	1	1	0.7931588058891259	1.7267812596088175
44	holistic	60	0	0	0.9022370107511614	1.5271177915655947
44	conventional	60	0	0	0.7961360419572905	1.9743248718432616
45	holistic	60	0	0	0.9052703325826593	1.5808927515972218
45	conventional	60	1	1	0.772226440342844	1.9559853327907575
46	holistic	60	0	0	0.9284555032893713	1.621516619618136
46	conventional	60	2	2	0.7957390760451626	2.3121049200501425
47	holistic	60	0	0	0.9505872230016849	1.579708092443438
47	conventional	60	1	1	0.830267780202973	2.3270767689988188
48	holistic	60	0	0	0.9473532894319991	1.4919988021487878
48	conventional	60	2	2	0.852469358442913	3.360657661002186
49	holistic	60	0	0	0.9461626664132682	1.5073688887433858
49	conventional	60	1	1	0.8464325764886955	2.863873175969752
50	holistic	60	1	1	0.9410296072335544	1.5783370290618475
50	conventional	60	1	1	0.8159630124236518	2.359889620600526
51	holistic	60	0	0	0.9618997703505064	1.8111121509584573
51	conventional	60	2	2	0.7936645017612124	1.684332107972227
52	holistic	60	0	0	0.9661570329355322	2.0020185090800435
52	conventional	60	0	0	0.7767103253278808	1.6195848834103819
53	holistic	60	0	0	0.9958167116440776	2.3280044822981347
53	conventional	60	1	1	0.761715968963841	1.6144345843245522
54	holistic	60	0	0	0.9872092347088444	2.163962577597715
54	conventional	60	1	1	0.7358452820493223	1.7176140754438705
55	holistic	60	0	0	1.0116933992733939	2.9135703290015553
