population	name	generation	age	evals	fitness	parents
holistic	h0-0	33	59	34	-0.0001	
holistic	h0-1	39	59	40	0.0	
holistic	h0-2	54	59	55	0.644	
holistic	h0-3	26	59	27	0.0	
holistic	h0-4	23	59	24	-0.0001	
holistic	h0-5	25	59	26	-0.0	
holistic	h0-6	28	59	29	0.0	
holistic	h0-7	17	59	18	-0.0	
holistic	h0-8	15	59	16	0.0	
holistic	h0-9	28	59	29	-0.2037	
holistic	h0-10	43	59	44	0.0057	
holistic	h0-11	23	59	24	0.1129	
holistic	h0-12	48	59	49	-0.0002	
holistic	h0-13	40	59	41	0.0	
holistic	h0-14	7	59	8	-0.0016	
holistic	h0-15	57	59	58	0.0	
holistic	h0-16	33	59	34	0.174	
holistic	h0-17	16	59	17	-0.0	
holistic	h0-18	18	59	19	-0.0	
holistic	h0-19	12	59	13	-0.0001	
holistic	h0-20	34	59	35	0.0	
holistic	h0-21	33	59	34	-0.0001	
holistic	h0-22	12	59	13	-0.0003	
holistic	h0-23	19	59	20	-0.0	
holistic	h0-24	46	59	47	0.0	
holistic	h0-25	23	59	24	1.5307	
holistic	h0-26	18	59	19	-0.0151	
holistic	h0-27	19	59	20	1.5272	
holistic	h0-28	22	59	23	0.0	
holistic	h0-29	30	59	31	0.0	
holistic	h0-30	1	59	2	-0.0	
holistic	h0-32	36	59	37	0.0539	
holistic	h0-33	34	59	35	0.0253	
holistic	h0-34	20	59	21	-0.1125	
holistic	h0-35	56	59	57	1.0101	
holistic	h0-36	16	59	17	0.0	
holistic	h0-37	23	59	24	0.0	
holistic	h0-38	19	59	20	0.0	
holistic	h0-39	39	59	40	-0.0	
holistic	h0-40	12	59	13	-0.0001	
holistic	h0-41	41	59	42	0.0	
holistic	h0-42	58	59	59	0.0	
holistic	h0-43	37	59	38	0.0	
holistic	h0-44	52	59	53	-0.0	
holistic	h0-45	12	59	13	-0.0001	
holistic	h0-46	3	59	4	-0.0	
holistic	h0-47	19	59	20	-0.0532	
holistic	h0-48	40	59	41	-0.0024	
holistic	h0-50	44	59	45	-0.0003	
holistic	h0-51	8	59	9	0.0	
holistic	h0-52	14	59	15	0.1325	
holistic	h0-53	27	59	28	0.0	
holistic	h0-54	47	59	48	0.0	
holistic	h0-55	15	59	16	0.0	
holistic	h0-56	54	59	55	-0.0002	
holistic	h0-57	48	59	49	0.0	
holistic	h0-58	4	59	5	-0.0007	
holistic	h0-59	48	59	49	0.0163	
holistic	he61	59	59	59	-0.2349	h0-35
holistic	he62	59	59	59	0.0	h0-57,h0-6
conventional	c0-0	57	59	58	-0.8569	
conventional	c0-1	14	59	15	0.7601	
conventional	c0-2	35	59	36	0.3182	
conventional	c0-3	10	59	11	0.6275	
conventional	c0-4	5	59	6	1.3244	
conventional	c0-5	19	59	20	0.7493	
conventional	c0-6	18	59	19	-0.4458	
conventional	c0-7	50	59	51	0.2564	
conventional	c0-8	29	59	30	0.2015	
conventional	c0-9	53	59	54	-0.1404	
conventional	c0-10	24	59	25	0.1994	
conventional	c0-11	36	59	37	0.1054	
conventional	c0-13	47	59	48	0.1723	
conventional	c0-14	24	59	25	-0.8803	
conventional	c0-15	36	59	37	-0.0398	
conventional	c0-16	18	59	19	-0.25	
conventional	c0-17	23	59	24	1.146	
conventional	c0-18	43	59	44	0.5417	
conventional	c0-20	54	59	55	-0.724	
conventional	c0-21	32	59	33	0.7006	
conventional	c0-22	40	59	41	0.1682	
conventional	c0-23	0	59	1	-0.7014	
conventional	c0-24	52	59	53	-0.6195	
conventional	c0-25	0	59	1	1.6581	
conventional	c0-26	18	59	19	0.6173	
conventional	c0-27	22	59	23	0.1616	
conventional	c0-28	12	59	13	1.5507	
conventional	c0-29	1	59	2	-0.1233	
conventional	c0-30	33	59	34	0.9201	
conventional	c0-31	3	59	4	1.625	
conventional	c0-32	10	59	11	-0.3609	
conventional	c0-33	28	59	29	-0.1806	
conventional	c0-34	56	59	57	1.0156	
conventional	c0-35	41	59	42	-0.0264	
conventional	c0-36	57	59	58	0.4246	
conventional	c0-37	24	59	25	0.8421	
conventional	c0-38	28	59	29	-0.7258	
conventional	c0-39	3	59	4	-0.5723	
conventional	c0-40	53	59	54	-0.5376	
conventional	c0-41	29	59	30	-0.7939	
conventional	c0-42	49	59	50	-0.1274	
conventional	c0-43	40	59	41	-0.1639	
conventional	c0-44	58	59	59	0.2462	
conventional	c0-45	51	59	52	-0.0847	
conventional	c0-46	22	59	23	0.0071	
conventional	c0-47	26	59	27	-0.0324	
conventional	c0-48	43	59	44	0.6	
conventional	c0-49	19	59	20	-0.4528	
conventional	c0-50	27	59	28	0.0785	
conventional	c0-51	2	59	3	-0.0591	
conventional	c0-52	0	59	1	1.0901	
conventional	c0-53	41	59	42	-0.897	
conventional	c0-54	57	59	58	0.9959	
conventional	c0-55	56	59	57	-0.2183	
conventional	c0-56	14	59	15	0.015	
conventional	c0-57	1	59	2	0.3137	
conventional	c0-58	37	59	38	-0.0514	
conventional	c0-59	35	59	36	0.7859	
conventional	ce61	59	59	59	0.949	c0-47
conventional	ce62	59	59	59	0.1811	c0-46
conventional	ce63	60	59	59	0.4203	c0-1
conventional	ce64	60	59	59	0.5376	c0-5
conventional	ce65	60	59	59	-0.4877	c0-10
holistic	he63	61	59	59	-0.0001	h0-35,h0-36
conventional	ce66	61	59	59	0.4568	c0-44
conventional	ce67	61	59	59	-0.1221	c0-32
conventional	ce68	62	59	59	0.0331	c0-40,c0-4
holistic	he64	63	59	59	-0.0376	h0-47
conventional	ce69	63	59	59	0.9339	c0-26
conventional	ce70	63	59	59	0.8451	ce64
holistic	he65	64	59	59	0.0	h0-40
conventional	ce71	65	59	59	0.7819	ce64
holistic	he66	67	59	59	-0.038	h0-34,h0-13
holistic	he67	68	59	59	0.0	h0-8,h0-48
conventional	ce72	70	59	59	-0.6433	c0-49,c0-22
conventional	ce73	70	59	59	-0.605	c0-45
holistic	he68	72	59	59	0.1025	h0-27,h0-18
holistic	he69	72	59	59	-0.0001	h0-12,h0-48
holistic	he70	72	59	59	-0.0037	h0-2,h0-15
holistic	he71	72	59	59	0.0	h0-55,h0-42
conventional	ce74	72	59	59	0.3089	c0-26
holistic	he72	74	59	59	0.0	h0-29,h0-23
conventional	ce75	74	59	59	0.3261	c0-27,c0-10
conventional	ce76	74	59	59	-0.1464	c0-5
holistic	he73	75	59	59	1.6591	h0-25
holistic	he74	75	59	59	0.6467	h0-10,h0-33
holistic	he75	76	59	59	-0.0	h0-37,he65
holistic	he76	76	59	59	0.0	he65
holistic	he77	77	59	59	0.0	h0-5,h0-1
holistic	he78	78	59	59	0.8624	h0-5,he73
holistic	he79	78	59	59	-0.0003	h0-56
conventional	ce77	78	59	59	0.05	c0-44
conventional	ce78	78	59	59	-0.0752	ce71,c0-30
conventional	ce79	78	59	59	0.2163	c0-34
holistic	he80	79	59	59	0.0	he76
holistic	he81	79	59	59	0.0	h0-1
holistic	he82	79	59	59	-0.0015	h0-21
holistic	he83	79	59	59	0.004	h0-16
conventional	ce80	79	59	59	0.1417	c0-46
conventional	ce81	79	59	59	0.5921	ce78
holistic	he84	80	59	59	0.0	h0-53,he74
holistic	he85	82	59	59	-0.0673	h0-21,h0-53
conventional	ce82	82	59	59	0.6252	ce66
conventional	ce83	82	59	59	-0.0188	c0-47
holistic	he86	83	59	59	0.0	h0-20
holistic	he87	83	59	59	0.0339	h0-54
holistic	he88	83	59	59	-0.081	he74
holistic	he89	83	59	59	0.0	h0-29
conventional	ce84	83	59	59	0.8685	ce64
conventional	ce85	84	59	59	0.0758	ce69
conventional	ce86	84	59	59	0.1431	c0-2,ce75
conventional	ce87	84	59	59	0.3391	c0-44,ce61
holistic	he90	85	59	59	-0.0007	h0-59
holistic	he91	86	59	59	0.0	h0-15,h0-24
conventional	ce88	86	59	59	-0.1399	c0-36
holistic	he92	87	59	59	0.0	h0-1
conventional	ce89	87	59	59	0.8284	ce61
holistic	he93	88	59	59	0.0	h0-42
holistic	he94	88	59	59	0.62	he68
conventional	ce90	88	59	59	0.5105	ce89
conventional	ce91	88	59	59	1.001	c0-54
conventional	ce92	89	59	59	-0.465	c0-11
conventional	ce93	89	59	59	0.3587	ce87
holistic	he95	90	59	59	0.0168	he73
conventional	ce94	92	59	59	-0.3196	c0-11
holistic	he96	93	59	59	0.0	he71
holistic	he97	93	59	59	0.0	he91
holistic	he98	93	59	59	-0.0001	h0-56
conventional	ce95	93	59	59	0.1877	ce80
holistic	he99	94	59	59	0.0	h0-13
holistic	he100	94	59	59	0.0	h0-59,he97
conventional	ce96	95	59	59	-0.2366	c0-11,c0-36
conventional	ce97	95	59	59	-0.6301	ce93
holistic	he101	96	59	59	0.0	he89,he86
conventional	ce98	96	59	59	0.2864	ce79
conventional	ce99	96	59	59	0.2213	c0-7,c0-42
holistic	he102	97	59	59	0.0	he91
conventional	ce100	97	59	59	-0.374	ce93,ce80
holistic	he103	99	59	59	0.0	h0-48
holistic	he104	99	59	59	-0.1105	he78,h0-54
holistic	he105	100	59	59	0.658	he78
holistic	he106	100	59	59	0.0	he65
conventional	ce101	100	59	59	0.4908	ce62
conventional	ce102	100	59	59	-0.0316	c0-13
holistic	he107	101	59	59	-0.0018	h0-50
conventional	ce103	101	59	59	0.6022	ce75
conventional	ce104	101	59	59	0.0436	ce69
holistic	he108	103	59	59	0.0	he71
conventional	ce105	103	59	59	0.7391	ce63
conventional	ce106	103	59	59	0.5477	ce99
holistic	he109	104	59	59	0.0	he65
holistic	he110	106	59	59	0.0	he71
holistic	he111	107	59	59	0.0	he106
conventional	ce107	107	59	59	0.2821	ce105,ce71
holistic	he112	108	59	59	0.0	he89,he93
holistic	he113	108	59	59	-0.1152	he83
holistic	he114	108	59	59	0.2175	he68
conventional	ce108	109	59	59	0.1598	ce103
conventional	ce109	110	59	59	0.7922	ce66
conventional	ce110	111	59	59	0.5843	ce91,c0-54
holistic	he115	112	59	59	-0.0413	he70
conventional	ce111	112	59	59	0.0626	ce98
conventional	ce112	113	59	59	1.471	c0-54
conventional	ce113	113	59	59	0.1939	ce87,ce91
holistic	he116	114	59	59	0.0	he108,he93
holistic	he117	114	59	59	-0.0	he76
conventional	ce114	114	59	59	0.225	ce109,ce68
holistic	he118	116	59	59	0.0	he100
conventional	ce115	116	59	59	0.27	ce110
conventional	ce116	116	59	59	0.5	ce90
holistic	he119	117	59	59	0.0	he65
conventional	ce117	117	59	59	-0.1741	ce75
conventional	ce118	117	59	59	0.1696	ce71
conventional	ce119	117	59	59	0.2283	ce110
holistic	he120	118	59	59	1.5394	he111
conventional	ce120	118	59	59	-0.196	ce91,ce117
holistic	he121	119	59	59	0.0	he118
holistic	he122	119	59	59	0.0	he73
conventional	ce121	119	59	59	0.3301	ce111
conventional	ce122	119	59	59	0.3548	ce74
conventional	ce123	120	59	59	0.4554	ce87
conventional	ce124	120	59	59	0.3908	ce119
conventional	ce125	120	59	59	0.4022	ce109
holistic	he123	121	59	59	0.0	he100
conventional	ce126	121	59	59	0.3032	ce70
conventional	ce127	121	59	59	0.0123	ce108
conventional	ce128	122	59	59	0.1627	ce105,ce69
holistic	he124	123	59	59	0.0	he71,he115
conventional	ce129	123	59	59	0.4369	ce99,ce90
conventional	ce130	123	59	59	0.3322	ce71
holistic	he125	124	59	59	0.0	he77
conventional	ce131	125	59	59	0.0483	ce81
holistic	he126	127	59	59	0.0	he103
holistic	he127	128	59	59	-0.0004	he97
conventional	ce132	130	59	59	0.2309	ce98,ce121
conventional	ce133	130	59	59	0.5343	ce121
holistic	he128	132	59	59	0.0	he96,he76
holistic	he129	132	59	59	0.0	he123
holistic	he130	132	59	59	0.0	he111
holistic	he131	132	59	59	0.0	he78
conventional	ce134	132	59	59	-0.3336	ce85,ce113
holistic	he132	134	59	59	0.0	he87
conventional	ce135	134	59	59	0.2644	ce132
conventional	ce136	134	59	59	0.183	ce99,ce93
holistic	he133	135	59	59	0.0	he105,he111
holistic	he134	135	59	59	0.0	he92
holistic	he135	136	59	59	0.2138	he78
holistic	he136	136	59	59	0.0	he96
holistic	he137	137	59	59	0.0	he119
holistic	he138	138	59	59	0.0	he112,he83
holistic	he139	138	59	59	0.0	he99
conventional	ce137	138	59	59	0.5417	ce132
conventional	ce138	138	59	59	-0.087	ce115,ce89
conventional	ce139	138	59	59	0.4091	ce112
holistic	he140	139	59	59	0.0	he92
holistic	he141	139	59	59	0.0	he96
holistic	he142	139	59	59	0.0	he124
holistic	he143	139	59	59	0.0	he128
conventional	ce140	139	59	59	0.1841	ce133
conventional	ce141	139	59	59	0.0348	ce87
holistic	he144	140	59	59	0.0	he102
holistic	he145	142	59	59	0.0494	he143
conventional	ce142	142	59	59	-0.1879	ce128
conventional	ce143	142	59	59	-0.0897	ce131,ce140
holistic	he146	143	59	59	0.0	he111
holistic	he147	143	59	59	0.0	he124
holistic	he148	143	59	59	0.0	he97
holistic	he149	143	59	59	0.0	he101
conventional	ce144	143	59	59	0.4262	ce113
conventional	ce145	144	59	59	1.6479	ce112
conventional	ce146	144	59	59	0.7371	ce124
conventional	ce147	144	59	59	-0.29	ce126
holistic	he150	145	59	59	0.0	he129
holistic	he151	146	59	59	0.0	he108
conventional	ce148	146	59	59	-0.4368	ce113
holistic	he152	147	59	59	0.0337	he95
conventional	ce149	147	59	59	0.3905	ce122,ce146
holistic	he153	148	59	59	0.0	he96
holistic	he154	148	59	59	0.152	he145
conventional	ce150	148	59	59	0.8738	ce109,ce114
conventional	ce151	148	59	59	-0.5986	ce103
conventional	ce152	149	59	59	0.5101	ce131
conventional	ce153	149	59	59	0.0839	ce115,ce139
holistic	he155	150	59	59	0.0	he138
conventional	ce154	152	59	59	1.0108	ce145,ce111
holistic	he156	153	59	59	-0.0001	he99
holistic	he157	153	59	59	0.0	he137
holistic	he158	153	59	59	0.0	he103
conventional	ce155	153	59	59	0.2953	ce111
holistic	he159	154	59	59	0.0	he131
holistic	he160	154	59	59	0.0	he155,he102
conventional	ce156	155	59	59	-0.1492	ce136
conventional	ce157	155	59	59	-0.1474	ce128
holistic	he161	156	59	59	0.0	he124,he144
conventional	ce158	156	59	59	1.0977	ce145
conventional	ce159	156	59	59	0.6281	ce121,ce104
holistic	he162	157	59	59	0.0	he137
conventional	ce160	157	59	59	0.3928	ce125
holistic	he163	159	59	59	0.0	he153
holistic	he164	159	59	59	0.0	he130
holistic	he165	160	59	59	0.0	he116
holistic	he166	160	59	59	0.0	he144
conventional	ce161	160	59	59	0.3196	ce108,ce118
conventional	ce162	160	59	59	0.6685	ce119
holistic	he167	161	59	59	0.0	he163,he112
conventional	ce163	161	59	59	-0.1286	ce105,ce106
conventional	ce164	161	59	59	0.3656	ce129
holistic	he168	163	59	59	0.002	he135
conventional	ce165	163	59	59	0.6344	ce121,ce111
conventional	ce166	163	59	59	-0.0738	ce131
holistic	he169	164	59	59	0.0	he155
holistic	he170	166	59	59	0.0	he133,he141
holistic	he171	167	59	59	0.0	he169,he133
conventional	ce167	167	59	59	0.0172	ce166
holistic	he172	168	59	59	0.0	he129
holistic	he173	168	59	59	0.0	he119
holistic	he174	168	59	59	-0.0002	he147,he134
conventional	ce168	169	59	59	0.2981	ce122,ce129
conventional	ce169	170	59	59	0.1067	ce128
conventional	ce170	171	59	59	0.4381	ce123
holistic	he175	172	59	59	0.0	he140,he119
conventional	ce171	172	59	59	0.0527	ce150,ce123
conventional	ce172	173	59	59	0.3347	ce159
conventional	ce173	173	59	59	0.4403	ce121,ce153
holistic	he176	174	59	59	0.0	he138
holistic	he177	174	59	59	0.0	he159
conventional	ce174	174	59	59	0.5166	ce115
holistic	he178	176	59	59	0.0	he133
conventional	ce175	176	59	59	-0.0067	ce130
conventional	ce176	176	59	59	0.189	ce166
holistic	he179	177	59	59	0.0	he150,he167
conventional	ce177	177	59	59	0.4732	ce164
conventional	ce178	177	59	59	0.6291	ce144
conventional	ce179	177	59	59	1.115	ce139
holistic	he180	178	59	59	0.0	he172,he165
conventional	ce180	178	59	59	0.773	ce150,ce131
holistic	he181	179	59	59	0.0	he125
holistic	he182	179	59	59	0.0	he136
conventional	ce181	179	59	59	-0.034	ce150
conventional	ce182	179	59	59	-0.0872	ce165
conventional	ce183	180	59	59	0.4886	ce170
conventional	ce184	180	59	59	0.6321	ce136
