season	population	alive	births	deaths	mean_lifetime_score	best_lifetime_score
0	holistic	60	2	2	0.07322357352699092	4.746311183070521
0	conventional	60	1	1	0.011806866788230735	3.6054486176934346
1	holistic	60	1	1	0.0389370706627014	2.757669518558127
1	conventional	60	0	0	0.04332624680469213	2.151070051977816
2	holistic	60	0	0	0.05270791802618306	1.7701041397883486
2	conventional	60	2	2	0.15683869765064426	2.0921972950466534
3	holistic	60	0	0	0.048082804810442095	1.7624765219866656
3	conventional	60	0	0	0.14068271645315183	1.6667781670537
4	holistic	60	0	0	0.046399130847237985	1.9614075326579123
4	conventional	60	2	2	0.14769799775683523	1.6087084727711751
5	holistic	60	0	0	0.04749636165489324	1.7649703072389216
5	conventional	60	4	4	0.18281710356578199	4.799056901838081
6	holistic	60	0	0	0.0464433001387815	1.4801090083510833
6	conventional	60	2	2	0.15303731148177302	2.8248033856889556
7	holistic	60	0	0	0.057615649610097894	1.7621705946413448
7	conventional	60	3	3	0.16993011412062722	1.822178244174693
8	holistic	60	2	2	0.05526263925891369	1.5433917621950046
8	conventional	60	0	0	0.07118454455474861	1.3179367655061949
9	holistic	60	0	0	0.05960199641112041	1.7638041131283884
9	conventional	60	0	0	0.0786370536480785	1.2129095020797775
10	holistic	60	0	0	0.05334116733086854	1.5843397805733617
10	conventional	60	0	0	0.09617257593462201	1.318674969114171
11	holistic	60	0	0	0.046709361052133705	1.5181285593260565
11	conventional	60	1	1	0.09821640125810786	1.108112824377306
12	holistic	60	0	0	0.0485723897824812	1.8428546527009264
12	conventional	60	0	0	0.11821852236142356	1.1944125711888323
13	holistic	60	2	2	-1.195915996778392	1.8363597394446265
13	conventional	60	1	1	0.11505776060350886	1.2004349366538112
14	holistic	60	2	2	-1.1110943050311033	1.9632104898150233
14	conventional	60	2	2	0.09033384223250945	1.1920396443986938
15	holistic	60	2	2	-1.0433302195877918	1.825004234406972
15	conventional	60	1	1	0.09804565174083531	1.4035838284045856
16	holistic	60	0	0	-0.9816854044355267	1.7631088960260168
16	conventional	60	0	0	0.10798014506406814	1.0814511932889208
17	holistic	60	2	2	-0.9237967328843183	1.8182905503940456
17	conventional	60	2	2	0.10762181873505475	1.269090357572853
18	holistic	60	0	0	-0.8757491917365325	1.7087364009547168
18	conventional	60	0	0	0.11164736397599845	1.1778119640564686
19	holistic	60	2	2	-0.8262883284140464	1.66151120832821
19	conventional	60	1	1	0.11770388475024439	1.1492699953759398
20	holistic	60	0	0	-0.7850877098222905	1.7134293200323119
20	conventional	60	0	0	0.15329717848261204	1.351483240220701
21	holistic	60	3	3	-0.7450499584238144	1.941432419363377
21	conventional	60	0	0	0.1379421305004941	1.1015321910880345
22	holistic	60	1	1	-0.7150655426481403	1.8461369727070969
22	conventional	60	2	2	0.11503548276368705	1.0475319351302266
23	holistic	60	1	1	-0.6821306791109186	1.9254196733099207
23	conventional	60	1	1	0.12202025938652765	1.0771383037532754
24	holistic	60	0	0	-0.6529905138599479	1.8396931626568247
24	conventional	60	2	2	0.10325381100457404	1.0616615138852254
25	holistic	60	1	1	-0.6274139919497991	1.7586543015339724
25	conventional	60	0	0	0.14803863322103622	1.2296816466221752
26	holistic	60	1	1	-0.603209897989965	1.7214479206041036
26	conventional	60	1	1	0.11940021887593143	1.1059922625700322
27	holistic	60	1	1	-0.582682235988631	1.6869747643295014
27	conventional	60	1	1	0.10153207485269883	1.152308761236156
28	holistic	60	1	1	-0.5594055864118104	1.8276915808943577
28	conventional	60	1	1	0.13080443618897053	1.1565260428823754
29	holistic	60	4	4	-0.5440877198166557	1.79216831889962
29	conventional	60	1	1	0.10788691836798893	1.1944748158350023
30	holistic	60	3	3	0.07509300483462225	1.726528093782128
30	conventional	60	3	3	0.09267293145283233	1.234925271058526
31	holistic	60	1	1	0.057604611414605045	1.696604700462578
31	conventional	60	1	1	0.08280265389205982	1.1716336598211936
32	holistic	60	1	1	0.06674390416965623	1.6978753707685448
32	conventional	60	2	2	0.07349532728969672	1.1700363677101355
33	holistic	60	0	0	0.06480218990283504	1.7584686669738463
33	conventional	60	1	1	0.15391015060125088	3.0885118569026324
34	holistic	60	0	0	0.06274863315237507	1.7300395215073454
34	conventional	60	0	0	0.12558346805393455	1.0898409263186493
35	holistic	60	0	0	0.05988160351097291	1.6755532269236761
35	conventional	60	0	0	0.1258790879982594	1.1489608974521655
36	holistic	60	0	0	0.06455173750659651	1.6502892680318886
36	conventional	60	2	2	0.12335716468134462	1.0692564651696286
37	holistic	60	1	1	0.06310069252147206	1.627715799200102
37	conventional	60	0	0	0.13556768761825966	1.3992562238055615
38	holistic	60	0	0	0.07999624350510263	1.580582520535934
38	conventional	60	1	1	0.15028219188860437	1.7652741598232464
39	holistic	60	1	1	0.0945970711814154	1.9467026293134055
39	conventional	60	2	2	0.1447023612106369	1.7300105577995313
40	holistic	60	1	1	0.08164395643183206	1.4922481905714788
40	conventional	60	0	0	0.17143172458632824	1.6737365699446656
41	holistic	60	1	1	0.07976279343951372	1.4985301612226771
41	conventional	60	0	0	0.19101684580518635	1.6019492794573804
42	holistic	60	0	0	0.0726738775088112	1.48125282341303
42	conventional	60	0	0	0.16888808770849295	1.5683760105088027
43	holistic	60	2	2	0.07278241782417617	1.555500197425063
43	conventional	60	1	1	0.16717685102001117	1.8298953568173661
44	holistic	60	1	1	0.07453495804855556	1.5151765486626316
44	conventional	60	0	0	0.14342803059234138	1.5261964548036269
45	holistic	60	1	1	0.07328375787479718	1.4770569637096256
45	conventional	60	1	1	0.11735999454277081	1.4010232127562534
46	holistic	60	2	2	0.06937828099768192	1.461849485853167
46	conventional	60	0	0	0.10716009808523212	1.3007442492089818
47	holistic	60	1	1	0.06382008565112299	1.427159942351512
47	conventional	60	0	0	0.10663045905038965	1.2186071997961967
48	holistic	60	1	1	0.06233598953177308	1.3930846057355675
48	conventional	60	2	2	0.09069561738050094	1.068633780125879
49	holistic	60	0	0	0.060694142607542266	1.3805792470648117
49	conventional	60	3	3	0.17678316524258614	4.4930201998778685
50	holistic	60	1	1	0.06151796667645234	1.3494442947485858
50	conventional	60	0	0	0.1571563873060411	2.5399008090101494
51	holistic	60	2	2	0.060188863824078086	1.3185948402480716
51	conventional	60	3	3	0.16366150799826004	2.039371224188706
52	holistic	60	1	1	0.05849056997045796	1.289774940675279
52	conventional	60	1	1	0.22122521989626287	2.559439450916393
53	holistic	60	1	1	0.06077410070178111	1.2611439684030699
53	conventional	60	0	0	0.23275811171764552	2.4807191300560074
54	holistic	60	2	2	0.039081159840557926	0.8880591481750238
54	conventional	60	1	1	0.22960805391984979	2.130510161705516
55	holistic	60	0	0	0.03977384124847426	0.9468710753460581
55	conventional	60	0	0	0.24465516556000502	2.460034538441894
56	holistic	60	2	2	0.03668703833825656	0.946857684818572
56	conventional	60	0	0	0.23209519966519013	2.9720421537967985
57	holistic	60	2	2	0.041995273814473134	0.9968516147108281
57	conventional	60	1	1	0.24601321210582586	2.463445157457623
58	holistic	60	1	1	0.031194483680199243	0.9468613806883626
58	conventional	60	3	3	0.2598756512826273	2.4220218621958436
59	holistic	60	3	3	0.029360386909900338	0.9014292401644016
59	conventional	60	1	1	0.2704242399237345	2.4270181957587464
60	holistic	60	2	2	0.046158541800817667	1.0262002005625814
60	conventional	60	1	1	0.2515708382468593	2.0661102912163156
61	holistic	60	1	1	0.04507680658685208	0.9277948831233063
61	conventional	60	0	0	0.2701772412538599	1.6517949932875928
62	holistic	60	0	0	0.04108724213153498	0.8269130134113376
62	conventional	60	2	2	0.28047568498565834	1.7184230860057206
63	holistic	60	0	0	0.03640808037215891	0.8699930954550017
63	conventional	60	0	0	0.28636470255912005	1.8844533886152752
64	holistic	60	0	0	0.035555162367851424	0.8358260153040382
64	conventional	60	2	2	0.21973410043940728	1.3846376707766102
65	holistic	60	0	0	0.04026047837210922	0.804068307128729
65	conventional	60	4	4	0.2316168016322133	1.5025461045371191
66	holistic	60	0	0	0.03838273600067672	0.7745201913031794
66	conventional	60	2	2	0.19857885390715074	1.4682870447384202
67	holistic	60	0	0	0.0480061945196916	0.7598558787158574
67	conventional	60	3	3	0.2016308860507623	1.3126121699646998
68	holistic	60	2	2	0.04834301986436348	0.7856486284881676
68	conventional	60	0	0	0.2730912424027308	2.324974248051358
69	holistic	60	0	0	0.04871138752799649	0.7993541924513612
69	conventional	60	0	0	0.28176317090500386	2.328458051701116
70	holistic	60	0	0	0.04628732474337102	0.8176248456906126
70	conventional	60	0	0	0.27366933029862134	1.579573733897396
71	holistic	60	0	0	0.04557925809304466	0.8121920387193423
71	conventional	60	1	1	0.281341096907482	1.3443962163923766
72	holistic	60	0	0	0.04492672582672302	0.8060225979665007
72	conventional	60	0	0	0.26611447199376587	1.4376660957261227
73	holistic	60	2	2	0.04297482685192989	0.7779996339001388
