generation	terrain_seed	start_seed	h_best	h_mean	h_best_distance	h_best_parts	h_best_mass	c_best	c_mean	c_best_distance	c_best_parts	c_best_mass	champ_holistic_mean	champ_holistic_wins	champ_conventional_wins	champ_bouts
0	1959386939		0.547341	0.491514	1.653545	8	15.340000	0.987032	0.652391	0.224970	5	15.337000	0.360016	9	41	50
1	1475713599		0.528738	0.472470	1.738883	8	15.340000	0.876123	0.298117	0.308841	5	15.337000				
2	68636375		0.506348	0.469642	1.711616	7	15.340000	0.815986	0.600444	0.363648	5	15.337000				
3	1492422985		0.506437	0.462662	1.711616	7	15.340000	0.622291	0.267539	0.241563	5	15.337000				
4	852550635		0.537605	0.477258	1.472164	8	15.340000	0.746840	0.446358	0.211325	5	15.337000				
5	1783295775		0.513141	0.448561	1.678436	8	15.340000	0.934447	0.573211	0.111599	5	15.337000	0.484375	25	25	50
6	160989931		0.513474	0.460761	1.644161	8	15.340000	0.974950	0.345515	0.035225	5	15.337000				
7	1028786385		0.588873	0.489249	1.533367	10	15.340000	0.972949	0.315122	0.041471	5	15.337000				
8	1285167719		0.561246	0.488362	1.303083	10	15.340000	0.896988	0.371051	0.053712	5	15.337000				
9	936899132		0.568843	0.491085	1.843274	10	15.340000	0.797424	0.375527	0.202813	5	15.337000				
10	2044325231		0.553262	0.495169	1.596001	8	15.340000	0.850704	0.217757	0.084392	5	15.337000	0.166856	0	50	50
11	1790505237		0.523941	0.450839	1.450148	2	14.444000	0.912410	0.407978	0.055397	5	15.337000				
12	1897557533		0.586517	0.448523	1.022326	12	15.340000	0.684650	0.363507	0.405238	5	15.337000				
13	509921259		0.663201	0.424337	1.247210	12	15.340000	0.740294	0.367958	0.265552	5	15.337000				
14	400926204		0.861838	0.360550	2.000883	14	15.340000	0.823285	0.385381	0.097913	5	15.337000				
15	116782509		0.628269	0.503160	2.000982	14	15.340000	0.889156	0.377822	0.116632	5	15.337000	0.192801	0	50	50
16	373945988		0.750838	0.522025	0.663959	14	15.340000	0.800513	0.400545	0.167726	5	15.337000				
17	900482791		0.814851	0.548607	1.725751	14	15.340000	0.747866	0.333561	0.271029	5	15.337000				
