generation	terrain_seed	start_seed	h_best	h_mean	h_best_distance	h_best_parts	h_best_mass	c_best	c_mean	c_best_distance	c_best_parts	c_best_mass	champ_holistic_mean	champ_holistic_wins	champ_conventional_wins	champ_bouts
0	1959386939		0.547341	0.491514	1.653545	8	15.340000	0.987032	0.652391	0.224970	5	15.337000	0.360016	9	41	50
1	1475713599		0.528738	0.472470	1.738883	8	15.340000	0.876123	0.298117	0.308841	5	15.337000				
2	68636375		0.515740	0.474254	1.636871	10	15.340000	0.815986	0.600444	0.363648	5	15.337000				
3	1492422985		0.559230	0.466057	1.764426	8	15.340000	0.622291	0.267539	0.241563	5	15.337000				
4	852550635		0.531751	0.468340	1.763878	8	15.340000	0.746840	0.446358	0.211325	5	15.337000				
5	1783295775		0.505712	0.473606	1.762840	8	15.340000	0.934447	0.573211	0.111599	5	15.337000	0.425036	11	39	50
6	160989931		0.500000	0.472941	1.762840	8	15.340000	0.974950	0.345515	0.035225	5	15.337000				
7	1028786385		0.500000	0.472906	1.762840	8	15.340000	0.972949	0.315122	0.041471	5	15.337000				
8	1285167719		0.500000	0.472696	1.762840	8	15.340000	0.896988	0.371051	0.053712	5	15.337000				
9	936899132		0.500000	0.472873	1.762840	8	15.340000	0.797424	0.375527	0.202813	5	15.337000				
10	2044325231		0.500000	0.472735	1.762840	8	15.340000	0.850704	0.217757	0.084392	5	15.337000	0.221849	0	50	50
11	1790505237		0.501892	0.470847	1.749549	8	15.340000	0.912410	0.407978	0.055397	5	15.337000				
12	1897557533		0.501892	0.469483	1.749549	8	15.340000	0.684650	0.363507	0.405238	5	15.337000				
13	509921259		0.500000	0.469190	1.749549	8	15.340000	0.740294	0.367958	0.265552	5	15.337000				
14	400926204		0.500000	0.468986	1.749549	8	15.340000	0.823285	0.385381	0.097913	5	15.337000				
15	116782509		0.500000	0.469166	1.749549	8	15.340000	0.889156	0.377822	0.116632	5	15.337000	0.259732	0	50	50
16	373945988		0.500000	0.470331	1.749549	8	15.340000	0.800513	0.400545	0.167726	5	15.337000				
17	900482791		0.500000	0.468270	1.749549	8	15.340000	0.747866	0.333561	0.271029	5	15.337000				
