 seed      fate osc f | founders reached by the living (first parent): name osc? | de novo first | rate s1-100 s101-300 s301-599
  801 discarded    15 | h0-28 x60                                            |       1   117 |       0.000    0.003    0.000
  804 discarded    11 | h0-15 x47, h0-12 x13                                 |       5    30 |       0.005    0.003    0.013
  805 discarded    10 | h0-58 x60                                            |       8    14 |       0.212    0.042    0.004
  806  acquired    18 | h0-55 OSC x37, h0-10 OSC x23                         |      29    24 |       0.386    0.337    0.266
  807  acquired     7 | h0-12 x60                                            |      11   141 |       0.378    0.278    0.270
    1 discarded     8 | h0-28 x60                                            |       6    27 |       0.034    0.006    0.009
    2  acquired    16 | h0-54 OSC x60                                        |      22    18 |       0.228    0.182    0.336
    3  acquired    16 | h0-2 OSC x60                                         |       7    21 |       0.752    0.950    0.869
    4  acquired     8 | h0-2 x60                                             |      26     8 |       0.036    0.197    0.221
    7 discarded    18 | h0-28 x60                                            |       2   316 |       0.200    0.000    0.004
