generation	terrain_seed	start_seed	h_best	h_mean	h_best_distance	h_best_parts	h_best_mass	c_best	c_mean	c_best_distance	c_best_parts	c_best_mass	champ_holistic_mean	champ_holistic_wins	champ_conventional_wins	champ_bouts
0	907656374		0.603693	0.494176	1.279467	2	15.340000	0.953529	0.616745	0.066300	5	15.337000	0.384258	20	30	50
1	904230493		0.713365	0.442107	1.944874	2	15.340000	0.865175	0.409135	0.179234	5	15.337000				
2	1867750477		0.519890	0.480694	1.797919	4	15.340000	0.696407	0.349679	0.535949	5	15.337000				
3	1154434935		0.505324	0.475744	1.785066	3	15.340000	0.758030	0.385759	0.398843	5	15.337000				
4	1241770273		0.699849	0.495069	0.765578	5	15.340000	0.873656	0.448477	0.063910	5	15.337000				
5	1705139378		0.709385	0.374886	1.593165	5	15.340000	0.850881	0.328094	0.262950	5	15.337000	0.326753	7	43	50
6	2055655501		0.748386	0.463508	0.855281	6	15.340000	0.952249	0.404309	0.048843	5	15.337000				
7	482516381		0.673461	0.534278	2.000000	1	13.500000	0.722035	0.395004	0.352164	5	15.337000				
8	19032286		0.591929	0.505507	1.378781	5	15.295000	0.882306	0.374289	0.129460	5	15.337000				
9	1548773090		0.556986	0.415786	1.444477	5	15.295000	0.708049	0.361178	0.145237	5	15.337000				
10	563285061		0.527460	0.425414	1.122511	5	15.340000	0.846897	0.334445	0.275206	5	15.337000	0.263663	3	47	50
11	888500302		0.651830	0.382711	0.952042	5	15.340000	0.892636	0.294654	0.647735	5	15.337000				
12	951476777		0.711340	0.399654	0.924603	5	15.340000	0.884092	0.541605	0.141158	5	15.337000				
13	1628839063		0.527231	0.356463	1.927974	5	14.981000	1.000000	0.440323	1.144052	5	15.337000				
14	1075726006		0.653717	0.518781	1.076883	4	15.278000	0.884540	0.474977	1.600055	5	15.337000				
15	1927531749		0.537681	0.379479	1.156499	5	15.340000	0.889748	0.367497	0.586193	5	15.337000	0.415324	13	37	50
16	1455941520		0.527290	0.395298	1.036789	4	15.278000	0.790046	0.420209	0.280404	5	15.337000				
17	258118500		0.527007	0.388581	1.156499	5	15.340000	0.706045	0.508708	0.338736	5	15.337000				
18	1537217314		0.620908	0.432083	0.908516	5	15.340000	0.596106	0.407471	0.918610	5	15.337000				
19	1288005949		0.538081	0.375913	1.007218	4	15.340000	0.793662	0.543036	0.536097	5	15.337000				
20	1350530626		0.539980	0.376411	0.974426	4	15.340000	0.905550	0.538070	0.143391	5	15.337000	0.225414	0	50	50
21	1530490018		0.524992	0.312028	0.908048	4	15.340000	0.777760	0.501079	0.566405	5	15.337000				
22	733911955		0.524429	0.378868	0.910101	4	15.340000	0.976325	0.526729	0.532764	5	15.337000				
23	1383247869		0.646023	0.343215	0.845381	4	15.340000	0.736317	0.494545	0.251544	5	15.337000				
24	165061405		0.694761	0.301807	0.688086	4	15.340000	0.900434	0.523553	1.829254	5	15.337000				
25	1307226591		0.607109	0.413453	1.087292	4	15.340000	0.966194	0.588934	0.072794	5	15.337000	0.443165	21	29	50
26	1675625093		0.502543	0.353352	1.029226	4	15.340000	0.980220	0.552381	0.448026	5	15.337000				
27	1722021650		0.465158	0.400792	1.575327	5	15.340000	0.734843	0.439191	1.213585	5	15.337000				
28	1799428767		0.610141	0.478300	1.006578	4	15.340000	0.817520	0.442025	0.246064	5	15.337000				
29	49836024		0.488827	0.335827	1.421304	9	15.340000	0.825700	0.482170	1.243987	5	15.337000				
30	317278507		0.520820	0.450276	1.410051	5	15.340000	0.886002	0.639595	0.417375	5	15.337000	0.341489	4	46	50
31	1534866293		0.565981	0.479788	1.464089	9	15.340000	0.969077	0.505307	1.368166	5	15.337000				
