RBT-97 adversary: resolvability of the phantom retention band at 7 x 64 on P-801 (synthetic, RBT-67 noise)

a = 64, 5 correct robots: motif means +2.44 +5.27 +2.91 +1.03 +4.39, per-seed sd 6.36
   true R median half-width | point-estimate rule: food / unres / gait | CI rule: food / unres / gait
     0.00             0.191 |  0.99  0.01  0.00            |  0.65  0.35  0.00
     0.10             0.182 |  0.91  0.09  0.00            |  0.41  0.59  0.00
     0.25             0.187 |  0.51  0.49  0.00            |  0.09  0.91  0.00
     0.50             0.190 |  0.01  0.98  0.01            |  0.00  1.00  0.00
     0.75             0.191 |  0.00  0.51  0.49            |  0.00  0.92  0.08
     1.00             0.185 |  0.00  0.01  0.99            |  0.00  0.32  0.68

a = 64, 7 robots (g100/g400 at RBT-69 gains): motif means +2.44 +5.27 +2.91 +1.03 +4.39 +3.73 +1.11, per-seed sd 6.28
   true R median half-width | point-estimate rule: food / unres / gait | CI rule: food / unres / gait
     0.00             0.178 |  1.00  0.00  0.00            |  0.72  0.28  0.00
     0.10             0.178 |  0.94  0.06  0.00            |  0.43  0.57  0.00
     0.25             0.177 |  0.51  0.49  0.00            |  0.07  0.93  0.00
     0.50             0.179 |  0.00  0.99  0.01            |  0.00  1.00  0.00
     0.75             0.180 |  0.00  0.50  0.50            |  0.00  0.94  0.06
     1.00             0.179 |  0.00  0.01  0.99            |  0.00  0.28  0.72

a = 384, 5 correct robots: motif means +10.36 +9.41 +9.52 +1.44 +9.75, per-seed sd 8.09
   true R median half-width | point-estimate rule: food / unres / gait | CI rule: food / unres / gait
     0.00             0.091 |  1.00  0.00  0.00            |  0.99  0.01  0.00
     0.10             0.092 |  0.99  0.01  0.00            |  0.80  0.20  0.00
     0.25             0.091 |  0.51  0.49  0.00            |  0.09  0.91  0.00
     0.50             0.092 |  0.00  1.00  0.00            |  0.00  1.00  0.00
     0.75             0.092 |  0.00  0.49  0.51            |  0.00  0.92  0.08
     1.00             0.092 |  0.00  0.00  1.00            |  0.00  0.01  0.99

